"Scene Start","Scene End","Valence","Arousal","Dominance","Audio Level"
"25.0","85.0","7.33","5.44","6.71","0.8762081744343203"
"100.0","243.0","7.89","6.6","7.21","0.5445844589683594"
"244.0","389.0","7.89","6.62","7.47","0.15684501009922167"
"391.0","400.0","7.19","5.6","7.16","0.4336615118134666"
"402.0","440.0","8.25","7.74","7.72","0.2130141553694897"
"444.0","450.0","6.71","5.35","5.88","0.3850548490352157"
"451.0","470.0","7.64","6.95","7.0","0.1461576900798182"
"471.0","480.0","6.75","5.75","6.48","0.17512400035864664"
"540.0","588.0","7.67","6.04","7.05","0.3354030856673495"
"590.0","595.0","6.89","4.43","6.39","0.3121184597551439"
"596.0","608.0","7.73","6.09","6.81","0.24150134162506923"
"632.0","670.0","7.55","6.9","7.47","0.5439766152063589"
"671.0","720.0","7.86","5.14","6.53","0.10814670090898082"
"721.0","743.0","6.25","6.11","6.17","0.2581489413266847"
"745.0","859.0","7.7","6.11","6.79","0.11629506578911547"
"860.0","892.0","7.23","5.18","6.37","0.054276557203188316"
"893.0","1050.0","8.25","6.9","7.17","0.4442052459068768"
"1051.0","1100.0","7.86","5.58","7.16","0.04345676002812726"
"1101.0","1112.0","6.57","6.27","7.05","0.21364738395744215"
"1113.0","1130.0","6.0","4.76","6.08","0.22642100284876338"
"1185.0","1214.0","8.25","6.62","7.16","0.16761764701884221"
"1225.0","1325.0","7.58","7.74","7.06","0.31386259098228"
"1326.0","1360.0","7.44","6.09","6.54","0.3099505784445764"
"1361.0","1380.0","6.84","6.09","7.05","0.051831179155278226"
"1400.0","1410.0","7.0","6.09","6.69","0.13833030101827784"
"1415.0","1433.0","7.23","7.74","6.95","0.34280890081226856"
"1435.0","1460.0","8.25","6.8","6.95","0.5903906435260691"
"1461.0","1470.0","6.71","6.8","7.26","0.7814938226791048"
"1471.0","1475.0","6.71","6.35","6.0","0.6667813434463206"
"1476.0","1485.0","7.32","7.74","7.16","0.7027101939933179"
"1525.0","1545.0","6.71","7.74","6.95","0.7481379791049455"
"1583.0","1605.0","7.59","7.74","7.05","0.8983482221317417"
"1606.0","1645.0","6.71","7.74","7.05","0.8087257257493113"
"1646.0","1671.0","7.68","7.74","7.47","0.5469253852879087"
"1685.0","1714.0","7.89","6.27","7.05","0.06743146635871176"
"1720.0","1740.0","7.44","6.86","7.05","0.7808877034480789"
"1742.0","1835.0","8.11","7.0","7.62","0.49244672068579"
"1840.0","1864.0","7.73","5.71","6.53","0.08258079297691501"
"1871.0","1895.0","7.09","5.95","6.84","0.07138900680492426"
"1896.0","1904.0","4.05","5.55","4.85","0.18709494588221035"
"1905.0","1955.0","7.73","6.47","6.79","0.24820948019116498"
"2025.0","2093.0","7.55","6.9","7.21","0.2648098360520801"
"2094.0","2128.0","7.16","5.89","7.05","0.2453828274672124"
"2190.0","2228.0","7.86","6.68","7.33","0.042985778002040294"
"2229.0","2268.0","7.64","6.27","6.88","0.30813488793292465"
"2270.0","2295.0","7.29","6.27","7.18","0.06710275046468206"
