"Scene Start","Scene End","Valence","Arousal","Dominance","Audio Level"
"15.0","40.0","7.84","5.29","7.6","0.4628794873290918"
"41.0","60.0","7.66","5.65","6.89","0.048024739810379996"
"61.0","72.0","7.48","4.33","6.77","0.004917329321775057"
"73.0","565.0","8.37","7.14","7.72","0.47337768228838445"
"566.0","623.0","8.25","6.24","6.71","0.6373550373906107"
"624.0","660.0","7.64","6.75","7.05","0.41711807502477616"
"661.0","665.0","7.11","5.0","6.67","0.1337897624779157"
"666.0","670.0","6.45","6.74","6.0","0.11987007881949657"
"671.0","680.0","7.32","5.76","7.16","0.10632989680610368"
"681.0","690.0","7.53","6.4","6.41","0.14350914045160715"
"710.0","750.0","7.53","6.74","6.89","0.20846231127762727"
"751.0","763.0","7.59","6.29","6.79","1.0"
"766.0","787.0","7.67","6.0","7.0","0.23348328422222933"
"788.0","790.0","6.68","5.57","6.25","0.3533459439478678"
"791.0","1020.0","8.25","7.6","7.72","0.1453847292526992"
"1021.0","1040.0","7.48","5.95","6.95","0.04758157220203817"
"1041.0","1110.0","7.89","6.86","7.72","0.10692938371223358"
"1111.0","1128.0","7.44","6.8","6.79","0.027676365981627628"
"1129.0","1160.0","7.89","5.95","6.72","0.04230915851052134"
"1164.0","1290.0","7.88","7.14","7.05","0.09917059014767857"
"1292.0","1320.0","7.48","4.57","6.77","0.22156706028696077"
"1321.0","1357.0","7.73","5.95","6.82","0.07801512430248589"
"1358.0","1440.0","7.76","6.8","7.21","0.09802737340386958"
"1475.0","1734.0","7.89","7.14","7.16","0.5881340083658808"
"1735.0","1740.0","7.48","4.98","6.84","0.3087409888564091"
"1741.0","1814.0","7.73","7.05","7.44","0.507086858077713"
"1815.0","1817.0","5.48","3.59","5.57","0.2596222577804444"
"1818.0","1827.0","7.19","6.74","6.47","0.5098588962902988"
"1828.0","1895.0","7.89","6.05","7.72","0.22099457985599116"
"1897.0","1940.0","7.89","5.62","6.88","0.15229020909042434"
"1945.0","1975.0","7.14","6.33","6.89","0.037642959814752984"
"1976.0","2040.0","8.37","6.81","7.04","0.0635704096616365"
"2082.0","2140.0","7.64","6.48","7.18","0.07889345170418363"
"2144.0","2196.0","7.32","5.85","7.21","0.20018497784487171"
"2197.0","2248.0","7.89","5.95","7.72","0.062261685500450935"
"2249.0","2285.0","8.37","7.74","7.04","0.2626648747494281"
"2310.0","2349.0","7.64","7.05","7.0","0.07196237879163832"
"2350.0","2360.0","6.76","5.6","6.3","0.11739550818348009"
"2361.0","2385.0","7.7","5.23","7.21","0.14862233123410548"
"2386.0","2520.0","7.95","7.6","7.16","0.09990023742214774"
"2525.0","2570.0","8.37","6.74","7.16","0.31692965170298404"
"2575.0","2668.0","7.64","7.6","7.0","0.10452625709800101"
"2669.0","2710.0","7.9","6.74","6.79","0.12651092275545195"
"2712.0","2875.0","7.64","7.14","7.2","0.5349897148019112"
"2877.0","2885.0","7.37","6.74","6.17","0.31625080515574716"
"2900.0","3008.0","7.89","7.05","7.26","0.19158683219250505"
"3009.0","3062.0","7.89","7.14","7.39","0.14783255705404275"
"3063.0","3085.0","6.36","5.45","6.63","0.2266494379299022"
"3104.0","3120.0","5.91","4.57","5.88","0.0807534524201974"
"3130.0","3184.0","7.47","5.7","6.79","0.4207115726840892"
"3185.0","3264.0","7.67","6.3","7.16","0.1773593455877607"
"3275.0","3439.0","7.58","7.6","7.33","0.1478300955299071"
"3495.0","3507.0","7.89","7.05","7.72","0.07457021904116252"
"3509.0","3523.0","7.95","6.86","6.79","0.115831439662454"
"3524.0","3545.0","7.82","7.6","7.16","0.08039126213643231"
"3546.0","3623.0","7.19","6.26","6.86","0.08761225331733981"
"3624.0","3674.0","8.37","6.35","7.04","0.13846482284036507"
"3675.0","3689.0","7.67","7.05","7.05","0.17738949041753901"
"3690.0","3700.0","5.7","3.81","6.0","0.04623470237017877"
"3701.0","3759.0","7.95","5.69","7.17","0.15851671784264923"
"3760.0","3780.0","7.57","6.74","6.5","0.21683023011807723"
"3781.0","3845.0","7.89","6.35","7.16","0.20906435014821342"
