"Scene Start","Scene End","Valence","Arousal","Dominance","Audio Level"
"155.0","198.0","7.64","6.74","6.82","0.8185871466266051"
"199.0","206.0","6.38","5.29","6.68","0.23989995076521822"
"207.0","270.0","7.24","6.75","7.32","0.7674445259635911"
"274.0","292.0","7.86","6.4","7.16","0.14465557292982423"
"293.0","294.0","7.09","4.6","6.68","0.08900150447897995"
"297.0","332.0","7.61","5.71","7.21","0.10664791071625696"
"341.0","372.0","7.47","6.62","6.79","0.24103400757487614"
"373.0","394.0","7.64","6.14","7.16","0.358823343833584"
"395.0","422.0","8.47","6.43","7.21","0.4603498670926693"
"427.0","432.0","6.68","6.27","6.79","0.16766855652375626"
"433.0","441.0","7.7","5.61","7.21","0.06702704900998407"
"449.0","528.0","7.64","6.9","7.05","0.14713827925593545"
"529.0","534.0","6.27","4.67","6.11","0.3497464835826995"
"535.0","628.0","7.86","6.0","7.16","0.31294688799705583"
"629.0","680.0","6.95","5.94","6.89","0.1321329127375618"
"681.0","775.0","6.84","5.75","6.95","0.2310995650044222"
"776.0","836.0","7.44","5.35","6.79","0.15434079042459403"
"840.0","885.0","6.52","5.04","6.54","0.09604849109667443"
"887.0","900.0","6.78","5.2","7.0","0.14089597662205114"
"901.0","909.0","6.95","5.05","6.18","0.24781049544378939"
"910.0","940.0","7.33","4.95","6.54","0.1297953372328159"
"941.0","950.0","7.5","4.14","6.65","0.2351082252484809"
"941.0","991.0","6.84","6.0","6.61","0.28056315765437945"
"993.0","1177.0","7.82","6.05","7.37","0.18639985186053454"
"1180.0","1412.0","8.0","6.8","7.72","0.20318356859678213"
"1413.0","1532.0","7.68","5.93","7.26","0.09490688255817085"
"1533.0","1568.0","6.05","5.1","6.68","0.4377927705146092"
"1570.0","1594.0","7.18","6.0","6.79","0.08739543366591425"
"1595.0","1630.0","7.32","6.81","7.16","0.1315667652183843"
"1634.0","1647.0","8.0","4.95","6.48","0.08963561525370604"
"1648.0","1664.0","7.68","6.26","6.83","0.10746239018551122"
"1665.0","1673.0","7.44","5.48","6.89","0.1614515957359645"
"1674.0","1681.0","6.65","7.74","7.37","0.28266330935536943"
"1682.0","1692.0","7.0","5.9","5.94","0.39421053523615324"
"1693.0","1724.0","7.55","6.14","7.16","0.31282110033452676"
"1750.0","1924.0","7.86","6.9","7.16","0.5493774149026316"
"1925.0","1953.0","7.78","5.4","7.62","0.11513742705661949"
"1954.0","2212.0","7.89","7.05","7.18","0.16594616452470232"
"2213.0","2220.0","7.47","6.25","5.82","0.4511058064690709"
"2221.0","2344.0","7.24","7.05","7.17","0.579698548335613"
"2346.0","2404.0","7.48","6.81","7.16","0.13478364728101122"
"2405.0","2410.0","3.05","4.4","4.57","0.3595236672257001"
"2411.0","2453.0","7.68","6.26","6.92","0.4580373450026654"
"2455.0","2459.0","7.47","5.53","6.42","0.5402535843113175"
"2460.0","2501.0","8.0","6.14","6.84","0.47720981055182066"
"2502.0","2546.0","7.44","5.35","7.0","0.11506122216406617"
"2547.0","2567.0","7.89","5.63","7.72","0.2551956152980224"
"2600.0","2639.0","6.5","6.05","6.44","0.3560455025931893"
"2648.0","2689.0","6.81","6.15","6.95","0.1421491127613617"
"2690.0","2853.0","7.86","6.9","7.62","0.44214647045098926"
"2855.0","2860.0","7.44","5.02","6.35","0.19164874615361144"
"2861.0","2992.0","7.78","6.9","7.62","0.1996706245955477"
"2993.0","2997.0","6.27","4.35","6.11","0.03650894605834322"
"2998.0","3072.0","7.73","7.74","6.61","0.5202517592505956"
"3073.0","3077.0","7.47","5.53","6.03","0.6334329080788971"
"3078.0","3101.0","7.8","6.8","7.18","0.4106805564957308"
"3103.0","3135.0","7.55","6.9","7.37","0.12298665940645631"
"3139.0","3160.0","7.95","6.9","7.29","0.10309167492844314"
"3161.0","3251.0","7.89","7.05","7.18","0.18109635195537527"
"3252.0","3271.0","7.23","5.62","6.22","0.10683181717261621"
"3273.0","3295.0","7.5","6.8","6.82","0.1558595800581673"
"3297.0","3299.0","6.45","5.6","6.85","0.019154644061126082"
"3300.0","3302.0","5.91","5.0","6.04","0.03689861471276147"
"3303.0","3316.0","7.32","6.55","7.16","0.18144678149642257"
"3305.0","3371.0","6.3","5.0","6.35","0.7633477704958619"
"3317.0","3328.0","7.23","6.05","6.53","0.6852092638978682"
"3329.0","3336.0","7.89","6.26","6.82","0.32473298075619145"
"3337.0","3343.0","7.32","6.85","6.71","0.7633477704958619"
"3344.0","3304.0","7.44","6.8","6.58","0.2854989613954405"
"3372.0","3383.0","7.7","6.0","7.21","0.6628218329858223"
"3385.0","3389.0","4.5","6.05","4.79","0.7503586012042724"
"3390.0","3419.0","8.37","6.8","7.16","0.33797638466507685"
"3420.0","3425.0","7.47","5.53","5.82","0.30261768864949845"
"3426.0","3533.0","8.0","6.38","7.27","1.0"
"3534.0","3552.0","6.89","5.9","6.54","0.7755426540706388"
"3553.0","3763.0","8.05","6.67","7.86","0.06701794585266484"
"3764.0","3790.0","6.0","5.67","6.37","0.4111235531944788"
"3794.0","3836.0","7.78","6.85","7.62","0.5002858949901545"
"3839.0","3846.0","6.95","5.62","6.89","0.3847310904451302"
"3851.0","3860.0","6.89","5.3","6.47","0.6399785944075866"
"3863.0","3920.0","7.47","6.33","7.86","0.3916348497645655"
"3922.0","3930.0","7.86","6.25","7.11","0.31414549172923584"
"3931.0","3944.0","7.23","5.09","6.68","0.2112525524828682"
"3945.0","3954.0","7.86","5.53","6.47","0.15466463634204664"
"3955.0","3960.0","6.64","6.05","6.06","0.11523894789653628"
"3961.0","3975.0","7.64","5.42","6.53","0.12832232967737872"
"3976.0","4018.0","7.32","6.3","7.16","0.21749985653814055"
"4019.0","4059.0","7.32","5.65","7.0","0.3289845983065564"
"4060.0","4102.0","7.73","6.91","7.16","0.5026451919026542"
"4103.0","4352.0","7.73","6.81","7.21","0.7849412911185547"
"4209.0","4936.0","7.89","7.74","7.74","0.20390002854884173"
"4353.0","4412.0","7.73","5.74","6.88","0.1298305724630287"
"4413.0","4434.0","7.09","5.38","6.79","0.06741031084787821"
"4435.0","4445.0","6.61","5.1","7.0","0.6977026277856957"
"4446.0","4556.0","7.77","6.85","7.16","0.1927804291994789"
"4557.0","4582.0","7.59","6.36","7.74","0.12413279503664568"
"4583.0","4629.0","7.64","6.43","7.16","0.7635513656233384"
"4634.0","4673.0","7.44","6.6","6.75","0.12660522075871397"
"4675.0","4686.0","6.53","4.76","6.79","0.6143549667229169"
"4687.0","4748.0","7.84","7.74","7.19","0.2778125805210416"
"4937.0","4986.0","7.62","6.35","7.21","0.426239593583853"
"4987.0","5009.0","6.18","5.1","6.68","0.22853606722994785"
"5010.0","5018.0","7.68","5.62","6.16","0.4931643749518009"
"5019.0","5029.0","7.64","6.1","6.82","0.18410127894258677"
"5030.0","5041.0","7.77","5.2","7.37","0.2308128935934049"
"5042.0","5047.0","6.32","5.0","5.82","0.18288072014627318"
"5048.0","5053.0","6.5","4.33","6.44","0.22988475245921222"
"5060.0","5065.0","6.91","4.57","6.61","0.31688944518856893"
"5066.0","5071.0","5.72","4.57","5.61","0.5838985916384312"
"5072.0","5089.0","7.59","6.35","7.74","0.10495488368895405"
"5090.0","5096.0","7.5","6.62","7.16","0.1512767972002529"
"5101.0","5143.0","6.84","5.35","6.58","0.480131061380445"
"5145.0","5123.0","7.52","5.93","7.21","0.4566030823665612"
"5221.0","5254.0","7.89","6.57","7.27","0.48676238422256135"
"5255.0","5263.0","7.22","7.05","6.12","0.4077362389402962"
"5264.0","5270.0","7.26","6.09","6.55","0.6222513080822782"
"5271.0","5276.0","6.14","6.55","6.79","0.04642500411668039"
"5277.0","5358.0","7.64","7.74","7.0","0.06865640325932706"
"5364.0","5372.0","6.64","6.55","6.82","0.3969160930976801"
"5373.0","5381.0","7.32","5.0","7.16","0.4219381515150975"
"5382.0","5395.0","7.25","5.24","6.17","0.11195238256365701"
"5396.0","5489.0","7.32","6.75","7.86","0.23516728378165314"
"5490.0","5504.0","7.64","6.08","7.16","0.07737536244404467"
"5505.0","5521.0","7.23","6.75","6.95","0.4367904491700659"
"5522.0","5527.0","7.47","6.55","6.79","0.2618476715491329"
"5528.0","5577.0","7.23","6.91","7.19","0.4204205174371978"
"5578.0","5587.0","7.48","5.48","6.78","0.10554830386510076"
"5605.0","5617.0","7.05","5.2","6.75","0.35595927935092175"
"5618.0","5623.0","6.05","5.3","6.79","0.03287152007899108"
"5628.0","5642.0","7.64","5.42","6.79","0.0620053708859658"
"5643.0","5644.0","5.91","7.05","6.04","0.08140990865091782"
"5645.0","5647.0","5.53","4.9","5.61","0.11131882459764783"
