"Scene Start","Scene End","Valence","Arousal","Dominance","Audio Level"
"25.0","85.0","5.938888888888889","5.44","5.553888888888888","loud"
"100.0","243.0","5.505903614457831","6.6","5.653253012048193","medium"
"244.0","389.0","5.524877049180327","6.62","5.526844262295082","silent"
"391.0","400.0","5.7829999999999995","5.6","5.4955","medium"
"402.0","440.0","5.454485981308412","7.74","5.590186915887849","silent"
"444.0","450.0","5.245555555555556","5.35","4.911111111111111","medium"
"451.0","470.0","5.570172413793103","6.95","5.585","silent"
"471.0","480.0","5.746944444444444","5.75","5.478055555555555","silent"
"540.0","588.0","5.1974193548387095","6.04","5.429838709677419","medium"
"590.0","595.0","5.941666666666666","4.43","5.510000000000001","silent"
"596.0","608.0","5.5823809523809516","6.09","5.470000000000001","silent"
"632.0","670.0","5.975862068965518","6.9","5.729310344827588","medium"
"671.0","720.0","6.050666666666668","5.14","5.720666666666667","silent"
"721.0","743.0","5.049473684210526","6.11","5.117894736842106","silent"
"745.0","859.0","5.455696202531646","6.11","5.495063291139241","silent"
"860.0","892.0","5.382666666666667","5.18","5.170000000000001","silent"
"893.0","1050.0","5.2453594771241825","6.9","5.242287581699346","medium"
"1051.0","1100.0","5.756666666666667","5.58","5.683333333333334","silent"
"1101.0","1112.0","4.957777777777778","6.27","5.330555555555555","silent"
"1113.0","1130.0","5.674","4.76","5.626","silent"
"1185.0","1214.0","5.249019607843138","6.62","5.369607843137255","silent"
"1225.0","1325.0","5.336016949152544","7.74","5.392118644067797","silent"
"1326.0","1360.0","5.295238095238095","6.09","5.454285714285714","silent"
"1361.0","1380.0","4.939090909090909","6.09","5.4845454545454535","silent"
"1400.0","1410.0","5.227777777777778","6.09","5.348888888888889","silent"
"1415.0","1433.0","5.673076923076923","7.74","5.512692307692307","medium"
"1435.0","1460.0","5.353225806451612","6.8","5.604516129032258","medium"
"1461.0","1470.0","5.3564","6.8","5.6644","loud"
"1471.0","1475.0","4.91125","6.35","5.05625","loud"
"1476.0","1485.0","5.346296296296296","7.74","5.118148148148148","loud"
"1525.0","1545.0","5.01","7.74","5.193103448275862","loud"
"1583.0","1605.0","5.254303797468354","7.74","5.13493670886076","loud"
"1606.0","1645.0","5.343148148148147","7.74","5.420000000000001","loud"
"1646.0","1671.0","5.142173913043478","7.74","5.274239130434782","medium"
"1685.0","1714.0","5.483970588235294","6.27","5.432058823529412","silent"
"1720.0","1740.0","5.09111111111111","6.86","5.087222222222222","loud"
"1742.0","1835.0","5.408512396694215","7.0","5.513471074380165","medium"
"1840.0","1864.0","5.5998","5.71","5.4676","silent"
"1871.0","1895.0","5.4277083333333325","5.95","5.363958333333334","silent"
"1896.0","1904.0","4.05","5.55","4.85","silent"
"1905.0","1955.0","5.376727272727273","6.47","5.408363636363636","silent"
"2025.0","2093.0","5.612499999999999","6.9","5.315714285714286","silent"
"2094.0","2128.0","5.872916666666666","5.89","5.46375","silent"
"2190.0","2228.0","5.6049999999999995","6.68","5.561052631578947","silent"
"2229.0","2268.0","5.273958333333333","6.27","5.518541666666667","silent"
"2270.0","2295.0","5.457118644067797","6.27","5.569830508474575","silent"
"2296.0","2302.0","6.053333333333334","4.0","5.95","silent"
"2305.0","2350.0","5.453333333333334","5.29","5.251481481481482","silent"
"2355.0","2400.0","5.003333333333333","6.26","4.9825","silent"
"2411.0","2435.0","5.009090909090909","6.27","5.405454545454545","silent"
"2436.0","2445.0","5.107857142857142","5.61","5.247142857142856","silent"
"2446.0","2460.0","5.719166666666667","4.68","5.545000000000001","silent"
"2461.0","2464.0","4.8965","6.27","5.210999999999999","medium"
"2465.0","2470.0","4.873333333333334","5.45","4.3933333333333335","silent"
"2471.0","2475.0","5.644166666666667","6.6","5.4558333333333335","silent"
"2476.0","2478.0","5.6000000000000005","5.35","5.304444444444445","silent"
"2479.0","2490.0","4.954615384615384","4.5","5.176923076923078","silent"
"2491.0","2520.0","5.190476190476191","6.27","5.423809523809523","medium"
"2521.0","2525.0","5.589","6.57","5.063","medium"
"2526.0","2536.0","5.017692307692308","6.91","4.980769230769231","medium"
"2537.0","2580.0","5.145925925925926","6.35","5.114074074074074","silent"
"2587.0","2605.0","5.055882352941176","5.76","4.930588235294117","silent"
"2615.0","2634.0","5.019090909090909","6.27","5.18","silent"
"2635.0","2793.0","5.542394366197183","6.27","5.405633802816901","loud"
"2793.0","2830.0","5.364857142857143","6.35","5.277428571428572","loud"
"2831.0","2858.0","5.669666666666667","6.4","5.588333333333334","medium"
"2859.0","2862.0","6.3725000000000005","4.06","5.615","medium"
"2863.0","2910.0","4.961600000000001","6.86","5.0748","loud"
"2911.0","3038.0","5.122","6.86","5.29104347826087","silent"
"3039.0","3055.0","5.572857142857144","6.9","5.355714285714286","silent"
"3056.0","3200.0","5.519846153846154","5.9","5.487230769230769","silent"
"3255.0","3412.0","5.383333333333334","7.0","5.3375","silent"
"3413.0","3455.0","5.812162162162161","5.48","5.43027027027027","silent"
"3456.0","3558.0","5.393563218390804","7.74","5.294137931034483","medium"
"3559.0","3697.0","5.5944927536231885","6.86","5.446884057971015","silent"
"3698.0","3760.0","5.473086419753087","6.86","5.329753086419753","silent"
"3790.0","4005.0","5.311594202898551","7.74","5.1794927536231885","loud"
"4006.0","4089.0","5.568076923076924","6.67","5.523942307692308","medium"
"4090.0","4126.0","4.698","7.33","4.61","silent"
"4128.0","4305.0","5.554044943820225","6.8","5.557528089887641","medium"
"4318.0","4335.0","5.38875","4.3","5.24125","silent"
"4339.0","4358.0","5.142","6.27","5.442","silent"
"4359.0","4365.0","5.213","4.52","5.291","silent"
"4366.0","780.0","5.271818181818181","5.53","5.433636363636363","silent"
"4381.0","4420.0","5.384117647058823","6.91","5.354117647058823","loud"
"4421.0","4450.0","4.9192857142857145","7.27","5.299999999999999","silent"
"4451.0","4464.0","4.647142857142858","6.91","4.878571428571428","medium"
"4465.0","4535.0","5.2335714285714285","6.27","5.324142857142857","loud"
"4536.0","4600.0","5.191625","6.8","5.287625","medium"
"4600.0","4615.0","5.29","6.9","5.282222222222222","medium"
"4616.0","4640.0","5.591739130434783","5.85","5.011739130434782","medium"
"4641.0","4660.0","5.913571428571428","6.05","5.791428571428571","medium"
"4661.0","4676.0","4.81","5.35","5.115833333333333","medium"
"4677.0","4755.0","5.535833333333333","6.81","5.220666666666667","silent"
"4756.0","4765.0","5.3925","4.12","5.047499999999999","loud"
"4788.0","4855.0","5.350689655172413","6.27","5.171724137931035","medium"
"4905.0","4965.0","5.128068181818181","6.86","5.224545454545455","silent"
"4966.0","4975.0","5.29375","5.38","5.484999999999999","silent"
"4990.0","5055.0","5.460158730158731","6.6","5.578412698412698","silent"
"5073.0","5108.0","5.777000000000001","5.16","5.49","medium"
"5109.0","5145.0","5.51025","6.27","5.449","medium"
"5146.0","5166.0","5.415151515151515","6.27","5.214545454545455","silent"
"5190.0","5227.0","5.652941176470589","6.05","5.246764705882353","silent"
"5224.0","5240.0","5.3405555555555555","6.05","5.288888888888889","silent"
"5247.0","5255.0","5.0236363636363635","7.05","5.399090909090909","loud"
"5315.0","5367.0","5.3204166666666675","6.27","5.3339583333333325","silent"
"5425.0","5450.0","5.8066666666666675","6.14","5.203333333333333","loud"
"5494.0","5508.0","3.5250000000000004","6.86","4.361666666666666","silent"
"5614.0","5634.0","5.685217391304349","5.76","5.306956521739131","medium"
"5970.0","6045.0","5.306478873239436","6.74","5.459718309859156","loud"
"6058.0","6084.0","5.898666666666666","7.14","5.544","silent"
"6085.0","6140.0","5.2559523809523805","6.9","5.126666666666667","silent"
"6141.0","6155.0","5.5585","5.76","5.587999999999999","medium"
