"Scene Start","Scene End","Valence","Arousal","Dominance","Audio Level"
"155.0","198.0","5.405396825396825","6.74","5.335238095238095","loud"
"199.0","206.0","5.1063636363636355","5.29","5.491818181818181","silent"
"207.0","270.0","4.876923076923078","6.75","5.124358974358975","loud"
"274.0","292.0","5.2124999999999995","6.4","5.246785714285714","silent"
"293.0","294.0","6.078","4.6","5.818","silent"
"297.0","332.0","5.7007142857142865","5.71","5.411666666666666","silent"
"341.0","372.0","4.911111111111111","6.62","5.226444444444445","silent"
"373.0","394.0","5.482424242424242","6.14","5.336363636363636","medium"
"395.0","422.0","5.2374418604651165","6.43","5.225581395348837","medium"
"427.0","432.0","5.105833333333334","6.27","5.090833333333333","silent"
"433.0","441.0","5.656153846153846","5.61","5.4338461538461535","silent"
"449.0","528.0","5.20247619047619","6.9","5.343904761904762","silent"
"529.0","534.0","5.463333333333334","4.67","5.353333333333333","medium"
"535.0","628.0","5.512278481012659","6.0","5.283291139240506","silent"
"629.0","680.0","5.074242424242424","5.94","5.131212121212121","silent"
"681.0","775.0","5.332676056338029","5.75","5.097042253521128","silent"
"776.0","836.0","5.620666666666667","5.35","5.430999999999999","silent"
"840.0","885.0","5.020500000000001","5.04","5.297499999999999","silent"
"887.0","900.0","5.3752941176470594","5.2","5.388823529411764","silent"
"901.0","909.0","5.741666666666666","5.05","5.193333333333333","silent"
"910.0","940.0","5.431578947368422","4.95","5.265263157894736","silent"
"941.0","950.0","6.336666666666666","4.14","5.54","silent"
"941.0","991.0","5.220588235294117","6.0","5.414411764705882","silent"
"993.0","1177.0","5.548082901554405","6.05","5.443626943005181","silent"
"1180.0","1412.0","5.737147540983607","6.8","5.610622950819672","silent"
"1413.0","1532.0","5.851297709923664","5.93","5.606946564885496","silent"
"1533.0","1568.0","5.30125","5.1","5.22875","medium"
"1570.0","1594.0","5.343333333333334","6.0","5.245416666666667","silent"
"1595.0","1630.0","5.601333333333333","6.81","5.320666666666668","silent"
"1634.0","1647.0","6.045454545454546","4.95","5.631818181818182","silent"
"1648.0","1664.0","5.8643478260869575","6.26","5.495217391304348","silent"
"1665.0","1673.0","5.227837837837837","5.48","5.517567567567568","silent"
"1674.0","1681.0","5.272105263157895","7.74","5.398157894736843","silent"
"1682.0","1692.0","5.62875","5.9","5.074999999999999","medium"
"1693.0","1724.0","5.6000000000000005","6.14","5.496379310344828","silent"
"1750.0","1924.0","5.630952380952381","6.9","5.366380952380951","medium"
"1925.0","1953.0","5.688510638297872","5.4","5.45127659574468","silent"
"1954.0","2212.0","5.583802816901408","7.05","5.492394366197183","silent"
"2213.0","2220.0","4.203333333333333","6.25","4.645","medium"
"2221.0","2344.0","5.141490683229813","7.05","5.394534161490683","medium"
"2346.0","2404.0","5.3792307692307695","6.81","5.280512820512822","silent"
"2405.0","2410.0","3.0","4.4","3.8950000000000005","medium"
"2411.0","2453.0","5.661111111111111","6.26","5.407222222222222","medium"
"2455.0","2459.0","4.858","5.53","5.1240000000000006","medium"
"2460.0","2501.0","5.340238095238096","6.14","5.446190476190476","medium"
"2502.0","2546.0","5.835294117647059","5.35","5.524705882352941","silent"
"2547.0","2567.0","4.8568181818181815","5.63","5.222272727272728","silent"
"2600.0","2639.0","5.638285714285714","6.05","5.559428571428572","medium"
"2648.0","2689.0","5.485813953488372","6.15","5.575581395348837","silent"
"2690.0","2853.0","5.284562211981567","6.9","5.336958525345621","medium"
"2855.0","2860.0","6.020833333333333","5.02","5.546666666666667","silent"
"2861.0","2992.0","5.742434782608695","6.9","5.543130434782609","silent"
"2993.0","2997.0","5.555","4.35","5.7325","silent"
"2998.0","3072.0","5.349746835443038","7.74","5.31126582278481","medium"
"3073.0","3077.0","5.035","5.53","5.109999999999999","medium"
"3078.0","3101.0","5.62054054054054","6.8","5.692432432432433","medium"
"3103.0","3135.0","5.329047619047619","6.9","5.555476190476191","silent"
"3139.0","3160.0","5.335294117647059","6.9","5.326470588235293","silent"
"3161.0","3251.0","5.671636363636362","7.05","5.531272727272727","silent"
"3252.0","3271.0","5.665454545454545","5.62","5.198181818181818","silent"
"3273.0","3295.0","5.570454545454545","6.8","5.471818181818181","silent"
"3297.0","3299.0","6.165","5.6","5.925","silent"
"3300.0","3302.0","5.332","5.0","5.254","silent"
"3303.0","3316.0","5.596363636363637","6.55","5.62","silent"
"3305.0","3371.0","5.604285714285714","5.0","5.312857142857142","loud"
"3317.0","3328.0","5.463461538461538","6.05","5.4253846153846155","loud"
"3329.0","3336.0","5.571666666666666","6.26","5.19","silent"
"3337.0","3343.0","5.607692307692308","6.85","5.533846153846154","loud"
"3344.0","3304.0","6.0009999999999994","6.8","5.767999999999999","silent"
"3372.0","3383.0","5.955172413793103","6.0","5.72","loud"
"3385.0","3389.0","4.41","6.05","4.68","loud"
"3390.0","3419.0","5.92061224489796","6.8","5.620816326530611","medium"
"3420.0","3425.0","4.68","5.53","4.62","silent"
"3426.0","3533.0","5.563793103448277","6.38","5.628189655172414","loud"
"3534.0","3552.0","5.456923076923076","5.9","5.54576923076923","loud"
"3553.0","3763.0","5.697842323651452","6.67","5.547344398340249","silent"
"3764.0","3790.0","4.904444444444445","5.67","5.011111111111111","medium"
"3794.0","3836.0","5.308552631578949","6.85","5.380921052631579","medium"
"3839.0","3846.0","5.680000000000001","5.62","5.751538461538463","medium"
"3851.0","3860.0","5.2585","5.3","5.3715","medium"
"3863.0","3920.0","5.783833333333334","6.33","5.610333333333333","medium"
"3922.0","3930.0","5.356315789473684","6.25","5.233684210526316","silent"
"3931.0","3944.0","5.34625","5.09","5.3375","silent"
"3945.0","3954.0","5.509999999999999","5.53","5.389285714285713","silent"
"3955.0","3960.0","5.344545454545455","6.05","5.56","silent"
"3961.0","3975.0","5.741333333333333","5.42","5.570666666666667","silent"
"3976.0","4018.0","5.607173913043479","6.3","5.56586956521739","silent"
"4019.0","4059.0","5.187647058823529","5.65","5.135294117647059","silent"
"4060.0","4102.0","5.802692307692307","6.91","5.4946153846153845","medium"
"4103.0","4352.0","5.577014388489209","6.81","5.643129496402878","loud"
"4209.0","4936.0","5.192239999999999","7.74","5.4288799999999995","silent"
"4353.0","4412.0","5.6975","5.74","5.588571428571428","silent"
"4413.0","4434.0","5.463478260869565","5.38","5.2299999999999995","silent"
"4435.0","4445.0","5.660625","5.1","5.92","loud"
"4446.0","4556.0","5.3015384615384615","6.85","5.3112087912087915","silent"
"4557.0","4582.0","5.860909090909092","6.36","5.6022727272727275","silent"
"4583.0","4629.0","5.203555555555555","6.43","5.169111111111111","loud"
"4634.0","4673.0","5.3248","6.6","5.3126","silent"
"4675.0","4686.0","5.592","4.76","5.4445","medium"
