"Scene Start","Scene End","Valence","Arousal","Dominance","Audio Level"
"63","65","5.7","4.6000000000000005","5.043333333333333","0.17309035447320492"
"66","67","7.42","3.745","6.67","0.2169784471165161"
"67","69","4.875","4.285","4.9399999999999995","0.19715556691824077"
"71","73","5.635","3.5949999999999998","6.035","0.26677423466124645"
"132","133","5.665","4.28","5.3100000000000005","0.36613387250013024"
"133","134","5.55","5.35","5.869999999999999","0.3200226642875202"
"135","136","4.95","4.76","5.5","0.28390628134508633"
"141","142","7.055","5.77","5.055","0.3165120639925513"
"143","144","7.44","4.4","6.28","0.27767025261761785"
"149","152","5.9","5.56","5.0","0.37426417113200316"
"153","155","5.23","7.14","5.47","0.3134900425242684"
"157","159","5.95","3.76","5.88","0.30027006668042305"
"163","164","5.23","7.14","5.47","0.6045228322187074"
"175","176","5.91","4.43","6.88","0.26408157592500253"
"233","235","5.42","4.36","5.44","0.7573591120828086"
"246","247","7.32","5.0","7.16","0.7330369645800793"
"282","284","5.42","4.36","5.44","0.7581072929292236"
"289","290","5.23","7.14","5.47","0.745009578683262"
"300","303","5.783333333333334","5.333333333333333","5.466666666666666","0.764354545712287"
"357","360","4.955","5.13","4.165","0.6547269602022053"
"419","422","3.9","4.52","4.56","0.145811665789824"
"444","446","5.64","3.57","5.94","0.784482236564927"
"466","468","4.743333333333333","5.523333333333333","4.873333333333334","0.492967729480669"
"523","525","6.09","3.67","5.65","0.3163430271851399"
"526","527","5.23","7.14","5.47","0.31835494627551003"
"527","530","3.9266666666666663","4.416666666666667","4.503333333333333","0.3236023136499416"
"599","602","5.1","3.935","5.119999999999999","0.14136722187502646"
"606","610","5.4525","4.565","5.6175","0.17385142909408785"
"613","615","7.73","4.57","5.72","0.21305700805981717"
"618","620","5.41","3.67","6.35","0.3659865707703342"
"635","636","5.09","3.86","5.94","0.05232529409286686"
"636","638","5.25","4.5","4.465","0.06318743031644837"
"660","664","5.003333333333333","4.176666666666667","4.99","0.14208794833770028"
"671","674","5.26","3.67","5.57","0.03758954369348161"
"674","676","5.05","4.67","3.82","0.03177388143367688"
"677","680","5.06","2.9","4.22","0.030441699285455343"
"681","682","7.7","5.5","6.7","0.012626802686830951"
"696","697","6.22","2.84","4.92","0.023179325890201382"
