"Scene Start","Scene End","neg","neu","pos","compound","Audio Level"
"40.0","112.0","0.091","0.848","0.061","-0.5282","0.28540644145937216"
"112.0","129.0","0.17","0.83","0.0","-0.7783","0.5092694382965653"
"130.0","148.0","0.091","0.673","0.236","0.9221","0.3805716930074493"
"148.0","163.0","0.141","0.805","0.054","-0.6041","0.3378019250043751"
"164.0","186.0","0.057","0.897","0.046","-0.4019","0.302423692287082"
"186.0","660.0","0.091","0.846","0.064","-0.9935","0.5975442334975486"
"661.0","684.0","0.117","0.792","0.091","-0.6486","0.052699902121703196"
"685.0","751.0","0.105","0.844","0.051","-0.9356","0.021517651971210906"
"752.0","915.0","0.09","0.862","0.048","-0.9841","0.25141110250606025"
"915.0","991.0","0.092","0.833","0.075","-0.5938","0.3322154567638577"
"992.0","1017.0","0.0","1.0","0.0","0.0","0.20241520738543042"
"1018.0","1024.0","0.0","0.924","0.076","0.34","0.46005228541604787"
"1025.0","1034.0","0.0","0.779","0.221","0.6249","0.30406107126150905"
"1035.0","1044.0","0.112","0.888","0.0","-0.5267","0.3003107178073944"
"1045.0","1058.0","0.0","0.948","0.052","0.2023","0.2246930666640861"
"1059.0","1169.0","0.067","0.898","0.036","-0.9364","0.06422409897601422"
"1170.0","1368.0","0.104","0.814","0.082","-0.968","0.07172026137095829"
"1369.0","1402.0","0.0","0.976","0.024","0.3612","0.036508417175013914"
"1403.0","1424.0","0.03","0.924","0.046","0.4404","0.021856790157280353"
"1424.0","1530.0","0.098","0.829","0.073","-0.2748","0.030291366857448505"
"1530.0","1622.0","0.106","0.845","0.049","-0.9231","0.13040811461955348"
"1623.0","1647.0","0.071","0.844","0.084","0.8162","0.09144612245940459"
"1648.0","1864.0","0.119","0.824","0.057","-0.9871","0.13346255135758828"
"1865.0","1984.0","0.073","0.865","0.061","-0.2844","0.07251453683419971"
"1985.0","1999.0","0.071","0.929","0.0","-0.296","0.3218413292405457"
"2000.0","2014.0","0.0","1.0","0.0","0.0","0.21059226288598393"
"2015.0","2044.0","0.0","0.95","0.05","0.0258","0.0636778316600463"
"2045.0","2066.0","0.027","0.931","0.042","0.2732","0.047737402611169384"
"2067.0","2101.0","0.0","0.92","0.08","0.5411","0.06566635514991036"
"2102.0","2279.0","0.05","0.865","0.085","0.9848","0.09026484360284988"
"2280.0","2358.0","0.105","0.851","0.044","-0.9775","0.15245392627671697"
"2360.0","2365.0","0.0","1.0","0.0","0.0","0.03599749233284777"
"2425.0","2429.0","0.129","0.786","0.085","-0.1779","0.25703153881041746"
"2430.0","2496.0","0.079","0.852","0.069","-0.6747","0.171541839111282"
"2436.0","2440.0","0.068","0.831","0.102","0.2732","0.24796793687835766"
"2497.0","2506.0","0.065","0.935","0.0","-0.1779","0.13641532998812375"
"2507.0","2539.0","0.056","0.876","0.068","0.636","0.5353779592348881"
