"Scene Start","Scene End","Valence","Arousal","Dominance","Audio Level"
"63","65","5.7","4.6000000000000005","5.043333333333333","0.08289580731908283"
"66","67","7.42","3.745","6.67","0.08307430516646978"
"67","69","4.875","4.285","4.9399999999999995","0.10946796475284327"
"71","73","5.635","3.5949999999999998","6.035","0.10768086776801211"
"132","133","5.665","4.28","5.3100000000000005","0.1658250720440022"
"133","134","5.55","5.35","5.869999999999999","0.12289498080771218"
"135","136","4.95","4.76","5.5","0.12856960382714153"
"141","142","7.055","5.77","5.055","0.1397470953522452"
"143","144","7.44","4.4","6.28","0.1250722671653247"
"149","152","5.9","5.56","5.0","0.16995989184237148"
"153","155","5.23","7.14","5.47","0.14677540294284364"
"157","159","5.95","3.76","5.88","0.12473514224252646"
"163","164","5.23","7.14","5.47","0.3586903756338354"
"233","235","5.42","4.36","5.44","0.34515397383081914"
"246","247","7.32","5.0","7.16","0.34139931255035855"
"282","284","5.42","4.36","5.44","0.32779945158626006"
"289","290","5.23","7.14","5.47","0.33545619570877144"
"300","303","5.783333333333334","5.333333333333333","5.466666666666666","0.3478448308710159"
"357","360","4.955","5.13","4.165","0.29572838324142126"
"419","422","3.9","4.52","4.56","0.07248444314778077"
"444","446","5.64","3.57","5.94","0.35991504573336397"
"466","468","4.743333333333333","5.523333333333333","4.873333333333334","0.21582310304315044"
"523","525","6.09","3.67","5.65","0.1476266285126749"
"527","530","3.9266666666666663","4.416666666666667","4.503333333333333","0.14284678913576881"
"599","602","5.1","3.935","5.119999999999999","0.063675159422139"
"606","610","5.4525","4.565","5.6175","0.07847150960745586"
"613","615","7.73","4.57","5.72","0.09475109347769872"
"618","620","5.41","3.67","6.35","0.16175365292508395"
"635","636","5.09","3.86","5.94","0.01704886460596693"
"636","638","5.25","4.5","4.465","0.0286938300679955"
"660","664","5.003333333333333","4.176666666666667","4.99","0.0689012244703243"
"671","674","5.26","3.67","5.57","0.02604734252006842"
"674","676","5.05","4.67","3.82","0.011473666605974778"
"677","680","5.06","2.9","4.22","0.01327330037643018"
"696","697","6.22","2.84","4.92","0.009740816124793142"
"697","699","5.3774999999999995","4.325","5.359999999999999","0.008847017429318043"
"699","700","3.8449999999999998","4.34","4.295","0.024051699462467827"
"707","709","6.09","3.685","6.255","0.006211369414083895"
"712","713","4.575","5.39","4.57","0.004705231491355904"
"714","715","3.5","4.52","3.5","0.0069331977605195175"
"715","718","5.95","3.76","5.88","0.008792435349503724"
"725","726","7.88","5.73","5.79","0.027865180106668577"
"726","730","5.0200000000000005","4.366666666666666","5.413333333333334","0.02996118028492301"
"730","732","6.126666666666666","4.180000000000001","5.373333333333334","0.014427113998042244"
"733","736","5.6025","4.285","5.51","0.009528892062214668"
"742","745","5.93","4.359999999999999","5.795","0.0069852080447191794"
"746","748","5.965","4.1450000000000005","6.1674999999999995","0.007186098838264841"
"749","751","6.72","2.65","6.28","0.03177028140010571"
"755","757","5.52","3.5949999999999998","5.984999999999999","0.0278035587544384"
"757","760","4.62","4.3149999999999995","4.825","0.01628105936139463"
"762","765","4.085","4.234999999999999","4.115","0.01030567836633063"
"765","768","5.463333333333334","4.27","6.0200000000000005","0.016807538023751442"
"768","769","6.41","4.81","5.5","0.03291382812207396"
"770","771","6.55","3.38","4.67","0.029872302301536702"
"776","779","5.95","3.0949999999999998","6.175","0.009667882839150016"
"780","783","5.545","3.5","5.535","0.009237138763551854"
"790","792","4.305","4.76","4.6","0.015080502101870953"
"792","793","4.583333333333333","4.526666666666666","5.006666666666667","0.01627856377720258"
"794","796","5.6","3.41","4.36","0.01667692606011445"
"820","822","6.295","3.74","5.805","0.1689675559529331"
"838","839","5.585","3.2","5.83","0.08257714084720151"
"839","840","5.243333333333333","4.29","5.196666666666666","0.04981930352318126"
"848","850","4.64","4.0","5.89","0.18096947813153066"
"852","855","4.21","5.826666666666667","4.346666666666667","0.2019418854122769"
"908","909","4.64","4.0","5.89","0.1592085747183655"
"927","928","4.64","4.0","5.89","0.16614912626783074"
"928","930","6.6850000000000005","4.93","6.415","0.15335480427791853"
"945","946","5.1","2.96","4.81","0.14410045061507798"
"1071","1073","7.48","3.78","6.77","0.0265014065920855"
"1082","1084","6.82","3.24","5.78","0.017964342292373356"
"1095","1097","5.34","3.59","6.245","0.01488577162807208"
"1097","1100","5.93","3.645","6.16","0.016116701697548193"
"1104","1106","5.32","2.9","6.61","0.010658122051527052"
"1113","1115","4.0","4.39","4.84","0.02098924231032942"
"1116","1120","5.44","3.6199999999999997","5.853333333333333","0.030093982885830355"
"1123","1125","6.07","3.785","5.75","0.04122723393248208"
"1126","1127","3.32","4.14","4.74","0.04695630228907272"
"1128","1129","5.67","4.12","6.62","0.025335209970618947"
"1135","1136","5.476666666666667","4.066666666666666","5.609999999999999","0.08901567281623528"
"1137","1139","5.824999999999999","3.81","5.4350000000000005","0.030087744582917075"
"1140","1143","3.24","4.86","3.56","0.0234555096493974"
"1145","1146","6.05","4.86","5.67","0.0423287787355448"
"1157","1159","7.73","4.57","5.72","0.02840361000681237"
"1160","1163","6.68","3.57","5.22","0.050998050655447574"
"1188","1190","3.9","4.52","4.56","0.021416491377258373"
"1192","1195","3.955","5.925000000000001","4.245","0.024309221498769313"
"1200","1203","5.6850000000000005","3.3600000000000003","5.734999999999999","0.022349868276069332"
"1203","1205","7.48","4.0","7.05","0.01605762050860717"
"1207","1209","6.18","3.43","5.94","0.017576926495411385"
"1218","1219","5.09","3.87","5.11","0.008062431695440235"
"1223","1225","6.025","3.355","6.19","0.0077443799142991486"
"1258","1260","2.33","6.81","2.56","0.02029614263745057"
"1263","1265","6.2225","3.4475000000000002","6.155","0.01704445504486152"
"1267","1268","3.77","3.3","6.11","0.02638182532902024"
"1269","1271","6.21","4.6","6.09","0.02863168738279485"
"1271","1276","6.3149999999999995","4.165","5.955","0.016637830706197107"
"1276","1278","5.4","3.57","5.88","0.02125235379865801"
"1279","1282","5.5","3.49","5.12","0.03648795682838355"
"1283","1284","5.199999999999999","3.9749999999999996","5.484999999999999","0.07566456929881703"
"1287","1289","5.9325","4.7","5.529999999999999","0.02364796119166241"
"1291","1292","4.82","3.24","4.89","0.036696904584511914"
"1294","1296","6.62","4.665","6.63","0.0399219755346616"
"1298","1299","5.885","3.21","5.275","0.037405799437536295"
"1303","1307","5.95","5.25","4.68","0.027430036719115244"
"1313","1314","7.44","4.4","6.28","0.03114815243928408"
"1316","1319","5.6899999999999995","4.535","3.69","0.026608299713946935"
"1319","1323","6.183333333333334","3.6333333333333333","6.433333333333334","0.02813467122997654"
"1337","1338","6.82","3.24","5.78","0.03231417368067247"
"1343","1345","5.61","3.428","5.972","0.05868605741330261"
"1349","1350","5.385","3.775","5.125","0.07610747595106417"
"1352","1353","5.575","3.37","5.609999999999999","0.0676563108076731"
"1354","1358","5.626666666666666","3.5583333333333336","5.41","0.051267678252094905"
"1402","1404","4.4366666666666665","4.12","5.1000000000000005","0.015364893758082674"
"1408","1410","5.5","3.43","5.53","0.012058029374494773"
"1419","1422","6.593333333333334","4.0633333333333335","6.183333333333334","0.009127312762969483"
"1526","1528","5.546","3.7520000000000002","5.109999999999999","0.003581848277402256"
"1529","1531","6.1850000000000005","4.045","6.1125","0.011668309868583103"
"1532","1534","3.58","4.72","4.21","0.01675454648784755"
"1538","1540","5.05","3.67","5.57","0.04035575018364364"
"1547","1550","6.64","3.625","6.154999999999999","0.013040856594809662"
"1551","1552","3.28","4.33","3.06","0.018466886309920435"
"1554","1555","5.88","4.05","5.67","0.020302587606816882"
"1555","1557","6.0","3.67","6.0","0.024749678192532897"
"1561","1564","5.405","4.005","5.545","0.013804653501075093"
"1569","1570","5.41","3.67","6.35","0.019328120043192395"
"1570","1572","4.305","4.42","4.83","0.015750948040679145"
"1633","1635","5.846666666666667","3.733333333333333","4.786666666666666","0.048580378193328715"
"1637","1638","5.7","3.77","5.4","0.04180995810363355"
"1638","1640","5.62","3.04","5.14","0.03559812771125518"
"1641","1643","3.9","4.52","4.56","0.013423109264402683"
"1659","1660","2.67","5.0","2.41","0.027551649563281794"
"1665","1666","5.465","3.76","5.805","0.03309527499438209"
"1666","1668","6.135","3.785","5.695","0.036063374825118386"
"1669","1670","6.68","3.52","6.71","0.02494416397317528"
"1677","1678","3.84","5.1","5.3","0.01955610637977392"
"1679","1680","6.105","3.875","5.3","0.029699761489456813"
"1682","1684","3.08","5.654999999999999","4.285","0.020748353583817686"
"1684","1686","5.279999999999999","3.9350000000000005","6.140000000000001","0.021929557500200075"
"1686","1687","6.23","3.4050000000000002","5.9","0.020006343098066454"
"1688","1691","4.85","5.035","5.005","0.026412622470160716"
"1691","1692","6.045","3.71","6.425","0.016095235791950685"
"1694","1696","5.295","3.93","5.675","0.025558909267458668"
"1699","1700","5.156666666666667","3.796666666666667","6.283333333333334","0.030093483054995238"
"1704","1706","5.24","4.7","5.43","0.0694294471907882"
"1707","1708","6.3100000000000005","4.335","6.705","0.022381559621938153"
"1709","1710","4.74","5.46","5.096666666666667","0.048603204555904146"
"1710","1712","7.46","4.44","6.12","0.032229304236177814"
"1712","1714","5.8","3.71","4.82","0.03092845418859674"
"1714","1717","5.265000000000001","5.13","5.029999999999999","0.04972792790230988"
"1718","1720","6.456666666666667","4.62","5.683333333333334","0.03113436512705955"
"1726","1727","4.78","3.65","3.61","0.015090293531754976"
"1728","1730","5.64","4.33","5.61","0.04109184917977204"
"1734","1735","6.133333333333333","3.7466666666666666","4.923333333333333","0.07148514254552381"
"1736","1738","5.865","4.17","5.285","0.0641145840139868"
"1744","1747","5.6066666666666665","3.3633333333333333","5.073333333333333","0.044754157502057024"
"1752","1755","2.23","6.27","3.27","0.06249649635924592"
"1755","1758","3.9","4.52","4.56","0.058661533447603116"
"1758","1759","6.32","3.43","5.71","0.05376462906164292"
"1762","1763","6.57","4.085","5.84","0.05071968397038101"
"1763","1766","5.125","4.785","5.15","0.044295600769658626"
"1766","1768","5.332","4.646","4.974","0.040326335034570525"
"1769","1771","4.59","5.95","3.44","0.04859003294973485"
"1772","1773","6.27","3.52","6.215","0.04082836921743227"
"1777","1779","5.220000000000001","4.470000000000001","5.08","0.04191011397920397"
"1783","1787","5.733333333333333","3.0566666666666666","5.056666666666667","0.042173300585638965"
"1792","1794","4.095","5.3","4.18","0.04015452471957434"
"1795","1797","6.225","3.995","6.1025","0.050776863576768486"
"1798","1800","6.343333333333334","3.6799999999999997","5.94","0.04766825041477423"
"1800","1802","6.25","3.1900000000000004","5.665","0.03749222050350135"
"1806","1808","5.683333333333334","3.1933333333333334","5.656666666666666","0.04858000376770241"
"1809","1811","5.24","6.015000000000001","5.745","0.06472401033092813"
"1812","1815","6.5633333333333335","4.18","5.46","0.05262807704488312"
"1816","1817","5.465","3.8","6.220000000000001","0.08347985932087049"
"1818","1821","6.67","5.19","5.87","0.059608837857738156"
"1821","1822","4.676666666666667","5.336666666666666","5.126666666666666","0.03819878567883567"
"1823","1825","5.18","4.19","5.0","0.047586765414765204"
"1828","1830","5.33","3.61","6.33","0.06341744419524135"
"1888","1890","5.86","3.52","5.72","0.009911413266160865"
"1891","1892","3.83","4.59","3.43","0.041180765259748786"
"1892","1895","7.19","3.95","6.41","0.01323228023374219"
"1897","1899","5.6","3.41","4.36","0.010874545855967201"
"1899","1901","4.2","3.805","5.015000000000001","0.00994178221726384"
"1901","1905","6.609999999999999","3.35","5.6000000000000005","0.012939506249529715"
"1906","1908","6.295","3.665","6.325","0.011269517319906337"
"1917","1920","6.41","3.34","5.965","0.011468296630745"
"1921","1923","6.33","2.52","6.35","0.018383927604885622"
"1923","1924","5.286666666666666","4.543333333333333","5.753333333333333","0.010900359861019776"
"1939","1942","5.41","3.67","6.35","0.03110705171593628"
"1990","1993","6.5","3.14","6.31","0.06455738274678842"
"1993","1995","6.343333333333334","3.6799999999999997","5.94","0.06811186088875834"
"1998","2000","7.58","4.0","5.58","0.2813842117674092"
"2143","2144","6.05","4.86","5.669999999999999","0.09676219752999256"
"2145","2146","4.81","4.62","5.65","0.029143297735727505"
"2147","2148","3.87","5.5600000000000005","4.15","0.03847387483040731"
"2148","2149","5.785","3.8099999999999996","6.135","0.029051335494484312"
"2151","2153","5.75","3.2649999999999997","5.47","0.02948162397568689"
"2154","2155","5.43","4.07","5.145","0.01324278272777156"
"2156","2157","4.85","3.95","4.88","0.012884243601106772"
"2157","2160","7.32","5.0","7.16","0.013894155143686455"
"2161","2163","3.52","5.07","3.93","0.005804657255642958"
"2164","2167","6.68","3.57","5.22","0.006557139877183424"
"2169","2172","5.67","3.7649999999999997","5.345000000000001","0.007598726695653958"
"2179","2180","4.943333333333333","5.0","5.56","0.01201250038637241"
"2182","2186","2.285","4.93","3.1550000000000002","0.03782729993475625"
"2195","2197","5.48","4.07","6.03","0.04379065414994232"
"2200","2202","4.05","5.17","3.6","0.042266225595452005"
"2213","2215","3.65","5.109999999999999","4.035","0.0988292768952816"
"2215","2218","7.31","3.65","6.8","0.07873431384441766"
"2219","2223","5.496666666666666","3.5933333333333337","5.553333333333334","0.14259860430967097"
"2224","2226","4.683333333333334","3.6266666666666665","5.1433333333333335","0.091432647110638"
"2226","2228","6.09","3.67","5.65","0.05088963925102226"
"2232","2233","5.39","3.38","4.89","0.14937820291090007"
"2241","2242","4.84","3.5433333333333334","4.303333333333334","0.041770974409055306"
"2242","2245","5.455","4.5649999999999995","5.545","0.04221401547869084"
"2245","2247","3.9625","4.82","4.2225","0.026984988496558775"
"2248","2250","6.113333333333333","4.076666666666667","6.086666666666666","0.06263462796287782"
"2252","2254","5.09","3.87","5.11","0.02032480156438964"
"2254","2256","5.6","3.41","4.36","0.026485580196069017"
"2257","2258","7.32","5.0","7.16","0.07504144907198289"
"2258","2260","4.91","4.38","4.41","0.08267727344599167"
"2260","2263","6.245","3.9699999999999998","5.4825","0.047231966296330884"
"2263","2264","5.494999999999999","4.13","4.555","0.03520549005534295"
"2265","2266","7.5","4.14","6.65","0.039774522346143905"
"2266","2267","2.1","5.54","3.57","0.029137122728880003"
"2268","2270","6.0875","3.775","6.215","0.040454285503071924"
"2276","2277","2.62","5.15","4.47","0.007204707907487777"
"2282","2285","6.0600000000000005","4.9925","5.605","0.04305708383413425"
"2285","2286","4.95","2.95","4.52","0.05023780986198378"
"2290","2291","6.105","3.875","5.3","0.04676096653490861"
"2291","2292","6.0","4.75","6.74","0.06523846488923543"
"2294","2296","6.115","3.455","6.0649999999999995","0.06520699365850001"
"2297","2299","6.079999999999999","4.033333333333333","5.833333333333333","0.058992504287460015"
"2299","2301","5.88","3.186666666666667","5.403333333333333","0.06711828416858269"
"2304","2306","5.775","6.0","5.4","0.03530772077896006"
"2306","2308","5.23","7.14","5.47","0.11044723751559656"
"2325","2327","6.57","3.8","5.71","0.057973446479052886"
"2327","2330","7.205","4.63","5.8100000000000005","0.05455934461209618"
"2331","2333","6.46","4.55","5.12","0.03505977054893323"
"2333","2334","6.775","4.3","5.505","0.030982656243546555"
"2334","2335","6.45","4.91","5.8","0.02449943268247641"
"2336","2338","5.763333333333333","4.916666666666666","6.09","0.05622216524318964"
"2341","2343","5.025","3.69","4.74","0.05287346759639784"
"2349","2352","5.5649999999999995","3.665","5.77","0.03942157381643218"
"2352","2354","6.206666666666667","3.9899999999999998","5.77","0.062292537236589354"
"2357","2359","7.81","4.5","5.45","0.01975843360408497"
"2367","2370","5.199999999999999","3.08","5.58","0.01898903352026049"
"2371","2373","2.84","4.34","4.03","0.04844564676284123"
"2373","2376","6.37","3.65","5.706666666666667","0.043644485900840385"
"2376","2378","6.9350000000000005","3.62","6.425000000000001","0.03856578034814425"
"2400","2401","6.09","3.67","5.65","0.2574565564855993"
"2405","2407","6.29","3.9299999999999997","5.96","0.21230479862597945"
"2407","2408","3.9","4.52","4.56","0.19386197892137644"
"2415","2417","5.545","2.83","5.345","0.2195873545589191"
"2438","2440","5.53","4.390000000000001","5.614999999999999","0.09863409366548909"
"2441","2442","4.05","5.17","3.6","0.0662743496155353"
