"Scene Start","Scene End","Valence","Arousal","Dominance","Audio Level"
"40.0","112.0","1.95","2.8","2.66","0.43637061601727345"
"112.0","129.0","2.21","3.05","3.14","0.4136455537240484"
"130.0","148.0","3.54","3.0","4.0","0.5046650269928591"
"148.0","163.0","3.33","2.59","4.0","0.30550355142253816"
"164.0","186.0","3.25","2.57","4.2","0.5346529280569571"
"186.0","660.0","1.62","1.95","2.5","0.8416525471190636"
"661.0","684.0","2.45","2.38","3.22","0.13590814181339328"
"685.0","751.0","1.79","2.15","3.32","0.11015433672691202"
"752.0","915.0","1.79","2.59","2.66","0.6145137030979165"
"915.0","991.0","2.0","2.59","3.47","0.5953586364309615"
"992.0","1017.0","3.9","3.0","4.56","0.49606032700543357"
"1018.0","1024.0","3.47","2.19","3.18","0.4009349896902691"
"1025.0","1034.0","3.9","3.14","4.56","0.35271442299633066"
"1035.0","1044.0","3.61","2.59","3.44","0.26844551969817293"
"1045.0","1058.0","3.9","3.65","4.56","0.2025561679919774"
"1059.0","1169.0","2.45","2.4","3.46","0.15660066322111824"
"1170.0","1368.0","1.77","2.35","2.59","0.3012326238693459"
"1369.0","1402.0","2.95","2.47","3.22","0.07802998027331266"
"1403.0","1424.0","2.25","2.59","2.71","0.04072115696135448"
"1424.0","1530.0","2.95","2.45","3.2","0.10866846958572642"
"1530.0","1622.0","2.26","2.3","3.49","0.3311862531082147"
"1623.0","1647.0","2.62","2.59","3.29","0.170088291286182"
"1648.0","1864.0","1.81","2.25","2.66","0.572524612909297"
"1865.0","1984.0","2.53","2.5","3.2","0.457579142085573"
"1985.0","1999.0","3.9","3.14","4.56","0.46761238159243246"
"2000.0","2014.0","3.9","1.95","4.56","0.2724608078582325"
"2015.0","2044.0","4.76","3.33","4.92","0.12386901751900628"
"2045.0","2066.0","2.6","2.63","3.6","0.04740811398794732"
"2067.0","2101.0","4.14","2.59","4.54","0.16560723971542796"
"2102.0","2279.0","2.0","2.5","2.66","0.3316991517052098"
"2280.0","2358.0","1.48","2.59","3.27","0.37147372422577596"
"2360.0","2365.0","5.67","3.25","4.98","0.03178204590440794"
"2425.0","2429.0","3.9","3.45","4.56","0.22240897434913698"
"2430.0","2496.0","2.7","2.19","4.56","0.20002545260347812"
"2436.0","2440.0","3.05","2.59","4.35","0.20002545260347812"
"2497.0","2506.0","3.5","3.35","3.83","0.22279007134666173"
"2507.0","2539.0","2.9","2.59","3.3","0.4497245305965299"
"2540.0","2557.0","3.9","2.57","2.94","0.5718320301812168"
"2558.0","2629.0","1.81","2.45","2.66","0.39834107464365465"
"2630.0","2644.0","3.65","3.65","3.32","0.09685838779709333"
"2645.0","2864.0","2.32","1.95","3.05","0.423660440349587"
"2681.0","2850.0","2.24","1.95","2.81","0.423660440349587"
"2865.0","2882.0","2.93","2.3","3.32","0.11738650490877764"
"2883.0","2909.0","3.9","3.41","4.56","0.15993387495080622"
"2910.0","3429.0","2.02","2.29","2.66","1.0"
"3285.0","3319.0","2.68","2.19","3.32","0.8100490111248967"
"3320.0","3324.0","3.17","6.35","3.62","0.7735342036763473"
"3325.0","3329.0","3.17","3.74","3.62","0.8309015696873098"
"3330.0","3429.0","2.47","2.59","2.56","0.7466478365450981"
"3429.0","3689.0","2.1","2.67","3.05","0.1768301942751639"
"3490.0","3610.0","1.67","2.5","2.56","0.10928544050271055"
"3610.0","3690.0","2.47","2.25","3.32","0.03613823315864372"
"3690.0","3751.0","3.9","2.96","3.96","0.19304707015425052"
"3785.0","3935.0","2.1","2.5","2.96","0.7183035128176151"
"3936.0","4085.0","1.67","2.67","2.66","0.3742529620550223"
"4137.0","4140.0","3.2","2.9","3.45","0.16831006850785152"
"4141.0","4360.0","2.25","2.33","2.71","0.593896977632952"
"4365.0","4430.0","1.71","2.59","2.77","0.2097554099680187"
"4495.0","4820.0","2.0","2.35","2.66","0.5311015095917884"
"4824.0","4957.0","1.95","1.67","2.7","0.11514522294252932"
"5100.0","5236.0","2.02","2.29","2.66","0.23732026710898851"
"5238.0","5274.0","2.0","2.59","3.47","0.10672558201051341"
"5280.0","5298.0","3.9","2.59","3.6","0.3227676967503676"
"5310.0","5580.0","2.09","2.35","2.71","0.4399465447541777"
"5585.0","5598.0","2.95","3.42","3.22","0.10512723323428011"
"5600.0","5673.0","2.68","2.35","3.06","0.4689237967809697"
"5675.0","5810.0","1.81","2.35","2.56","0.15142411569955744"
"5983.0","6010.0","2.24","2.59","2.81","0.4700515965315613"
"6033.0","6093.0","2.0","2.59","3.29","0.1278242918758341"
"6148.0","6210.0","3.48","2.35","3.63","0.6778226411703557"
"6390.0","6770.0","1.81","2.19","3.11","0.8115760834544716"
"6780.0","6810.0","3.48","2.64","3.6","0.11388600311719624"
"6811.0","6840.0","3.9","3.0","4.41","0.0992303101985783"
