"Scene Start","Scene End","Valence","Arousal","Dominance","Audio Level"
"106.0","116.0","7.44","6.26","6.91","0.3223343468562359"
"120.0","159.0","7.48","5.95","6.79","0.3424108828305205"
"160.0","203.0","7.77","6.26","7.26","0.2891563937697518"
"204.0","225.0","6.36","6.3","6.32","0.20244350353348806"
"227.0","231.0","6.76","5.59","6.68","0.10243988011486373"
"232.0","250.0","6.45","5.43","6.85","0.38671997177939976"
"251.0","282.0","7.58","6.35","7.26","0.2323999326861214"
"283.0","318.0","7.3","6.35","7.16","0.28546014776545714"
"319.0","370.0","7.68","6.35","6.61","0.8553156237485753"
"371.0","384.0","7.11","5.61","6.12","0.6137414355644967"
"385.0","408.0","6.55","5.95","6.12","0.519525429586402"
"426.0","431.0","7.68","5.57","6.68","0.18993245368943523"
"432.0","444.0","7.28","6.35","6.68","0.22607409384648702"
"445.0","540.0","7.68","7.74","7.26","0.9038622682394489"
"545.0","570.0","7.44","5.76","6.54","0.5335584011403803"
"575.0","590.0","7.5","6.26","5.76","0.15708954967448466"
"592.0","595.0","6.09","4.45","5.56","0.11552025799269852"
"622.0","783.0","7.79","7.74","7.26","0.6047440640001189"
"784.0","795.0","7.68","6.48","7.09","0.09160993655826911"
"796.0","808.0","7.09","5.59","7.05","0.11231334120037602"
"809.0","879.0","7.79","6.38","6.75","0.8820971569651581"
"884.0","890.0","7.05","5.85","6.91","0.07804942357778666"
"891.0","960.0","7.28","6.35","6.61","0.38885433976944006"
"961.0","1042.0","7.28","6.35","7.26","0.36600706097635305"
"1043.0","1062.0","7.22","4.29","6.72","0.55315481836328"
"1064.0","1107.0","7.48","6.27","6.77","0.05677045226681817"
"1108.0","1159.0","7.32","5.69","7.16","0.0761231787844503"
"1160.0","1164.0","7.68","5.14","6.95","0.11318551357851973"
"1165.0","1197.0","6.91","5.79","6.4","0.12047859856795182"
"1198.0","1202.0","5.47","3.81","6.0","0.19119654003671424"
"1203.0","1230.0","6.3","6.59","6.68","0.40774870989872597"
"1245.0","1257.0","7.32","5.38","7.16","0.23165756921624944"
"1258.0","1366.0","7.65","6.55","6.84","0.21255849899500762"
"1367.0","1470.0","7.89","6.35","7.72","0.514116601095884"
"1471.0","1589.0","8.47","6.85","7.21","0.25111377090677955"
"1590.0","1610.0","7.24","6.31","6.91","0.2618977449331386"
"1614.0","1647.0","8.47","7.74","7.21","0.20718100437338607"
"1648.0","1691.0","7.44","5.02","7.26","0.2659282591052783"
"1692.0","1711.0","6.88","6.85","6.84","0.16237865757150108"
"1712.0","1770.0","7.48","6.81","7.05","0.17285510973902557"
"1771.0","1847.0","7.18","6.43","6.95","0.266566557673161"
"1847.0","1851.0","6.91","4.43","5.56","0.2385982110951778"
"1852.0","1900.0","7.5","7.74","6.65","0.5476502536273407"
"1879.0","1944.0","7.82","7.74","6.84","0.6273019631927652"
"1901.0","1915.0","7.86","7.74","6.71","0.14363339557522306"
"1916.0","1938.0","7.44","6.81","6.88","0.6273019631927652"
"1945.0","1960.0","6.47","5.8","5.71","0.5266125898168263"
"1962.0","2002.0","7.57","7.74","7.16","0.5235094753784546"
"2003.0","2060.0","7.44","7.74","6.68","1.0"
"2063.0","2065.0","6.29","6.35","6.58","0.41489376050974264"
"2069.0","2116.0","7.79","6.26","7.05","0.5961595300893123"
"2119.0","2167.0","7.89","6.74","7.26","0.5778435051949872"
"2168.0","2180.0","5.95","4.6","6.68","0.0416543605806708"
"2181.0","2200.0","6.63","7.74","6.53","0.5119520873612123"
"2201.0","2205.0","5.48","6.15","5.88","0.43269731866690353"
"2220.0","2235.0","6.39","6.05","7.26","0.492935846548139"
"2236.0","2305.0","8.23","7.24","6.8","0.8036014349069703"
"2306.0","2320.0","6.5","6.35","6.84","0.14278452295396377"
"2321.0","2323.0","6.32","4.86","5.33","0.08971545475621721"
"2324.0","2348.0","6.91","4.71","6.35","0.3313830282729291"
"2349.0","2442.0","7.75","6.9","7.47","0.09233540230654257"
"2443.0","2460.0","7.67","5.9","7.0","0.30224234614456313"
"2461.0","2470.0","7.32","6.43","7.16","0.09939559050050917"
"2471.0","2493.0","7.52","6.55","6.69","0.10516038309709748"
"2494.0","2520.0","7.25","5.76","6.53","0.051285281598254816"
"2525.0","2608.0","6.26","5.15","5.88","0.5053107675752058"
"2608.0","2809.0","8.0","7.74","7.42","0.5558726185399641"
"2810.0","2789.0","7.3","6.27","6.44","0.10785338007096831"
"2851.0","3024.0","7.64","6.81","7.16","0.056110369367804454"
"3028.0","3070.0","7.44","6.33","7.16","0.05421966143867207"
"3071.0","3111.0","7.05","6.43","6.68","0.18173767089710835"
"3140.0","3194.0","7.43","6.55","7.16","0.8796656694984345"
"3195.0","3226.0","7.95","6.6","7.26","0.4058392717228506"
"3230.0","3239.0","5.95","4.95","6.58","0.22846568472625586"
"3240.0","3248.0","7.89","6.6","6.59","0.8146302489775633"
"3249.0","3253.0","5.62","6.05","6.39","0.9006447679027588"
"3254.0","3262.0","6.47","6.6","6.39","0.20063276070233585"
"3263.0","3269.0","7.52","5.0","6.9","0.24247642656772433"
"3270.0","3318.0","7.15","5.95","6.89","0.09547330816364565"
"3319.0","3380.0","7.68","6.33","7.27","0.09553132853114338"
"3381.0","3396.0","5.47","4.23","6.47","0.05289279968472312"
"3397.0","3411.0","7.44","5.29","6.82","0.0694502898480693"
"3412.0","3484.0","7.61","5.71","7.07","0.6300620534959191"
"3485.0","3498.0","6.55","6.35","5.89","0.6037479732627968"
"3505.0","3536.0","8.47","6.05","7.26","0.5116912551431461"
"3537.0","3545.0","7.66","6.91","6.78","0.5322805445270873"
"3546.0","3555.0","6.55","7.05","5.74","0.20272911617240688"
"3565.0","3581.0","7.55","5.45","7.0","0.1661907408442315"
"3582.0","3590.0","5.86","4.9","6.5","0.3022430191160054"
"3591.0","3613.0","7.44","5.0","7.16","0.7767005838088142"
"3614.0","3654.0","7.44","5.57","6.28","0.538288720611916"
"3655.0","3684.0","8.37","7.74","6.69","0.2221582301173375"
"3685.0","3690.0","6.55","5.1","6.12","0.19934745924038777"
"3693.0","3715.0","6.71","4.81","6.17","0.6984026820827858"
"3717.0","3793.0","7.44","6.62","6.58","0.6753883412015693"
"3795.0","3843.0","7.44","7.74","6.95","0.6285656939033177"
"3855.0","3898.0","7.0","6.81","6.54","0.850994091672556"
"3899.0","4080.0","8.25","6.35","7.47","0.4198359655025245"
"4081.0","4101.0","7.77","5.29","6.89","0.10653071487381974"
"4102.0","4110.0","6.14","6.6","6.42","0.8073119349873226"
"4111.0","4120.0","8.36","6.4","7.21","0.24018916989328057"
"4121.0","4131.0","7.0","6.25","6.53","0.33648597934333063"
"4132.0","4147.0","7.19","6.14","7.47","0.361031305427494"
"4147.0","4180.0","6.55","5.76","6.0","0.0919912703681623"
"4183.0","4185.0","6.53","6.91","5.89","0.16395538051067918"
"4187.0","4234.0","6.38","5.76","6.58","0.4529320990861397"
"4237.0","4297.0","7.89","6.8","7.72","0.28496118106327395"
"4298.0","4381.0","7.63","6.81","7.26","0.44885554830293656"
"4382.0","4435.0","7.77","7.74","7.11","0.039697828352266123"
"4437.0","4475.0","7.16","4.61","7.21","0.09203851440629157"
"4479.0","4570.0","7.89","6.09","7.26","0.2262475017625048"
"4572.0","4643.0","7.86","5.95","7.05","0.24093357278199237"
"4645.0","4660.0","8.47","6.05","7.21","0.6562130657090705"
"4661.0","4680.0","6.83","4.65","6.23","0.029405790114451453"
"4680.0","4700.0","7.56","6.62","7.39","0.028505274332700618"
"4705.0","4719.0","7.37","5.14","6.39","0.046030717297058314"
"4720.0","4765.0","8.0","5.8","7.33","0.262111655309838"
"4766.0","4800.0","7.89","5.29","7.72","0.10127869362297313"
"4810.0","4867.0","7.23","5.52","6.35","0.032450566511469436"
"4870.0","4889.0","7.2","5.33","6.61","0.30130031969248805"
"4909.0","4954.0","6.68","6.0","7.16","0.10451808250943043"
"4955.0","5005.0","7.66","5.65","7.26","0.20821326659083036"
"5006.0","5028.0","7.11","6.26","6.02","0.02904223471400833"
"5029.0","5033.0","7.32","4.71","6.1","0.051129986469499844"
"5035.0","5102.0","7.89","5.75","7.53","0.2824382539303724"
"5103.0","5135.0","7.68","6.13","6.25","0.11778697451832881"
"5136.0","5220.0","7.89","6.14","6.88","0.055873320915145123"
"5222.0","5269.0","7.73","5.52","6.79","0.12994451617350247"
"5280.0","5307.0","7.22","5.76","6.72","0.3356027640768759"
"5309.0","5384.0","7.44","6.26","7.26","0.08950985311650106"
"5385.0","5431.0","7.64","5.59","6.61","0.30123590175238923"
"5434.0","5450.0","7.44","5.8","6.91","0.12660653525141646"
"5455.0","5490.0","7.53","5.9","6.79","0.11525981554632488"
"5491.0","5520.0","7.8","6.8","7.28","0.07842273797916827"
"5521.0","5552.0","7.89","6.3","7.37","0.03246905543831367"
"5553.0","5644.0","7.89","5.58","6.88","0.5848551841122489"
"5645.0","5650.0","7.05","5.79","6.91","0.2977112956627038"
"5653.0","5685.0","7.95","6.86","7.26","0.41704330638724957"
"5686.0","5690.0","7.05","4.95","6.91","0.16502797450607257"
"5691.0","5695.0","7.16","5.9","6.73","0.7435392518602167"
"5696.0","5701.0","7.95","4.71","6.5","0.26307838464368294"
"5702.0","5715.0","6.27","5.48","6.79","0.303948151096479"
"5717.0","5740.0","6.57","7.74","7.26","0.17587246171271523"
"5742.0","5775.0","7.39","6.62","6.83","0.2577877320344092"
"5805.0","5840.0","6.1","5.29","6.5","0.1299067785599455"
"5865.0","5883.0","7.66","5.65","6.88","0.3615320326448918"
"5885.0","5900.0","7.24","5.9","6.35","0.13809501050749404"
"5905.0","5920.0","6.18","4.89","6.47","0.8518221513502825"
"5923.0","5965.0","7.64","6.0","7.26","0.839236744943396"
"5966.0","6120.0","7.0","5.89","7.26","0.25775481651907395"
"6121.0","6142.0","6.45","4.53","7.26","0.057700539210333024"
"6143.0","6148.0","8.0","5.36","6.35","0.07669424338811913"
"6149.0","6154.0","7.86","4.52","5.94","0.0416006438006673"
"6155.0","6157.0","5.55","5.14","6.58","0.0823466413383133"
"6157.0","6165.0","7.44","7.74","6.68","0.4703274174224507"
"6166.0","6224.0","7.73","6.81","7.26","0.45484185428826573"
"6225.0","6245.0","6.47","5.35","6.5","0.3407075606043423"
"6250.0","6258.0","6.68","4.58","6.71","0.3206723958538303"
"6259.0","6273.0","7.44","6.74","7.26","0.09427762463129225"
"6274.0","6276.0","7.44","5.93","6.77","0.5841037685192723"
"6277.0","6281.0","5.18","6.74","5.71","0.21014009560363334"
"6282.0","6313.0","7.77","4.41","6.95","0.11132680989779455"
"6314.0","6355.0","7.0","6.14","6.59","0.5658597743788102"
"6371.0","6413.0","7.32","6.62","7.26","0.9126836753043815"
"6415.0","6359.0","7.23","4.86","6.39","0.11161282697816391"
"6420.0","6564.0","8.0","7.74","7.26","0.33605754349489686"
"6565.0","6620.0","8.05","6.0","6.77","0.17452987569459144"
"6624.0","6810.0","8.25","6.62","7.26","0.5526994390991522"
"6820.0","6830.0","7.24","6.05","7.26","0.27439123860901465"
"6833.0","6895.0","7.68","6.26","7.26","0.5365026649381865"
"6895.0","6898.0","7.4","4.6","6.54","0.4763875086720682"
"6906.0","6925.0","8.25","5.38","6.5","0.815530452146914"
"6957.0","7050.0","7.95","6.74","7.26","0.5477551563962539"
"7054.0","7119.0","7.44","6.26","7.26","0.5466778557390959"
"7120.0","7177.0","7.7","6.8","7.21","0.5757048742867954"
"7178.0","7260.0","7.33","6.62","7.26","0.19284213350763157"
