"Scene Start","Scene End","Valence","Arousal","Dominance","Audio Level"
"25.0","85.0","3.82","3.0","4.5","0.8762081744343203"
"100.0","243.0","3.64","2.0","4.05","0.5445844589683594"
"244.0","389.0","2.02","1.95","2.66","0.15684501009922167"
"391.0","400.0","4.36","2.15","4.1","0.4336615118134666"
"402.0","440.0","1.74","1.95","3.39","0.2130141553694897"
"444.0","450.0","4.17","3.25","3.89","0.3850548490352157"
"451.0","470.0","3.19","2.45","3.81","0.1461576900798182"
"471.0","480.0","4.27","2.67","3.59","0.17512400035864664"
"540.0","588.0","2.21","2.38","3.22","0.3354030856673495"
"590.0","595.0","5.14","3.0","4.5","0.3121184597551439"
"596.0","608.0","2.95","2.71","3.94","0.24150134162506923"
"632.0","670.0","2.05","2.36","3.49","0.5439766152063589"
"671.0","720.0","5.32","2.29","4.5","0.10814670090898082"
"721.0","743.0","3.38","2.35","3.61","0.2581489413266847"
"745.0","859.0","2.43","2.15","4.0","0.11629506578911547"
"860.0","892.0","4.42","2.59","4.09","0.054276557203188316"
"893.0","1050.0","1.67","2.19","2.73","0.4442052459068768"
"1051.0","1100.0","3.17","2.29","3.96","0.04345676002812726"
"1101.0","1112.0","2.5","2.59","4.36","0.21364738395744215"
"1113.0","1130.0","5.0","3.0","4.5","0.22642100284876338"
"1185.0","1214.0","2.38","1.95","3.37","0.16761764701884221"
"1225.0","1325.0","1.48","2.35","2.56","0.31386259098228"
"1326.0","1360.0","2.95","3.06","4.0","0.3099505784445764"
"1361.0","1380.0","1.95","2.75","4.0","0.051831179155278226"
"1400.0","1410.0","2.95","2.67","3.96","0.13833030101827784"
"1415.0","1433.0","3.66","2.58","3.81","0.34280890081226856"
"1435.0","1460.0","3.27","2.35","4.26","0.5903906435260691"
"1461.0","1470.0","4.0","2.59","4.16","0.7814938226791048"
"1471.0","1475.0","3.17","3.25","3.62","0.6667813434463206"
"1476.0","1485.0","3.51","2.21","3.11","0.7027101939933179"
