"Scene Start","Scene End","Valence","Arousal","Dominance","Audio Level"
"106.0","116.0","2.55","2.62","3.47","0.3223343468562359"
"120.0","159.0","2.47","1.95","3.24","0.3424108828305205"
"160.0","203.0","2.32","2.2","3.47","0.2891563937697518"
"204.0","225.0","3.5","2.67","4.17","0.20244350353348806"
"227.0","231.0","4.95","2.58","5.11","0.10243988011486373"
"232.0","250.0","5.0","3.09","4.8","0.38671997177939976"
"251.0","282.0","2.33","2.27","3.16","0.2323999326861214"
"283.0","318.0","2.15","2.64","4.17","0.28546014776545714"
"319.0","370.0","2.84","2.15","3.31","0.8553156237485753"
"371.0","384.0","4.26","3.14","3.56","0.6137414355644967"
"385.0","408.0","1.94","2.67","3.54","0.519525429586402"
"426.0","431.0","3.32","2.67","4.22","0.18993245368943523"
"432.0","444.0","4.0","2.67","4.67","0.22607409384648702"
"445.0","540.0","1.9","2.19","2.66","0.9038622682394489"
"545.0","570.0","2.86","2.25","3.61","0.5335584011403803"
"575.0","590.0","2.55","2.19","3.47","0.15708954967448466"
"592.0","595.0","3.65","2.67","4.39","0.11552025799269852"
"622.0","783.0","2.34","2.23","3.39","0.6047440640001189"
"784.0","795.0","2.82","2.81","3.39","0.09160993655826911"
"796.0","808.0","2.95","2.67","3.22","0.11231334120037602"
"809.0","879.0","2.95","2.23","3.11","0.8820971569651581"
"884.0","890.0","3.55","3.0","3.76","0.07804942357778666"
"891.0","960.0","2.02","2.35","2.66","0.38885433976944006"
"961.0","1042.0","2.1","2.36","3.35","0.36600706097635305"
"1043.0","1062.0","4.0","2.3","4.25","0.55315481836328"
"1064.0","1107.0","1.89","2.3","3.42","0.05677045226681817"
"1108.0","1159.0","3.95","2.64","3.57","0.0761231787844503"
"1160.0","1164.0","4.21","2.41","4.31","0.11318551357851973"
"1165.0","1197.0","2.61","2.86","4.22","0.12047859856795182"
"1198.0","1202.0","3.89","3.35","4.25","0.19119654003671424"
"1203.0","1230.0","2.02","2.45","2.66","0.40774870989872597"
"1245.0","1257.0","4.73","2.64","4.61","0.23165756921624944"
"1258.0","1366.0","2.43","2.45","3.37","0.21255849899500762"
"1367.0","1470.0","2.23","2.29","3.05","0.514116601095884"
"1471.0","1589.0","2.53","2.3","3.86","0.25111377090677955"
"1590.0","1610.0","2.61","2.52","3.31","0.2618977449331386"
"1614.0","1647.0","1.95","2.29","2.93","0.20718100437338607"
"1648.0","1691.0","2.88","2.19","4.44","0.2659282591052783"
"1692.0","1711.0","2.02","2.19","2.66","0.16237865757150108"
"1712.0","1770.0","1.94","2.55","2.56","0.17285510973902557"
"1771.0","1847.0","2.53","2.52","2.72","0.266566557673161"
"1847.0","1851.0","2.95","2.67","2.94","0.2385982110951778"
"1852.0","1900.0","2.55","2.82","3.39","0.5476502536273407"
"1879.0","1944.0","2.68","2.9","4.39","0.6273019631927652"
"1901.0","1915.0","3.66","2.29","4.05","0.14363339557522306"
"1916.0","1938.0","1.81","2.59","3.23","0.6273019631927652"
"1945.0","1960.0","3.27","3.14","5.26","0.5266125898168263"
"1962.0","2002.0","2.88","2.35","3.94","0.5235094753784546"
"2003.0","2060.0","2.55","2.35","3.47","1.0"
"2063.0","2065.0","3.17","2.9","3.62","0.41489376050974264"
"2069.0","2116.0","2.55","2.19","3.22","0.5961595300893123"
"2119.0","2167.0","2.02","2.59","2.57","0.5778435051949872"
"2168.0","2180.0","4.17","2.78","3.61","0.0416543605806708"
"2181.0","2200.0","3.44","3.14","4.11","0.5119520873612123"
"2201.0","2205.0","4.95","3.14","5.42","0.43269731866690353"
"2220.0","2235.0","4.32","3.14","2.96","0.492935846548139"
"2236.0","2305.0","2.74","2.59","3.28","0.8036014349069703"
"2306.0","2320.0","2.18","3.44","3.44","0.14278452295396377"
"2321.0","2323.0","4.55","3.62","5.31","0.08971545475621721"
"2324.0","2348.0","3.86","2.68","3.9","0.3313830282729291"
"2349.0","2442.0","1.67","2.59","3.28","0.09233540230654257"
"2443.0","2460.0","4.32","3.18","4.53","0.30224234614456313"
"2461.0","2470.0","2.72","2.53","2.72","0.09939559050050917"
"2471.0","2493.0","3.71","2.25","3.61","0.10516038309709748"
"2494.0","2520.0","2.86","2.59","3.68","0.051285281598254816"
"2525.0","2608.0","4.48","3.43","5.18","0.5053107675752058"
"2608.0","2809.0","2.53","2.62","3.44","0.5558726185399641"
"2810.0","2789.0","2.0","2.59","2.84","0.10785338007096831"
"2851.0","3024.0","1.81","2.59","2.71","0.056110369367804454"
"3028.0","3070.0","2.0","2.67","3.17","0.05421966143867207"
"3071.0","3111.0","3.27","2.19","3.44","0.18173767089710835"
"3140.0","3194.0","3.14","2.0","3.92","0.8796656694984345"
"3195.0","3226.0","2.8","2.48","3.94","0.4058392717228506"
"3230.0","3239.0","4.37","2.59","5.22","0.22846568472625586"
"3240.0","3248.0","2.63","2.21","2.68","0.8146302489775633"
"3249.0","3253.0","3.95","3.09","4.57","0.9006447679027588"
"3254.0","3262.0","5.14","3.14","4.64","0.20063276070233585"
"3263.0","3269.0","5.11","2.86","5.45","0.24247642656772433"
"3270.0","3318.0","2.74","2.19","2.74","0.09547330816364565"
"3319.0","3380.0","2.1","1.95","3.17","0.09553132853114338"
"3381.0","3396.0","4.2","3.35","4.53","0.05289279968472312"
"3397.0","3411.0","3.47","2.87","4.86","0.0694502898480693"
"3412.0","3484.0","3.52","2.59","3.93","0.6300620534959191"
"3485.0","3498.0","3.17","3.0","3.62","0.6037479732627968"
"3505.0","3536.0","2.95","2.59","4.0","0.5116912551431461"
"3537.0","3545.0","2.33","2.33","3.74","0.5322805445270873"
"3546.0","3555.0","2.0","2.59","3.39","0.20272911617240688"
"3565.0","3581.0","2.72","3.1","2.92","0.1661907408442315"
"3582.0","3590.0","3.61","3.19","3.44","0.3022430191160054"
"3591.0","3613.0","2.43","2.83","3.37","0.7767005838088142"
"3614.0","3654.0","3.4","2.85","3.78","0.538288720611916"
"3655.0","3684.0","2.1","3.19","3.84","0.2221582301173375"
"3685.0","3690.0","2.9","3.39","3.8","0.19934745924038777"
"3693.0","3715.0","3.26","2.84","4.0","0.6984026820827858"
"3717.0","3793.0","2.5","2.56","3.44","0.6753883412015693"
"3795.0","3843.0","1.79","2.57","3.21","0.6285656939033177"
"3855.0","3898.0","1.81","2.35","3.42","0.850994091672556"
"3899.0","4080.0","2.53","2.45","3.62","0.4198359655025245"
