"Scene Start","Scene End","Valence","Arousal","Dominance","Vader neg","Vader neu","Vader pos","Vader compound","Audio Level"
"106.0","116.0","5.5075","4.07","5.461875","0.081","0.776","0.143","0.5435","0.24218975441552704"
"120.0","159.0","5.4382758620689655","3.7327586206896552","5.288620689655172","0.114","0.804","0.082","-0.6876","0.251495652623315"
"160.0","203.0","5.221578947368421","3.960526315789473","5.269999999999999","0.167","0.771","0.062","-0.9635","0.20315954780575043"
"204.0","225.0","5.100499999999999","4.132499999999999","5.3825","0.096","0.83","0.074","-0.296","0.19057481237819437"
"227.0","231.0","5.811333333333334","3.6693333333333333","5.835333333333333","0.099","0.901","0.0","-0.5574","0.12614039134181781"
"232.0","250.0","5.621818181818181","3.9790909090909086","5.817272727272727","0.0","1.0","0.0","0.0","0.32758558774488405"
"251.0","282.0","5.4575510204081645","3.9840816326530613","5.477142857142857","0.078","0.848","0.073","0.0452","0.13518781818003306"
"283.0","318.0","5.552903225806453","4.094838709677419","5.630322580645162","0.099","0.751","0.15","0.7146","0.22679684161657301"
"319.0","370.0","5.582931034482757","4.006379310344828","5.508620689655172","0.109","0.834","0.057","-0.8816","0.37711225060413106"
"371.0","384.0","5.619090909090909","4.220909090909091","5.2309090909090905","0.147","0.772","0.081","-0.2263","0.5649937762276239"
"385.0","408.0","4.7335714285714285","4.417142857142857","5.172142857142858","0.122","0.878","0.0","-0.7783","0.5730797109103654"
"426.0","431.0","5.3618181818181805","4.3545454545454545","5.385454545454545","0.073","0.884","0.043","-0.3182","0.22318841622035124"
"432.0","444.0","5.759","4.24","5.625","0.111","0.889","0.0","-0.5216","0.16116945281790004"
"445.0","540.0","5.264153846153846","4.28923076923077","5.174923076923078","0.059","0.854","0.088","0.453","0.5254312354002184"
"545.0","570.0","5.477142857142858","4.078571428571428","5.168571428571428","0.204","0.773","0.023","-0.9305","0.4749554142209119"
"575.0","590.0","5.404285714285714","3.7192857142857134","5.088571428571428","0.171","0.736","0.092","-0.7227","0.14825591412917477"
"592.0","595.0","5.058333333333334","3.643333333333333","4.8933333333333335","0.0","1.0","0.0","0.0","0.1170802830561388"
"622.0","783.0","5.557016129032259","4.053629032258065","5.573145161290324","0.091","0.831","0.078","-0.8867","0.17167589975801706"
"784.0","795.0","6.137333333333333","4.355333333333333","5.602666666666667","0.0","0.627","0.373","0.9588","0.10440793463916685"
"796.0","808.0","5.950000000000001","3.895384615384615","5.612307692307693","0.035","0.887","0.078","0.6775","0.07243600527598491"
"809.0","879.0","5.599375","4.1990625","5.384375","0.104","0.75","0.146","0.7156","0.5606566579263981"
"884.0","890.0","5.567692307692307","4.213846153846154","5.533846153846155","0.0","0.837","0.163","0.5994","0.07929566217781028"
"891.0","960.0","5.407352941176471","3.5761764705882353","5.313235294117647","0.154","0.833","0.013","-0.9008","0.14696716773980717"
"961.0","1042.0","5.245555555555557","4.013148148148148","5.458333333333333","0.03","0.925","0.046","0.4168","0.13135248799140814"
"1043.0","1062.0","5.744000000000001","3.4973333333333327","5.3420000000000005","0.032","0.895","0.073","0.5267","0.10655427641472111"
"1064.0","1107.0","5.453636363636363","3.73030303030303","5.425454545454545","0.101","0.899","0.0","-0.8516","0.01988870684456579"
"1108.0","1159.0","5.656545454545455","3.8167272727272734","5.5645454545454545","0.013","0.929","0.058","0.7599","0.06550777568850515"
"1160.0","1164.0","5.412857142857143","3.8942857142857146","5.515714285714286","0.0","1.0","0.0","0.0","0.16029360471797643"
"1165.0","1197.0","5.459696969696969","4.016060606060606","5.473030303030302","0.066","0.906","0.028","-0.5575","0.11095998135702607"
"1198.0","1202.0","4.786666666666666","3.5933333333333337","5.21","0.0","1.0","0.0","0.0","0.14913794503902209"
"1203.0","1230.0","5.033846153846154","3.775769230769231","5.279230769230768","0.092","0.767","0.141","0.4404","0.12134722428468298"
"1245.0","1257.0","5.901764705882352","4.08","5.635882352941176","0.086","0.745","0.169","0.5719","0.09252957443144094"
"1258.0","1366.0","5.6929838709677405","3.8589516129032257","5.535322580645162","0.024","0.865","0.11","0.9883","0.05040765438907574"
"1367.0","1470.0","5.475588235294118","3.9868627450980396","5.4737254901960775","0.052","0.877","0.07","0.5256","0.1139501512177935"
"1471.0","1589.0","5.794324324324324","4.033513513513514","5.640337837837838","0.068","0.852","0.079","0.7871","0.06941107459939135"
"1590.0","1610.0","5.0359375","3.9965624999999996","5.274062499999999","0.099","0.827","0.074","-0.1197","0.2631432172890642"
"1614.0","1647.0","5.400161290322582","4.071935483870968","5.3875806451612895","0.071","0.854","0.074","0.1531","0.17312109446764412"
"1648.0","1691.0","5.318529411764707","3.5382352941176465","5.692352941176471","0.065","0.83","0.105","0.6808","0.2980488227068987"
"1692.0","1711.0","5.348333333333333","4.008611111111112","5.415833333333333","0.107","0.832","0.061","-0.6854","0.10331969213953923"
"1712.0","1770.0","5.657169811320754","3.906981132075472","5.504716981132075","0.088","0.868","0.044","-0.8619","0.08315235287576106"
"1771.0","1847.0","5.420454545454545","4.229772727272728","5.281136363636364","0.094","0.877","0.03","-0.8458","0.11405082866802349"
"1847.0","1851.0","5.597777777777777","3.376666666666667","4.933333333333334","0.0","1.0","0.0","0.0","0.3377054481517771"
"1852.0","1900.0","5.03423076923077","4.493076923076923","5.313461538461539","0.079","0.889","0.032","-0.7879","0.3380300812539527"
"1879.0","1944.0","5.07125","4.5875","5.37","0.073","0.824","0.103","0.2441","0.2553243623821642"
"1901.0","1915.0","6.036363636363637","4.156363636363636","5.608181818181818","0.092","0.771","0.137","0.4404","0.11015767810272525"
"1916.0","1938.0","4.817647058823529","4.239411764705882","5.331176470588236","0.229","0.771","0.0","-0.9541","0.24596034858214333"
"1945.0","1960.0","5.05","4.236","5.4719999999999995","0.133","0.867","0.0","-0.4153","0.5821583677789895"
"1962.0","2002.0","5.64655172413793","4.044827586206896","5.5889655172413795","0.073","0.872","0.054","-0.3649","0.22286287067724295"
"2003.0","2060.0","5.1031707317073165","4.489756097560976","5.278170731707317","0.121","0.795","0.084","-0.9301","0.41165380155708853"
"2063.0","2065.0","4.811249999999999","4.2562500000000005","4.92","0.0","1.0","0.0","0.0","0.5765547814644203"
"2069.0","2116.0","5.315263157894736","3.9522807017543853","5.317719298245614","0.134","0.808","0.058","-0.9283","0.5211959250063377"
"2119.0","2167.0","4.981785714285714","4.203571428571429","5.2475000000000005","0.126","0.773","0.101","-0.5411","0.3308653718644198"
"2168.0","2180.0","4.848571428571428","3.788571428571429","5.157142857142857","0.0","1.0","0.0","0.0","0.045856042170395545"
"2181.0","2200.0","5.257692307692308","4.403846153846154","5.451538461538461","0.111","0.841","0.047","-0.4898","0.381315345887261"
"2201.0","2205.0","5.2225","4.192500000000001","5.6499999999999995","0.0","1.0","0.0","0.0","0.5730125357446676"
"2220.0","2235.0","5.299166666666666","4.0841666666666665","5.515833333333333","0.049","0.861","0.09","0.453","0.38645036772053915"
"2236.0","2305.0","5.2126229508196715","4.352622950819672","5.208852459016393","0.049","0.873","0.079","0.8741","0.2786660794624254"
"2306.0","2320.0","5.2335714285714285","4.434285714285714","5.502857142857143","0.0","0.911","0.089","0.6199","0.09840252473082435"
"2321.0","2323.0","5.4350000000000005","4.24","5.32","0.0","1.0","0.0","0.0","0.12236318228114583"
"2324.0","2348.0","5.326315789473684","3.8626315789473677","5.2963157894736845","0.208","0.699","0.093","-0.7476","0.19659424324263605"
"2349.0","2442.0","5.586122448979593","3.8318367346938773","5.5259183673469385","0.061","0.784","0.156","0.9545","0.0434144449662518"
"2443.0","2460.0","6.131052631578946","4.172631578947367","5.626315789473685","0.0","0.757","0.243","0.9337","0.15541519592678127"
"2461.0","2470.0","5.222333333333333","3.956666666666666","5.243","0.04","0.96","0.0","-0.516","0.12455282836483732"
"2471.0","2493.0","5.709130434782609","3.829565217391305","5.292173913043478","0.026","0.925","0.049","0.6184","0.092790525960673"
"2494.0","2520.0","5.187575757575758","3.8000000000000003","5.30030303030303","0.068","0.904","0.028","-0.4871","0.03663273256292596"
"2525.0","2608.0","5.433333333333334","4.183333333333334","5.5183333333333335","0.103","0.897","0.0","-0.1531","0.14430532101518903"
"2608.0","2809.0","5.325","4.067399999999999","5.325799999999999","0.081","0.827","0.092","0.5815","0.18234355703338656"
"2810.0","2789.0","5.180689655172413","3.780689655172414","5.26","0.115","0.809","0.076","-0.6014","0.04285680854919653"
"2851.0","3024.0","5.475670103092783","4.085360824742268","5.460618556701031","0.072","0.826","0.102","0.9322","0.03867271743825409"
"3028.0","3070.0","5.315151515151516","4.0578787878787885","5.305","0.074","0.862","0.064","-0.6388","0.04550322818459757"
"3071.0","3111.0","5.483170731707317","3.881951219512195","5.391951219512194","0.045","0.894","0.061","0.2297","0.05685254009819198"
"3140.0","3194.0","5.80625","4.0","5.49425","0.019","0.932","0.049","0.5859","0.2557211917957469"
"3195.0","3226.0","5.553636363636364","4.176969696969696","5.408181818181818","0.114","0.845","0.041","-0.8984","0.4254177276736181"
"3230.0","3239.0","5.064","3.914","5.640000000000001","0.087","0.913","0.0","-0.296","0.07726972492296728"
"3240.0","3248.0","5.652962962962963","3.8288888888888892","5.38962962962963","0.099","0.804","0.097","-0.0516","0.8290255511422226"
"3249.0","3253.0","5.016666666666667","4.141666666666667","5.551666666666667","0.124","0.876","0.0","-0.34","1.0"
