"Scene Start","Scene End","Valence","Arousal","Dominance","Audio Level"
"15.0","40.0","3.24","2.59","3.39","0.4628794873290918"
"41.0","60.0","3.1","2.81","3.39","0.048024739810379996"
"61.0","72.0","3.85","2.62","4.44","0.004917329321775057"
"73.0","565.0","1.62","2.25","2.71","0.47337768228838445"
"566.0","623.0","1.48","2.57","3.38","0.6373550373906107"
"624.0","660.0","3.89","2.3","4.0","0.41711807502477616"
"661.0","665.0","3.89","3.19","3.85","0.1337897624779157"
"666.0","670.0","3.02","3.1","4.51","0.11987007881949657"
"671.0","680.0","2.86","2.35","3.75","0.10632989680610368"
"681.0","690.0","2.56","2.55","2.65","0.14350914045160715"
"710.0","750.0","2.02","2.59","2.66","0.20846231127762727"
"751.0","763.0","2.02","2.64","2.66","1.0"
"766.0","787.0","2.39","2.32","3.33","0.23348328422222933"
"788.0","790.0","3.32","3.1","4.22","0.3533459439478678"
"791.0","1020.0","1.96","2.32","3.61","0.1453847292526992"
"1021.0","1040.0","3.19","2.59","3.44","0.04758157220203817"
"1041.0","1110.0","1.92","2.15","2.83","0.10692938371223358"
"1111.0","1128.0","2.1","2.45","3.02","0.027676365981627628"
"1129.0","1160.0","1.79","2.5","3.44","0.04230915851052134"
"1164.0","1290.0","1.74","1.95","2.77","0.09917059014767857"
"1292.0","1320.0","2.67","2.62","3.33","0.22156706028696077"
"1321.0","1357.0","4.59","2.5","3.44","0.07801512430248589"
"1358.0","1440.0","2.11","2.15","3.02","0.09802737340386958"
"1475.0","1734.0","1.67","2.0","2.66","0.5881340083658808"
"1735.0","1740.0","3.58","1.95","4.19","0.3087409888564091"
"1741.0","1814.0","1.74","1.67","2.66","0.507086858077713"
"1815.0","1817.0","5.48","3.59","5.57","0.2596222577804444"
"1818.0","1827.0","3.02","3.19","4.14","0.5098588962902988"
"1828.0","1895.0","1.95","1.95","3.29","0.22099457985599116"
"1897.0","1940.0","2.74","2.54","3.57","0.15229020909042434"
"1945.0","1975.0","2.1","2.45","3.17","0.037642959814752984"
"1976.0","2040.0","1.81","2.67","3.61","0.0635704096616365"
"2082.0","2140.0","2.82","2.59","3.39","0.07889345170418363"
"2144.0","2196.0","2.95","2.5","3.39","0.20018497784487171"
"2197.0","2248.0","2.55","2.59","3.65","0.062261685500450935"
"2249.0","2285.0","2.02","2.57","2.66","0.2626648747494281"
"2310.0","2349.0","1.89","2.47","2.64","0.07196237879163832"
"2350.0","2360.0","3.54","2.9","4.0","0.11739550818348009"
"2361.0","2385.0","3.37","2.9","3.64","0.14862233123410548"
"2386.0","2520.0","1.48","2.48","2.94","0.09990023742214774"
"2525.0","2570.0","2.45","2.57","3.74","0.31692965170298404"
"2575.0","2668.0","1.74","2.35","2.86","0.10452625709800101"
"2669.0","2710.0","2.8","2.6","3.25","0.12651092275545195"
"2712.0","2875.0","1.5","2.18","2.92","0.5349897148019112"
"2877.0","2885.0","3.02","2.59","4.51","0.31625080515574716"
"2900.0","3008.0","1.74","2.19","3.22","0.19158683219250505"
"3009.0","3062.0","2.29","2.25","2.84","0.14783255705404275"
"3063.0","3085.0","3.48","2.19","3.61","0.2266494379299022"
"3104.0","3120.0","3.78","2.25","3.61","0.0807534524201974"
"3130.0","3184.0","2.86","2.25","3.61","0.4207115726840892"
"3185.0","3264.0","1.84","1.95","3.39","0.1773593455877607"
"3275.0","3439.0","1.48","2.5","2.66","0.1478300955299071"
"3495.0","3507.0","1.74","2.65","3.44","0.07457021904116252"
"3509.0","3523.0","3.57","2.47","4.32","0.115831439662454"
"3524.0","3545.0","1.89","2.25","3.42","0.08039126213643231"
"3546.0","3623.0","1.89","2.71","3.42","0.08761225331733981"
"3624.0","3674.0","2.02","2.9","2.66","0.13846482284036507"
"3675.0","3689.0","1.74","2.89","4.1","0.17738949041753901"
"3690.0","3700.0","5.32","3.14","5.82","0.04623470237017877"
"3701.0","3759.0","2.95","2.57","3.68","0.15851671784264923"
"3760.0","3780.0","3.02","2.47","4.0","0.21683023011807723"
"3781.0","3845.0","2.02","2.59","2.56","0.20906435014821342"
"3848.0","3852.0","3.85","3.1","4.5","0.07527737794363287"
"3853.0","4005.0","1.74","2.29","2.65","0.4086224536716665"
"4006.0","4029.0","2.68","2.59","3.08","0.44177882823470904"
"4030.0","4090.0","2.62","2.67","3.94","0.11602931520299234"
"4091.0","4118.0","4.43","2.95","3.93","0.08141399569750894"
"4121.0","4305.0","1.79","2.35","2.66","0.04694026613677642"
"4306.0","4403.0","1.74","1.95","2.66","0.31141966659593695"
"4404.0","4445.0","2.43","2.59","3.67","0.23964544956696412"
"4446.0","4470.0","3.58","3.24","5.0","0.06685071348835991"
"4484.0","4521.0","5.19","2.3","5.17","0.11588776104010844"
"4522.0","4555.0","2.02","2.25","2.66","0.09607226109006707"
"4556.0","4585.0","2.77","2.58","4.36","0.2858236245684445"
"4586.0","4685.0","2.36","2.59","3.56","0.5618331619463067"
"4686.0","4800.0","1.74","1.67","3.42","0.4806772283462026"
"4801.0","4825.0","3.48","2.3","3.94","0.5321250934758412"
"4830.0","4845.0","5.0","2.67","4.5","0.47836706656107075"
"4846.0","4880.0","3.1","2.21","3.11","0.4593617529006302"
"4890.0","4925.0","3.0","3.05","2.94","0.1580209273117071"
"4951.0","4970.0","2.57","2.45","3.89","0.2486999113183905"
"5010.0","5036.0","3.0","2.25","3.59","0.2492546978544805"
"5055.0","5070.0","2.68","2.25","3.49","0.16553573685231757"
"5100.0","5156.0","2.45","2.85","3.23","0.829096349183229"
"5165.0","5245.0","1.81","2.59","3.44","0.1915261792649122"
"5246.0","5258.0","3.95","2.35","3.44","0.5431630291845566"
"5259.0","5303.0","2.02","2.59","2.66","0.24770386452825674"
"5304.0","5319.0","3.36","2.59","4.11","0.1843419836933023"
"5320.0","5389.0","1.81","2.5","3.1","0.7121606394469756"
"5390.0","5730.0","1.48","1.67","2.64","0.4419971915636678"
"5731.0","5805.0","2.02","2.59","2.66","0.23194034164638572"
"5806.0","5873.0","2.55","2.59","3.44","0.17924995685233888"
"5874.0","5985.0","1.96","1.95","2.66","0.6393737252517699"
"5986.0","6010.0","1.48","2.59","3.28","0.6122024668722459"
"6026.0","6090.0","1.74","1.95","2.66","0.38438035805128123"
