Scene Start,Scene End,Valence,Arousal,Dominance,Audio Energy,Spectral Centroid,mfcc1,mfcc2,mfcc3,mfcc4
40,90,5.87445378151261,3.7881512605042,5.72168067226891,0.061233794150217,2507.40188948393,-252.952739740256,89.5210015885333,10.2106606508898,24.6931236962276
92,123,5.48108695652174,3.93326086956522,5.32630434782609,0.040607591573849,1201.2202152867,-332.677733739766,142.338558700769,24.748204207945,29.9966870275418
124,172,5.71923076923077,3.73358974358974,5.3748717948718,0.053703920476962,1293.38694714721,-257.040985379639,144.162182006937,5.27725498618082,22.692427249358
173,202,4.72897435897436,4.45461538461538,4.82461538461538,0.211420270543438,2238.70917051347,-95.5691590421465,96.1405583413347,8.86453584859499,23.8197180713638
203,205,5.35,3.762,5.234,0.021669109377795,1980.24574947107,-304.726358326286,102.192802831714,25.1682058810366,31.9532397883644
206,225,6.0885,3.4695,5.6935,0.012747686508498,1679.59983450706,-359.903858391232,123.079075053107,-5.85221606388501,39.2905813935316
226,233,5.05083333333333,3.98416666666667,4.78083333333333,0.1073603336953,2184.18826882394,-92.2164809025502,98.2503040164801,-18.591285193429,21.4140682514612
234,240,5.5325,3.8775,5.5125,0.077811219378503,1868.31364038378,-145.419895913597,119.647982624565,-8.04611173881328,21.462936398952
241,326,5.38850393700788,3.93763779527559,5.46157480314961,0.144191014835524,2112.85093807302,-112.294533318113,105.019682827639,-5.62698696676878,27.5276748996613
327,405,5.23847619047619,3.92085714285714,5.27952380952381,0.124395125544646,1625.17027845602,-176.413950257338,126.202304076556,6.98292202794059,26.1935927716555
406,513,5.75977528089888,3.94584269662921,5.50988764044944,0.009808401835726,2195.42006763943,-384.468366605233,98.4554543894639,8.93809061544378,26.6846583004538
514,580,5.95,4.12567567567568,5.91081081081081,0.013349057577413,1854.54120868369,-408.003091196579,105.150782998548,14.5244019697717,36.0338615760003
581,716,5.91583941605839,3.88510948905109,5.62204379562044,0.096443794994687,2721.00836229022,-120.082053737867,72.2079809873951,8.37233528551158,43.1000047005141
717,721,5.88285714285714,4.18714285714286,6,0.067732606004151,3494.68836207965,-190.418446449355,28.2251621809841,3.97310822092846,45.4329376169401
722,724,5.45,3.6,5.54,0.024621778626181,2672.69435177246,-253.813785376395,77.9158336150711,-0.386329615290063,37.5179447891546
725,774,5.66862745098039,3.70745098039216,5.57921568627451,0.016304223319393,2053.91869739938,-372.531925708932,108.642071892956,2.33832493968051,28.2628640485718
775,1007,5.54260663507109,3.8124644549763,5.42734597156398,0.031098131280229,1760.51774886082,-315.579533271647,119.756770341156,-2.80444396437404,27.3775996693824
1008,1020,5.35454545454545,4.35181818181818,5.34545454545455,0.036322978817968,2106.0988748597,-215.566167487553,99.8062124232239,-2.82892588878794,25.5452775974747
1021,1291,5.61614349775785,3.92569506726457,5.51860986547085,0.019085180860361,2294.63815312727,-365.154744475615,94.1775052296504,13.8953978696337,27.1965440886666
1292,1355,5.75591836734694,3.87979591836735,5.52224489795918,0.017806894050751,2216.99273030901,-348.601034896828,101.704851922333,-2.04941001066704,22.8038153045893
1440,1500,5.23666666666667,4.18462962962963,5.3287037037037,0.0640852339426,2496.55055356858,-156.992623675145,93.1321694598443,8.70093765741341,19.7012705239775
1525,1540,6.05772727272727,3.61909090909091,5.75545454545455,0.022112090884981,1587.48378287495,-303.327894882683,134.045818231773,10.1127152011161,27.7503862854847
1541,1944,5.73012853470437,4.05665809768638,5.5774293059126,0.019832665303413,1789.58916594924,-359.528690313044,118.81378554769,11.7682838024977,30.3284264323765
1945,2071,5.45713414634146,3.97371951219512,5.38878048780488,0.176244547109911,2352.32963870944,-49.7704865098349,95.7816431586164,5.12726891822028,16.1346019310141
2072,2102,4.12166666666667,4.03944444444444,4.885,0.263430790104685,1713.80809651351,-39.1421713332486,119.058331736852,5.66847588003226,26.20680554669
2103,2198,5.70875,3.89660714285714,5.63178571428571,0.044375659423996,1312.1721422599,-304.232183376838,121.344822684208,17.3459474914724,32.2343266295307
2199,2270,5.78552631578947,3.88605263157895,5.88973684210526,0.026714815101519,1234.1134747575,-367.072941744694,120.964003559428,12.42407626724,38.7089693745794
2271,2280,5.97357142857143,3.95785714285714,5.58571428571429,0.030910849868714,1687.59523959048,-285.646887781684,113.061816461633,18.3401380782103,34.9752831329423
2281,2364,5.56443037974683,3.91645569620253,5.52139240506329,0.034595095665183,1692.44670002246,-294.415458346986,110.674547141272,15.7059148750091,35.1895163039559
2365,2635,5.77327731092437,4.1022268907563,5.51886554621849,0.04687289331167,1684.19100613874,-333.602411754897,129.365179059193,12.6775063079206,28.2958509479745
2636,2662,5.59590909090909,4.04818181818182,5.48590909090909,0.072874835359391,2125.52418800622,-146.454259395714,103.445458728494,-9.03131461998433,30.0149563193779
2663,2794,5.70723684210526,4.06052631578948,5.52605263157895,0.013124282201352,1273.6151623741,-431.417960601335,118.746246569015,25.957400122389,36.4537671935535
2800,2871,6.1254347826087,4.05260869565217,5.83326086956522,0.016512220349476,1272.70822788112,-435.595227092204,110.352443902619,30.2340945884934,38.5646728607959
2872,2920,5.39106382978723,4.1263829787234,5.4563829787234,0.034658891270487,2018.97740490705,-255.788353421095,100.366680322434,6.04372109302453,31.8583063010003
2921,2952,5.67333333333333,3.82777777777778,5.52740740740741,0.037857586995844,1791.50413872275,-225.957852382332,112.116158692064,-9.4622140634173,38.3611441982871
2953,3010,5.4236,4.5388,5.4408,0.054252927181821,1440.03334768266,-278.681192891801,138.82684555221,3.02727697734975,29.3989975997173
3011,3140,5.66324324324324,4.13243243243243,5.67162162162162,0.113612194712965,2480.92214299528,-207.492311323918,83.6763576748353,8.77746061296887,31.2499282868087
3028,3032,5.92125,3.39,5.87,0.139262316519306,2688.1776576895,-78.4946605310787,74.6787333081958,10.0302218729745,31.1548948615924
3141,3150,5.5875,4.565,5.3625,0.034496076038547,1095.72752978076,-325.921910128185,151.089607599838,21.9916258873958,36.4832633072922
3185,3197,5.41625,4.425,5.491875,0.147616695363425,1689.03189407139,-121.712563033696,123.471606527508,-10.3163225284252,31.1303497264269
3198,3200,6.23,3.5,6.455,0.011153753409332,1731.12134756519,-403.634678326808,99.0893891342207,14.5180543506719,32.5133851052076
3201,3255,5.7451724137931,4.13948275862069,5.62172413793103,0.03817984501492,2082.65205681308,-314.749207485994,108.615535863581,4.09474521595683,18.767867792959
3259,3267,6.37714285714286,3.79428571428571,5.80714285714286,0.021566200038936,1834.96301004631,-292.348754353045,109.976022378623,19.4479871528336,35.6890968631801
3268,3295,5.631,3.81666666666667,5.339,0.081061571973007,1910.54962824868,-185.569165130557,115.077585896431,-9.42625943753228,22.4537395036794
3296,3335,5.29736842105263,4.58210526315789,5.33421052631579,0.020201365571621,2118.86374669812,-326.533551040373,90.3738904071592,10.370813629601,30.9154396115339
3336,3365,6.06,3.78625,5.819375,0.009604944467968,1399.32861466959,-436.167156849136,113.478085341932,27.7999246099974,31.3975752608124
