"Scene Start","Scene End","neg","neu","pos","compound","Audio Level"
"106.0","116.0","0.081","0.776","0.143","0.5435","0.09019827811174404"
"120.0","159.0","0.114","0.804","0.082","-0.6876","0.09366405640881235"
"160.0","203.0","0.167","0.771","0.062","-0.9635","0.07566233112652442"
"204.0","225.0","0.096","0.83","0.074","-0.296","0.07097542160470426"
"227.0","231.0","0.099","0.901","0.0","-0.5574","0.04697823046573963"
"232.0","250.0","0.0","1.0","0.0","0.0","0.12200208889975178"
"251.0","282.0","0.078","0.848","0.073","0.0452","0.0503477467531581"
"283.0","318.0","0.099","0.751","0.15","0.7146","0.08446552433386223"
"319.0","370.0","0.109","0.834","0.057","-0.8816","0.14044721149094322"
"371.0","384.0","0.147","0.772","0.081","-0.2263","0.21041957733748173"
"385.0","408.0","0.122","0.878","0.0","-0.7783","0.21343100689637207"
"426.0","431.0","0.073","0.884","0.043","-0.3182","0.0831216451998363"
"432.0","444.0","0.111","0.889","0.0","-0.5216","0.06002403843824436"
"445.0","540.0","0.059","0.854","0.088","0.453","0.19568537411336395"
"545.0","570.0","0.204","0.773","0.023","-0.9305","0.17688675826094266"
"575.0","590.0","0.171","0.736","0.092","-0.7227","0.05521467333168421"
"592.0","595.0","0.0","1.0","0.0","0.0","0.04360399125051625"
"622.0","783.0","0.091","0.831","0.078","-0.8867","0.06393693485848286"
"784.0","795.0","0.0","0.627","0.373","0.9588","0.038884452186605814"
"796.0","808.0","0.035","0.887","0.078","0.6775","0.02697720621978619"
"809.0","879.0","0.104","0.75","0.146","0.7156","0.20880431246518527"
"884.0","890.0","0.0","0.837","0.163","0.5994","0.029531935433972638"
"891.0","960.0","0.154","0.833","0.013","-0.9008","0.05473470791975251"
"961.0","1042.0","0.03","0.925","0.046","0.4168","0.048919361890888385"
"1043.0","1062.0","0.032","0.895","0.073","0.5267","0.03968381024723683"
"1064.0","1107.0","0.101","0.899","0.0","-0.8516","0.0074071139614404835"
"1108.0","1159.0","0.013","0.929","0.058","0.7599","0.024396938608294488"
"1160.0","1164.0","0.0","1.0","0.0","0.0","0.05969784796544256"
"1165.0","1197.0","0.066","0.906","0.028","-0.5575","0.0413246187142313"
"1198.0","1202.0","0.0","1.0","0.0","0.0","0.05554316645684368"
"1203.0","1230.0","0.092","0.767","0.141","0.4404","0.045193120206641985"
"1245.0","1257.0","0.086","0.745","0.169","0.5719","0.03446061666923"
"1258.0","1366.0","0.024","0.865","0.11","0.9883","0.018773228621990937"
"1367.0","1470.0","0.052","0.877","0.07","0.5256","0.04243824209336118"
"1471.0","1589.0","0.068","0.852","0.079","0.7871","0.025850636934910444"
"1590.0","1610.0","0.099","0.827","0.074","-0.1197","0.09800193717334404"
"1614.0","1647.0","0.071","0.854","0.074","0.1531","0.06447516602626757"
"1648.0","1691.0","0.065","0.83","0.105","0.6808","0.11100176663654608"
"1692.0","1711.0","0.107","0.832","0.061","-0.6854","0.038479160064024846"
"1712.0","1770.0","0.088","0.868","0.044","-0.8619","0.030968275550854307"
"1771.0","1847.0","0.094","0.877","0.03","-0.8458","0.042475737208203426"
"1847.0","1851.0","0.0","1.0","0.0","0.0","0.12577100961911003"
"1852.0","1900.0","0.079","0.889","0.032","-0.7879","0.12589191211932096"
"1879.0","1944.0","0.073","0.824","0.103","0.2441","0.09508997563677987"
"1901.0","1915.0","0.092","0.771","0.137","0.4404","0.04102581841098964"
"1916.0","1938.0","0.229","0.771","0.0","-0.9541","0.09160255345818773"
"1945.0","1960.0","0.133","0.867","0.0","-0.4153","0.2168121541257148"
"1962.0","2002.0","0.073","0.872","0.054","-0.3649","0.08300040288095215"
"2003.0","2060.0","0.121","0.795","0.084","-0.9301","0.1533114568294161"
"2063.0","2065.0","0.0","1.0","0.0","0.0","0.2147252209354796"
"2069.0","2116.0","0.134","0.808","0.058","-0.9283","0.1941080253699428"
"2119.0","2167.0","0.126","0.773","0.101","-0.5411","0.12322357277661639"
"2168.0","2180.0","0.0","1.0","0.0","0.0","0.017078080180438996"
"2181.0","2200.0","0.111","0.841","0.047","-0.4898","0.14201256242080737"
"2201.0","2205.0","0.0","1.0","0.0","0.0","0.21340598897481533"
"2220.0","2235.0","0.049","0.861","0.09","0.453","0.14392498901600195"
"2236.0","2305.0","0.049","0.873","0.079","0.8741","0.10378308775414392"
"2306.0","2320.0","0.0","0.911","0.089","0.6199","0.03664786858547486"
"2321.0","2323.0","0.0","1.0","0.0","0.0","0.04557149154665162"
"2324.0","2348.0","0.208","0.699","0.093","-0.7476","0.0732172270043406"
"2349.0","2442.0","0.061","0.784","0.156","0.9545","0.01616876069172781"
"2443.0","2460.0","0.0","0.757","0.243","0.9337","0.05788099128645999"
"2461.0","2470.0","0.04","0.96","0.0","-0.516","0.046386977349920734"
"2471.0","2493.0","0.026","0.925","0.049","0.6184","0.03455780236011176"
"2494.0","2520.0","0.068","0.904","0.028","-0.4871","0.013643060201609011"
"2525.0","2608.0","0.103","0.897","0.0","-0.1531","0.05374336131329776"
"2608.0","2809.0","0.081","0.827","0.092","0.5815","0.0679098705429284"
"2851.0","3024.0","0.072","0.826","0.102","0.9322","0.015961081201932008"
"3028.0","3070.0","0.074","0.862","0.064","-0.6388","0.014402807960438241"
"3071.0","3111.0","0.045","0.894","0.061","0.2297","0.016946682326349268"
"3140.0","3194.0","0.019","0.932","0.049","0.5859","0.021173485375180837"
"3195.0","3226.0","0.114","0.845","0.041","-0.8984","0.09523776607447047"
"3230.0","3239.0","0.087","0.913","0.0","-0.296","0.1584375301381912"
"3240.0","3248.0","0.099","0.804","0.097","-0.0516","0.028777419404216277"
"3249.0","3253.0","0.124","0.876","0.0","-0.34","0.3087524383685244"
"3254.0","3262.0","0.0","0.904","0.096","0.2023","0.37242813317771517"
"3263.0","3269.0","0.0","1.0","0.0","0.0","0.0678874882782137"
"3270.0","3318.0","0.046","0.936","0.018","-0.643","0.04485121522506976"
"3319.0","3380.0","0.038","0.845","0.118","0.9455","0.019160580497226874"
"3381.0","3396.0","0.0","1.0","0.0","0.0","0.036564855142761095"
"3397.0","3411.0","0.031","0.851","0.119","0.6486","0.017880133538846002"
"3412.0","3484.0","0.061","0.817","0.121","0.9024","0.01418093072910252"
"3485.0","3498.0","0.0","1.0","0.0","0.0","0.12914429996735544"
"3505.0","3536.0","0.013","0.855","0.132","0.9605","0.06860451106992438"
"3537.0","3545.0","0.052","0.813","0.135","0.8588","0.1463732623244812"
"3546.0","3555.0","0.271","0.624","0.106","-0.7662","0.08751717916161204"
"3565.0","3581.0","0.05","0.898","0.052","0.0258","0.059365323249999026"
"3582.0","3590.0","0.212","0.788","0.0","-0.6249","0.057167461652662586"
"3591.0","3613.0","0.072","0.817","0.111","0.3853","0.05060838017955063"
"3614.0","3654.0","0.081","0.839","0.081","0.0","0.1140779407602534"
"3655.0","3684.0","0.095","0.824","0.081","0.4815","0.08378593659359705"
"3685.0","3690.0","0.094","0.906","0.0","-0.4019","0.07887675064594854"
"3693.0","3715.0","0.326","0.674","0.0","-0.6486","0.09207886362242981"
"3717.0","3793.0","0.108","0.876","0.016","-0.9551","0.18379248304829812"
"3795.0","3843.0","0.103","0.847","0.05","-0.9029","0.18136651465933162"
"3855.0","3898.0","0.078","0.884","0.038","-0.5943","0.13420841283237345"
"3899.0","4080.0","0.06","0.894","0.045","-0.5618","0.14611391831535214"
