"Scene Start","Scene End","neg","neu","pos","compound","Audio Level"
"25.0","85.0","0.084","0.916","0.0","-0.5106","0.0716295625704648"
"100.0","243.0","0.026","0.915","0.059","0.7269","0.15832688294905328"
"244.0","389.0","0.031","0.876","0.093","0.9941","0.01562191755974771"
"391.0","400.0","0.0","0.948","0.052","0.6705","0.16861352834203763"
"402.0","440.0","0.101","0.805","0.093","-0.6036","0.09839643864304738"
"444.0","450.0","0.069","0.931","0.0","-0.3818","0.1892902292213089"
"451.0","470.0","0.073","0.851","0.076","0.1635","0.06633709542373868"
"471.0","480.0","0.0","1.0","0.0","0.0","0.08552641186830873"
"540.0","588.0","0.067","0.875","0.058","-0.4841","0.11405917526208582"
"590.0","595.0","0.051","0.949","0.0","-0.0772","0.1516721185834863"
"596.0","608.0","0.082","0.918","0.0","-0.6973","0.107050752673719"
"632.0","670.0","0.045","0.715","0.24","0.9694","0.15935656172896062"
"671.0","720.0","0.0","0.901","0.099","0.7003","0.01875733011148086"
"721.0","743.0","0.078","0.908","0.014","-0.7096","0.0360358878298301"
"745.0","859.0","0.025","0.893","0.082","0.966","0.02434454976778435"
"860.0","892.0","0.025","0.975","0.0","-0.2263","0.013659349722193221"
"893.0","1050.0","0.111","0.842","0.047","-0.9871","0.02328731065335345"
"1051.0","1100.0","0.081","0.88","0.038","-0.5204","0.010416782764948037"
"1101.0","1112.0","0.086","0.914","0.0","-0.7096","0.04518232764382996"
"1113.0","1130.0","0.0","0.943","0.057","0.128","0.07875676078176026"
"1185.0","1214.0","0.125","0.827","0.048","-0.9533","0.031788825410834935"
"1225.0","1325.0","0.123","0.851","0.026","-0.9916","0.037712902408479"
"1326.0","1360.0","0.054","0.862","0.084","0.5052","0.05492170485839537"
"1361.0","1380.0","0.158","0.775","0.067","-0.6523","0.016875713677033694"
"1400.0","1410.0","0.068","0.864","0.068","-0.0085","0.035500499301281865"
"1415.0","1433.0","0.046","0.893","0.06","0.1531","0.14702673574427802"
"1435.0","1460.0","0.018","0.931","0.052","0.5719","0.1611267430478936"
"1461.0","1470.0","0.017","0.983","0.0","-0.1531","0.25598906596275"
"1471.0","1475.0","0.0","1.0","0.0","0.0","0.36161796469542423"
"1476.0","1485.0","0.098","0.902","0.0","-0.8074","0.28608922570954953"
"1525.0","1545.0","0.206","0.794","0.0","-0.9747","0.32755458594063447"
"1583.0","1605.0","0.158","0.821","0.02","-0.9902","0.2912074406141595"
"1606.0","1645.0","0.1","0.876","0.024","-0.9436","0.2568254074104577"
"1646.0","1671.0","0.097","0.89","0.013","-0.9771","0.15790323938802422"
"1685.0","1714.0","0.071","0.874","0.054","-0.6408","0.019935742271327304"
"1720.0","1740.0","0.117","0.847","0.036","-0.9612","0.1248312063442712"
"1742.0","1835.0","0.13","0.827","0.043","-0.9935","0.03659817237255696"
"1840.0","1864.0","0.053","0.9","0.047","-0.5151","0.020899532092244277"
"1871.0","1895.0","0.094","0.893","0.013","-0.9371","0.02492323975454046"
"1896.0","1904.0","0.0","1.0","0.0","0.0","0.09339619044951922"
"1905.0","1955.0","0.064","0.889","0.047","-0.3595","0.037445041302388654"
"2025.0","2093.0","0.124","0.829","0.047","-0.6808","0.07690059345539559"
"2094.0","2128.0","0.085","0.915","0.0","-0.8091","0.08745318111151007"
"2190.0","2228.0","0.146","0.772","0.082","-0.7551","0.010242694266878249"
