"Scene Start","Scene End","neg","neu","pos","compound","Audio Level"
"15.0","40.0","0.062","0.718","0.22","0.9289","0.03536702171814056"
"41.0","60.0","0.06","0.797","0.142","0.6062","0.010213091233732437"
"61.0","72.0","0.153","0.764","0.084","-0.2263","0.001800391193288677"
"73.0","565.0","0.127","0.766","0.107","-0.9888","0.03017027727313876"
"566.0","623.0","0.076","0.875","0.049","-0.7183","0.05063082795939851"
"624.0","660.0","0.084","0.837","0.079","0.0688","0.09469906452918805"
"661.0","665.0","0.08","0.92","0.0","-0.2716","0.049283666211633013"
"666.0","670.0","0.174","0.826","0.0","-0.5647","0.04220607003302031"
"671.0","680.0","0.104","0.845","0.051","-0.3612","0.036957379911884275"
"681.0","690.0","0.289","0.673","0.039","-0.9054","0.04719938682720104"
"710.0","750.0","0.085","0.888","0.027","-0.88","0.03327841471426284"
"751.0","763.0","0.101","0.899","0.0","-0.7955","0.16691172965226864"
"766.0","787.0","0.026","0.879","0.095","0.7783","0.011316765870397318"
"788.0","790.0","0.0","0.842","0.158","0.6369","0.05849533437721164"
"791.0","1020.0","0.06","0.824","0.116","0.9877","0.007023418717612069"
"1021.0","1040.0","0.055","0.817","0.128","0.6448","0.013489900090978382"
"1041.0","1110.0","0.224","0.724","0.052","-0.9961","0.022570001063438802"
"1111.0","1128.0","0.141","0.796","0.063","-0.7964","0.004273227174710995"
"1129.0","1160.0","0.043","0.835","0.122","0.9367","0.00785841548299598"
"1164.0","1290.0","0.138","0.764","0.098","-0.969","0.021827983847023044"
"1292.0","1320.0","0.101","0.842","0.057","-0.2023","0.02792991452687518"
"1321.0","1357.0","0.023","0.824","0.153","0.8924","0.016161065597830697"
"1358.0","1440.0","0.067","0.87","0.063","-0.4215","0.01716526317805701"
"1475.0","1734.0","0.112","0.827","0.061","-0.9907","0.030560705891912763"
"1735.0","1740.0","0.044","0.956","0.0","-0.4019","0.11484196232562557"
"1741.0","1814.0","0.153","0.804","0.043","-0.9857","0.07178291782791366"
"1815.0","1817.0","0.0","1.0","0.0","0.0","0.10783654336903815"
"1818.0","1827.0","0.062","0.887","0.051","-0.1613","0.08736457559239363"
"1828.0","1895.0","0.072","0.893","0.035","-0.8382","0.027281107994484965"
"1897.0","1940.0","0.091","0.864","0.045","-0.855","0.024080707656993952"
"1945.0","1975.0","0.04","0.854","0.106","0.449","0.005690340777753054"
"1976.0","2040.0","0.075","0.837","0.089","-0.6136","0.010694501629599971"
"2082.0","2140.0","0.045","0.891","0.064","0.597","0.013728928194865195"
"2144.0","2196.0","0.049","0.875","0.076","0.7893","0.03101007201461666"
"2197.0","2248.0","0.036","0.78","0.184","0.9898","0.011938195853714388"
"2249.0","2285.0","0.135","0.76","0.105","-0.7582","0.027104947900588098"
"2310.0","2349.0","0.125","0.841","0.034","-0.9618","0.012492528104315977"
"2350.0","2360.0","0.086","0.914","0.0","-0.4588","0.04086686162366729"
"2361.0","2385.0","0.118","0.856","0.026","-0.8597","0.03029240006382725"
"2386.0","2520.0","0.187","0.76","0.053","-0.9977","0.020541607669036517"
"2525.0","2570.0","0.149","0.777","0.074","-0.9446","0.029068157640679795"
"2575.0","2668.0","0.194","0.774","0.032","-0.9958","0.014066555150109902"
"2669.0","2710.0","0.202","0.729","0.069","-0.9791","0.023573827386590845"
"2712.0","2875.0","0.171","0.779","0.05","-0.9968","0.02151131191264815"
"2877.0","2885.0","0.099","0.836","0.065","-0.2903","0.05588868087174437"
"2900.0","3008.0","0.096","0.77","0.134","0.9706","0.021047801248073924"
"3009.0","3062.0","0.063","0.712","0.225","0.9899","0.02959102498065716"
"3063.0","3085.0","0.085","0.886","0.029","-0.7783","0.018385764930430742"
"3104.0","3120.0","0.088","0.912","0.0","-0.5994","0.013011573299800945"
"3130.0","3184.0","0.094","0.83","0.076","-0.3609","0.04145650486408785"
"3185.0","3264.0","0.065","0.894","0.041","-0.8282","0.015498577576848848"
"3275.0","3439.0","0.167","0.774","0.059","-0.9941","0.019160353913067238"
"3495.0","3507.0","0.099","0.738","0.163","0.8035","0.023608582442333253"
"3509.0","3523.0","0.032","0.93","0.038","0.2656","0.01781036336004405"
"3524.0","3545.0","0.117","0.858","0.025","-0.8668","0.018045868096357526"
"3546.0","3623.0","0.111","0.857","0.032","-0.939","0.018174053155508175"
"3624.0","3674.0","0.112","0.779","0.109","-0.0772","0.02435932111635747"
"3675.0","3689.0","0.072","0.804","0.124","0.4995","0.04935072984229183"
"3690.0","3700.0","0.0","1.0","0.0","0.0","0.012069616111195242"
"3701.0","3759.0","0.052","0.848","0.1","0.9243","0.015225570057259311"
"3760.0","3780.0","0.039","0.917","0.044","0.368","0.045400556958637005"
"3781.0","3845.0","0.071","0.841","0.087","0.4019","0.03165648287927716"
"3848.0","3852.0","0.125","0.875","0.0","-0.4019","0.02053455932274353"
"3853.0","4005.0","0.123","0.811","0.066","-0.9909","0.03499148405510229"
"4006.0","4029.0","0.142","0.808","0.049","-0.9482","0.07139289680708673"
"4030.0","4090.0","0.086","0.82","0.094","0.264","0.018210555285641493"
"4091.0","4118.0","0.0","0.867","0.133","0.9246","0.014821832850409182"
"4121.0","4305.0","0.177","0.696","0.127","-0.9087","0.00843904574834956"
"4306.0","4403.0","0.131","0.82","0.049","-0.9794","0.03248975853293749"
"4404.0","4445.0","0.024","0.815","0.162","0.9423","0.019407046021807685"
"4446.0","4470.0","0.054","0.812","0.135","0.5423","0.014024683292966425"
"4484.0","4521.0","0.031","0.969","0.0","-0.3818","0.017759679708741937"
"4522.0","4555.0","0.156","0.826","0.018","-0.9652","0.015628870498819773"
"4556.0","4585.0","0.087","0.774","0.138","0.3182","0.07336849931654708"
