"Scene Start","Scene End","neg","neu","pos","compound","Audio Level"
"155.0","198.0","0.15","0.814","0.037","-0.964","0.1494901842217029"
"199.0","206.0","0.112","0.804","0.084","0.0516","0.14181934186266598"
"207.0","270.0","0.208","0.712","0.079","-0.9371","0.23719742609884384"
"274.0","292.0","0.135","0.787","0.078","-0.34","0.0588368104164733"
"293.0","294.0","0.0","0.802","0.198","0.4939","0.062064765264090584"
"297.0","332.0","0.103","0.856","0.041","-0.8731","0.038711380779690524"
"341.0","372.0","0.172","0.788","0.041","-0.9619","0.0779545023948491"
"373.0","394.0","0.123","0.854","0.023","-0.8669","0.06674813658453474"
"395.0","422.0","0.162","0.805","0.033","-0.9579","0.07630883102764373"
"427.0","432.0","0.303","0.697","0.0","-0.91","0.08280708374732898"
"433.0","441.0","0.062","0.676","0.262","0.8537","0.034636520645566604"
"449.0","528.0","0.182","0.764","0.054","-0.9934","0.05672344782967689"
"529.0","534.0","0.0","1.0","0.0","0.0","0.1792639642324246"
"535.0","628.0","0.071","0.895","0.034","-0.8784","0.019085427557905703"
"629.0","680.0","0.193","0.682","0.125","-0.8185","0.028047588384163453"
"681.0","775.0","0.092","0.883","0.025","-0.8815","0.01838322534989695"
"776.0","836.0","0.036","0.868","0.096","0.552","0.04494030946452629"
"840.0","885.0","0.056","0.944","0.0","-0.5719","0.03650075309870344"
"887.0","900.0","0.072","0.885","0.043","-0.4168","0.05214898598472502"
"901.0","909.0","0.0","0.813","0.187","0.5994","0.0960192986272278"
"910.0","940.0","0.0","1.0","0.0","0.0","0.047275154285229215"
"941.0","950.0","0.0","0.631","0.369","0.6249","0.08557986115795564"
"941.0","991.0","0.119","0.83","0.051","-0.854","0.06664043822472746"
"993.0","1177.0","0.055","0.867","0.077","0.8775","0.03845834307643019"
"1180.0","1412.0","0.071","0.769","0.161","0.9988","0.03368467719452876"
"1413.0","1532.0","0.054","0.863","0.083","0.8908","0.022406602443853837"
"1533.0","1568.0","0.231","0.769","0.0","-0.7579","0.10491964419611158"
"1570.0","1594.0","0.084","0.849","0.067","-0.2035","0.03006653281234265"
"1595.0","1630.0","0.101","0.849","0.051","-0.8226","0.036237698046570004"
"1634.0","1647.0","0.114","0.822","0.064","-0.4909","0.026311000042399398"
"1648.0","1664.0","0.085","0.842","0.073","-0.2328","0.038089818455691954"
"1665.0","1673.0","0.082","0.774","0.143","0.801","0.0679520841338489"
"1674.0","1681.0","0.128","0.872","0.0","-0.9306","0.11931617630079287"
"1682.0","1692.0","0.022","0.892","0.086","0.5267","0.17754298155261314"
"1693.0","1724.0","0.097","0.864","0.039","-0.8929","0.05338549674520276"
"1750.0","1924.0","0.067","0.882","0.052","-0.7588","0.04333009217724006"
"1925.0","1953.0","0.117","0.845","0.037","-0.9292","0.05188542822456855"
"1954.0","2212.0","0.114","0.751","0.135","0.9643","0.032255166723749944"
"2213.0","2220.0","0.528","0.472","0.0","-0.9041","0.22319296411694806"
"2221.0","2344.0","0.179","0.754","0.067","-0.9932","0.09359963855672912"
"2346.0","2404.0","0.083","0.881","0.036","-0.8881","0.04589166915638056"
"2405.0","2410.0","0.0","1.0","0.0","0.0","0.21685519063792538"
"2411.0","2453.0","0.102","0.777","0.121","0.5682","0.12342878856364435"
"2455.0","2459.0","0.339","0.522","0.139","-0.5106","0.347804160899551"
"2460.0","2501.0","0.171","0.771","0.058","-0.9136","0.15130426356695245"
"2502.0","2546.0","0.091","0.857","0.053","-0.7717","0.03318170773347898"
"2547.0","2567.0","0.115","0.824","0.061","-0.6705","0.05992649164365336"
"2600.0","2639.0","0.056","0.933","0.011","-0.659","0.06320927910222547"
"2648.0","2689.0","0.081","0.822","0.097","0.3612","0.04897649768002619"
"2690.0","2853.0","0.16","0.739","0.101","-0.9927","0.0572142848517741"
"2855.0","2860.0","0.053","0.947","0.0","-0.2755","0.062243806220272944"
"2861.0","2992.0","0.059","0.856","0.085","0.8973","0.0308076535132592"
"2993.0","2997.0","0.0","0.888","0.112","0.2263","0.023082382170802166"
"2998.0","3072.0","0.145","0.795","0.06","-0.9784","0.03895502149794332"
"3073.0","3077.0","0.505","0.495","0.0","-0.6249","0.15010945414504967"
"3078.0","3101.0","0.027","0.925","0.048","0.4137","0.05929431189322428"
"3103.0","3135.0","0.052","0.915","0.033","-0.3903","0.04953546980076751"
"3139.0","3160.0","0.035","0.871","0.093","0.843","0.044399837341475956"
"3161.0","3251.0","0.096","0.85","0.054","-0.7786","0.057828827351398056"
"3252.0","3271.0","0.072","0.868","0.06","0.0772","0.043812780411660625"
"3273.0","3295.0","0.042","0.887","0.071","0.5996","0.039981185556461324"
"3297.0","3299.0","0.0","1.0","0.0","0.0","0.0098791658380764"
"3300.0","3302.0","0.0","1.0","0.0","0.0","0.022147602931400792"
"3303.0","3316.0","0.099","0.901","0.0","-0.4926","0.06462597958420861"
"3305.0","3371.0","0.0","0.887","0.113","0.3182","0.19177159360857915"
"3317.0","3328.0","0.085","0.856","0.059","-0.3365","0.29277223799902224"
"3329.0","3336.0","0.228","0.772","0.0","-0.7088","0.14798974217263003"
"3337.0","3343.0","0.133","0.803","0.064","-0.3612","0.3261346937328555"
