"Scene Start","Scene End","neg","neu","pos","compound","Audio Level"
"40.0","90.0","0.066","0.861","0.073","0.4122","0.06067279213024847"
"92.0","123.0","0.089","0.888","0.023","-0.9056","0.039731464569804156"
"124.0","172.0","0.103","0.873","0.024","-0.886","0.05344088422687341"
"173.0","202.0","0.223","0.77","0.007","-0.9877","0.20657767579874073"
"203.0","205.0","0.0","1.0","0.0","0.0","0.033526573602620575"
"206.0","225.0","0.0","0.873","0.127","0.783","0.013887875517491195"
"226.0","233.0","0.156","0.795","0.048","-0.5859","0.10701227781032785"
"234.0","240.0","0.0","1.0","0.0","0.0","0.09316597712895876"
"241.0","326.0","0.086","0.857","0.057","-0.9365","0.14175579624569748"
"327.0","405.0","0.063","0.912","0.025","-0.8798","0.1246876969170237"
"406.0","513.0","0.035","0.897","0.068","0.8915","0.00988527742712086"
"514.0","580.0","0.035","0.781","0.183","0.9463","0.01345692570344978"
"581.0","716.0","0.041","0.893","0.066","0.935","0.09563219407748909"
"717.0","721.0","0.219","0.781","0.0","-0.6523","0.06226574612343196"
"722.0","724.0","0.0","1.0","0.0","0.0","0.03166409306714774"
"725.0","774.0","0.065","0.846","0.089","0.6597","0.016327787735858093"
"775.0","1007.0","0.09","0.833","0.077","-0.9392","0.030797038452245462"
"1008.0","1020.0","0.101","0.899","0.0","-0.5574","0.03588725600135379"
"1021.0","1291.0","0.081","0.819","0.1","0.9072","0.019536316618557203"
"1292.0","1355.0","0.113","0.823","0.064","-0.8982","0.0192202141862017"
"1440.0","1500.0","0.093","0.863","0.044","-0.973","0.0661045340176044"
"1525.0","1540.0","0.036","0.86","0.104","0.6369","0.022095915886152118"
"1541.0","1944.0","0.072","0.846","0.082","-0.7736","0.019787938284747203"
"1945.0","2071.0","0.067","0.83","0.103","0.9779","0.17563363271422794"
"2072.0","2102.0","0.125","0.875","0.0","-0.8519","0.2606025490804972"
"2103.0","2198.0","0.086","0.851","0.063","-0.5905","0.04444717372501614"
"2199.0","2270.0","0.025","0.87","0.105","0.8985","0.026885885402621844"
"2271.0","2280.0","0.0","0.872","0.128","0.6124","0.0321942566492145"
"2281.0","2364.0","0.033","0.914","0.053","0.6801","0.03457353613717582"
"2365.0","2635.0","0.069","0.874","0.057","-0.9521","0.04663665377947008"
"2636.0","2662.0","0.093","0.828","0.079","0.4153","0.07391661234804454"
"2663.0","2794.0","0.099","0.823","0.079","-0.8406","0.013264665129740243"
"2800.0","2871.0","0.022","0.87","0.108","0.9009","0.016487660442414842"
"2872.0","2920.0","0.179","0.689","0.132","-0.8718","0.034876647392585614"
"2921.0","2952.0","0.094","0.835","0.071","-0.6808","0.0373615534315937"
"2953.0","3010.0","0.222","0.751","0.027","-0.9531","0.054484945803431675"
"3011.0","3140.0","0.071","0.853","0.076","0.212","0.11345249593579347"
"3028.0","3032.0","0.083","0.917","0.0","-0.4199","0.13648244745559834"
"3141.0","3150.0","0.127","0.817","0.057","-0.4738","0.03073278567457009"
"3185.0","3197.0","0.122","0.784","0.094","-0.34","0.1458829523428503"
"3198.0","3200.0","0.0","1.0","0.0","0.0","0.015167667550116259"
"3201.0","3255.0","0.123","0.718","0.159","0.743","0.03681319654742581"
"3259.0","3267.0","0.101","0.899","0.0","-0.5267","0.022808704606988275"
"3268.0","3295.0","0.049","0.773","0.178","0.9562","0.07885631983425614"
"3296.0","3335.0","0.105","0.8","0.095","-0.4291","0.021001075687845164"
"3336.0","3365.0","0.025","0.941","0.035","0.2023","0.00985591104482058"
"3669.0","3820.0","0.103","0.826","0.07","-0.8608","0.010269444775576246"
"3821.0","3915.0","0.04","0.814","0.146","0.9909","0.00890905481861703"
"3924.0","4024.0","0.05","0.839","0.111","0.9399","0.015373264590185795"
"4040.0","4066.0","0.025","0.975","0.0","-0.2023","0.12099521241901634"
"4135.0","4158.0","0.086","0.803","0.111","0.3313","0.019490533606946112"
"4260.0","4352.0","0.058","0.858","0.084","0.7212","0.007141204077010965"
"4353.0","4365.0","0.038","0.905","0.057","0.4215","0.006728193266185693"
"4366.0","4645.0","0.072","0.81","0.117","0.9651","0.008040202195571052"
"4646.0","4669.0","0.075","0.819","0.106","0.5574","0.002733236434239316"
"4680.0","4685.0","0.0","0.88","0.12","0.4588","0.025499650416211658"
