"Scene Start","Scene End","neg","neu","pos","compound","Audio Level"
"40.0","112.0","0.091","0.848","0.061","-0.5282","silent"
"112.0","129.0","0.17","0.83","0.0","-0.7783","silent"
"130.0","148.0","0.091","0.673","0.236","0.9221","silent"
"148.0","163.0","0.141","0.805","0.054","-0.6041","silent"
"164.0","186.0","0.057","0.897","0.046","-0.4019","silent"
"186.0","660.0","0.091","0.846","0.064","-0.9935","medium"
"661.0","684.0","0.117","0.792","0.091","-0.6486","silent"
"685.0","751.0","0.105","0.844","0.051","-0.9356","silent"
"752.0","915.0","0.09","0.862","0.048","-0.9841","silent"
"915.0","991.0","0.092","0.833","0.075","-0.5938","silent"
"992.0","1017.0","0.0","1.0","0.0","0.0","silent"
"1018.0","1024.0","0.0","0.924","0.076","0.34","silent"
"1025.0","1034.0","0.0","0.779","0.221","0.6249","silent"
"1035.0","1044.0","0.112","0.888","0.0","-0.5267","silent"
"1045.0","1058.0","0.0","0.948","0.052","0.2023","silent"
"1059.0","1169.0","0.067","0.898","0.036","-0.9364","silent"
"1170.0","1368.0","0.104","0.814","0.082","-0.968","silent"
"1369.0","1402.0","0.0","0.976","0.024","0.3612","silent"
"1403.0","1424.0","0.03","0.924","0.046","0.4404","silent"
"1424.0","1530.0","0.098","0.829","0.073","-0.2748","silent"
"1530.0","1622.0","0.106","0.845","0.049","-0.9231","silent"
"1623.0","1647.0","0.071","0.844","0.084","0.8162","silent"
"1648.0","1864.0","0.119","0.824","0.057","-0.9871","silent"
"1865.0","1984.0","0.073","0.865","0.061","-0.2844","silent"
"1985.0","1999.0","0.071","0.929","0.0","-0.296","silent"
"2000.0","2014.0","0.0","1.0","0.0","0.0","silent"
"2015.0","2044.0","0.0","0.95","0.05","0.0258","silent"
"2045.0","2066.0","0.027","0.931","0.042","0.2732","silent"
"2067.0","2101.0","0.0","0.92","0.08","0.5411","silent"
"2102.0","2279.0","0.05","0.865","0.085","0.9848","silent"
"2280.0","2358.0","0.105","0.851","0.044","-0.9775","silent"
"2360.0","2365.0","0.0","1.0","0.0","0.0","silent"
"2425.0","2429.0","0.129","0.786","0.085","-0.1779","silent"
"2430.0","2496.0","0.079","0.852","0.069","-0.6747","silent"
"2436.0","2440.0","0.068","0.831","0.102","0.2732","silent"
"2497.0","2506.0","0.065","0.935","0.0","-0.1779","silent"
"2507.0","2539.0","0.056","0.876","0.068","0.636","silent"
"2540.0","2557.0","0.054","0.891","0.055","0.0173","medium"
"2558.0","2629.0","0.054","0.914","0.031","-0.6537","silent"
"2630.0","2644.0","0.0","1.0","0.0","0.0","silent"
"2645.0","2864.0","0.021","0.979","0.0","-0.3899","silent"
"2681.0","2850.0","0.077","0.803","0.12","0.9295","silent"
"2865.0","2882.0","0.023","0.9","0.077","0.811","silent"
"2883.0","2909.0","0.0","0.812","0.188","0.6249","silent"
"2910.0","3429.0","0.069","0.834","0.097","0.9846","silent"
"3285.0","3319.0","0.054","0.922","0.024","-0.6522","silent"
"3320.0","3324.0","0.0","1.0","0.0","0.0","medium"
"3325.0","3329.0","0.0","1.0","0.0","0.0","medium"
"3330.0","3429.0","0.105","0.837","0.057","-0.894","medium"
"3429.0","3689.0","0.109","0.833","0.058","-0.9471","silent"
"3490.0","3610.0","0.116","0.807","0.077","-0.9516","silent"
"3610.0","3690.0","0.11","0.831","0.06","-0.8307","silent"
"3690.0","3751.0","0.042","0.857","0.102","0.8228","silent"
"3785.0","3935.0","0.093","0.82","0.087","-0.7564","silent"
"3936.0","4085.0","0.066","0.82","0.114","0.932","silent"
"4137.0","4140.0","0.034","0.966","0.0","-0.34","silent"
"4141.0","4360.0","0.06","0.811","0.129","0.9965","silent"
"4365.0","4430.0","0.046","0.902","0.052","0.6153","silent"
"4495.0","4820.0","0.097","0.82","0.083","-0.5653","silent"
"4824.0","4957.0","0.064","0.845","0.091","0.8968","silent"
"5100.0","5236.0","0.08","0.816","0.104","0.9195","silent"
"5238.0","5274.0","0.096","0.847","0.057","-0.8242","silent"
"5280.0","5298.0","0.032","0.927","0.04","0.3818","silent"
"5310.0","5580.0","0.092","0.825","0.083","-0.8479","silent"
"5585.0","5598.0","0.0","0.875","0.125","0.7506","silent"
"5600.0","5673.0","0.097","0.842","0.062","-0.9659","silent"
"5675.0","5810.0","0.128","0.783","0.089","-0.9757","silent"
"5983.0","6010.0","0.08","0.893","0.027","-0.5994","silent"
"6033.0","6093.0","0.096","0.807","0.097","-0.2023","silent"
"6148.0","6210.0","0.07","0.819","0.111","0.7805","silent"
"6390.0","6770.0","0.08","0.869","0.051","-0.9917","silent"
"6780.0","6810.0","0.09","0.85","0.059","-0.533","silent"
"6811.0","6840.0","0.014","0.869","0.117","0.8762","silent"
"106.0","116.0","0.081","0.776","0.143","0.5435","silent"
"120.0","159.0","0.114","0.804","0.082","-0.6876","silent"
"160.0","203.0","0.167","0.771","0.062","-0.9635","silent"
"204.0","225.0","0.096","0.83","0.074","-0.296","silent"
"227.0","231.0","0.099","0.901","0.0","-0.5574","silent"
"232.0","250.0","0.0","1.0","0.0","0.0","silent"
"251.0","282.0","0.078","0.848","0.073","0.0452","silent"
"283.0","318.0","0.099","0.751","0.15","0.7146","silent"
"319.0","370.0","0.109","0.834","0.057","-0.8816","silent"
"371.0","384.0","0.147","0.772","0.081","-0.2263","silent"
"385.0","408.0","0.122","0.878","0.0","-0.7783","silent"
"426.0","431.0","0.073","0.884","0.043","-0.3182","silent"
"432.0","444.0","0.111","0.889","0.0","-0.5216","silent"
"445.0","540.0","0.059","0.854","0.088","0.453","silent"
"545.0","570.0","0.204","0.773","0.023","-0.9305","silent"
"575.0","590.0","0.171","0.736","0.092","-0.7227","silent"
"592.0","595.0","0.0","1.0","0.0","0.0","silent"
"622.0","783.0","0.091","0.831","0.078","-0.8867","silent"
"784.0","795.0","0.0","0.627","0.373","0.9588","silent"
"796.0","808.0","0.035","0.887","0.078","0.6775","silent"
