"Scene Start","Scene End","Valence","Arousal","Dominance","Audio Level"
"15.0","40.0","5.945675675675675","5.29","5.727837837837837","medium"
"41.0","60.0","5.301428571428572","5.65","5.552380952380951","silent"
"61.0","72.0","6.017272727272727","4.33","5.6472727272727266","silent"
"73.0","565.0","5.649230769230769","7.14","5.57836032388664","medium"
"566.0","623.0","5.679821428571429","6.24","5.558928571428572","medium"
"624.0","660.0","5.856052631578947","6.75","5.731315789473684","medium"
"661.0","665.0","5.784285714285714","5.0","5.545714285714287","silent"
"666.0","670.0","5.061999999999999","6.74","5.24","silent"
"671.0","680.0","5.614583333333333","5.76","5.79375","silent"
"681.0","690.0","5.47","6.4","5.224615384615384","silent"
"710.0","750.0","6.1035416666666675","6.74","5.555625","silent"
"751.0","763.0","5.7128000000000005","6.29","5.3548","loud"
"766.0","787.0","5.714545454545454","6.0","5.574545454545454","silent"
"788.0","790.0","5.642","5.57","5.2780000000000005","medium"
"791.0","1020.0","5.960060606060606","7.6","5.707696969696969","silent"
"1021.0","1040.0","5.746666666666666","5.95","5.542857142857143","silent"
"1041.0","1110.0","5.524","6.86","5.460000000000001","silent"
"1111.0","1128.0","5.035555555555556","6.8","5.262962962962963","silent"
"1129.0","1160.0","5.661020408163265","5.95","5.302244897959183","silent"
"1164.0","1290.0","5.440984848484849","7.14","5.458787878787878","silent"
"1292.0","1320.0","5.985294117647059","4.57","5.724117647058823","silent"
"1321.0","1357.0","6.055","5.95","5.721428571428572","silent"
"1358.0","1440.0","5.791857142857142","6.8","5.564857142857142","silent"
"1475.0","1734.0","5.554652406417112","7.14","5.4748663101604285","medium"
"1735.0","1740.0","5.474666666666667","4.98","5.5326666666666675","silent"
"1741.0","1814.0","5.363205128205129","7.05","5.497820512820512","medium"
"1815.0","1817.0","5.48","3.59","5.57","silent"
"1818.0","1827.0","5.578947368421052","6.74","5.545263157894736","medium"
"1828.0","1895.0","5.601358024691358","6.05","5.394197530864197","silent"
"1897.0","1940.0","5.4888","5.62","5.500400000000002","silent"
"1945.0","1975.0","5.665555555555556","6.33","5.57","silent"
"1976.0","2040.0","5.887499999999999","6.81","5.346666666666667","silent"
"2082.0","2140.0","5.71857142857143","6.48","5.448163265306122","silent"
"2144.0","2196.0","5.543793103448277","5.85","5.557758620689655","silent"
"2197.0","2248.0","6.062676056338027","5.95","5.765492957746478","silent"
"2249.0","2285.0","5.697179487179489","7.74","5.314615384615385","silent"
"2310.0","2349.0","5.52264705882353","7.05","5.370294117647059","silent"
"2350.0","2360.0","5.3325","5.6","5.235833333333333","silent"
"2361.0","2385.0","5.649999999999999","5.23","5.614137931034483","silent"
"2386.0","2520.0","5.388888888888889","7.6","5.439583333333333","silent"
"2525.0","2570.0","5.627540983606558","6.74","5.651475409836068","silent"
"2575.0","2668.0","5.499753086419753","7.6","5.411481481481482","silent"
"2669.0","2710.0","5.6621428571428565","6.74","5.598571428571428","silent"
"2712.0","2875.0","5.319276315789473","7.14","5.399473684210527","medium"
"2877.0","2885.0","5.461","6.74","5.566","silent"
"2900.0","3008.0","5.529666666666667","7.05","5.5077333333333325","silent"
"3009.0","3062.0","5.904561403508771","7.14","5.652280701754386","silent"
"3063.0","3085.0","5.354791666666666","5.45","5.477083333333333","silent"
"3104.0","3120.0","4.997857142857144","4.57","5.057142857142857","silent"
"3130.0","3184.0","5.250249999999999","5.7","5.679250000000001","medium"
"3185.0","3264.0","5.676976744186048","6.3","5.640697674418604","silent"
"3275.0","3439.0","5.26264","7.6","5.217920000000001","silent"
"3495.0","3507.0","5.819791666666667","7.05","5.643125","silent"
"3509.0","3523.0","5.692181818181818","6.86","5.545090909090909","silent"
"3524.0","3545.0","5.620512820512819","7.6","5.4230769230769225","silent"
"3546.0","3623.0","5.731730769230769","6.26","5.515576923076923","silent"
"3624.0","3674.0","5.4803225806451605","6.35","5.328387096774194","silent"
"3675.0","3689.0","5.7245454545454555","7.05","5.575454545454544","silent"
"3690.0","3700.0","5.536666666666666","3.81","5.886666666666667","silent"
"3701.0","3759.0","5.766969696969697","5.69","5.594848484848486","silent"
"3760.0","3780.0","5.81344827586207","6.74","5.653793103448276","silent"
"3781.0","3845.0","5.631882352941176","6.35","5.422588235294117","silent"
"3848.0","3852.0","5.623333333333333","5.23","5.533333333333334","silent"
"3853.0","4005.0","5.389106145251397","7.05","5.561005586592179","medium"
"4006.0","4029.0","5.54875","6.71","5.7484375","medium"
"4030.0","4090.0","5.445","7.1","5.593333333333334","silent"
"4091.0","4118.0","5.948857142857143","6.95","5.796571428571429","silent"
"4121.0","4305.0","5.727647058823529","7.0","5.566117647058824","silent"
"4306.0","4403.0","5.55320987654321","7.6","5.632345679012346","silent"
"4404.0","4445.0","5.7354054054054044","6.08","5.658378378378378","silent"
"4446.0","4470.0","5.648571428571429","5.45","5.461428571428571","silent"
"4484.0","4521.0","5.980666666666666","5.36","5.868666666666668","silent"
"4522.0","4555.0","5.39825","6.13","5.332","silent"
"4556.0","4585.0","5.661538461538461","6.08","5.443076923076922","silent"
"4586.0","4685.0","5.89986301369863","7.14","5.678630136986301","medium"
"4686.0","4800.0","5.5573417721519","7.6","5.542278481012659","medium"
"4801.0","4825.0","5.398333333333333","5.76","5.450833333333333","medium"
"4830.0","4845.0","5.760769230769229","4.71","5.583846153846154","medium"
"4846.0","4880.0","5.524000000000001","5.7","5.416571428571429","medium"
"4890.0","4925.0","5.378421052631579","5.7","5.329473684210527","silent"
"4951.0","4970.0","5.424565217391304","7.14","5.562173913043478","silent"
"5010.0","5036.0","5.56103448275862","5.55","5.64551724137931","silent"
"5055.0","5070.0","4.9037500000000005","6.83","4.80125","silent"
"5100.0","5156.0","5.180000000000001","6.8","5.391538461538461","loud"
"5165.0","5245.0","5.439","6.81","5.446624999999999","silent"
"5246.0","5258.0","5.295333333333334","5.95","5.417333333333332","medium"
"5259.0","5303.0","5.459","7.74","5.585333333333335","silent"
"5304.0","5319.0","5.680769230769231","6.32","5.605384615384616","silent"
"5320.0","5389.0","5.318493150684931","7.74","5.476164383561644","loud"
"5390.0","5730.0","5.467904761904761","7.74","5.5132063492063486","medium"
"5731.0","5805.0","5.078775510204081","7.74","5.3887755102040815","silent"
"5806.0","5873.0","5.526093749999999","7.14","5.16","silent"
"5874.0","5985.0","4.956428571428572","7.74","5.234107142857143","medium"
"5986.0","6010.0","5.1242553191489355","7.74","5.417234042553191","medium"
"6026.0","6090.0","5.5291764705882365","7.74","5.4503529411764715","medium"
