"Scene Start","Scene End","Valence","Arousal","Dominance","Vader neg","Vader neu","Vader pos","Vader compound","Audio Level"
"40.0","90.0","5.863902439024391","3.7979674796747966","5.71869918699187","0.066","0.861","0.073","0.4122","silent"
"92.0","123.0","5.48108695652174","3.9332608695652165","5.3263043478260865","0.089","0.888","0.023","-0.9056","silent"
"124.0","172.0","5.643953488372094","3.767674418604651","5.366046511627907","0.103","0.873","0.024","-0.886","silent"
"173.0","202.0","4.702954545454546","4.5052272727272715","4.597954545454545","0.223","0.77","0.007","-0.9877","loud"
"203.0","205.0","5.35","3.7620000000000005","5.234","0.0","1.0","0.0","0.0","silent"
"206.0","225.0","6.088500000000001","3.469500000000001","5.693499999999999","0.0","0.873","0.127","0.783","silent"
"226.0","233.0","5.050833333333333","3.984166666666667","4.780833333333333","0.156","0.795","0.048","-0.5859","medium"
"234.0","240.0","5.532500000000001","3.8775000000000004","5.512500000000001","0.0","1.0","0.0","0.0","silent"
"241.0","326.0","5.388503937007875","3.937637795275591","5.461574803149606","0.086","0.857","0.057","-0.9365","medium"
"327.0","405.0","5.241415094339623","3.9224528301886794","5.282830188679245","0.063","0.912","0.025","-0.8798","medium"
"406.0","513.0","5.757444444444445","3.9474444444444443","5.511222222222223","0.035","0.897","0.068","0.8915","silent"
"514.0","580.0","5.95","4.125675675675675","5.910810810810811","0.035","0.781","0.183","0.9463","silent"
"581.0","716.0","5.915839416058394","3.8851094890510947","5.6220437956204385","0.041","0.893","0.066","0.935","medium"
"717.0","721.0","5.882857142857143","4.187142857142857","6.0","0.219","0.781","0.0","-0.6523","silent"
"722.0","724.0","5.45","3.5999999999999996","5.54","0.0","1.0","0.0","0.0","silent"
"725.0","774.0","5.668627450980392","3.7074509803921565","5.5792156862745115","0.065","0.846","0.089","0.6597","silent"
"775.0","1007.0","5.52320930232558","3.8326976744186045","5.379023255813955","0.09","0.833","0.077","-0.9392","silent"
"1008.0","1020.0","5.354545454545454","4.351818181818182","5.345454545454545","0.101","0.899","0.0","-0.5574","silent"
