"Scene Start","Scene End","Valence","Arousal","Dominance","Audio Energy"
"63","65","5.7","4.6000000000000005","5.043333333333333","0.082895807319083"
"66","67","7.42","3.745","6.67","0.08307430516647"
"67","69","4.875","4.285","4.9399999999999995","0.10946796475284301"
"71","73","5.635","3.5949999999999998","6.035","0.107680867768012"
"132","133","5.665","4.28","5.3100000000000005","0.165825072044002"
"133","134","5.55","5.35","5.869999999999999","0.12289498080771198"
"135","136","4.95","4.76","5.5","0.128569603827142"
"141","142","7.055","5.77","5.055","0.139747095352245"
"143","144","7.44","4.4","6.28","0.12507226716532502"
"149","152","5.9","5.56","5.0","0.16995989184237134"
"153","155","5.23","7.14","5.47","0.14677540294284352"
"157","159","5.95","3.76","5.88","0.1247351422425265"
"163","164","5.23","7.14","5.47","0.35869037563383505"
"233","235","5.42","4.36","5.44","0.34515397383081897"
"246","247","7.32","5.0","7.16","0.341399312550359"
"282","284","5.42","4.36","5.44","0.32779945158626"
"289","290","5.23","7.14","5.47","0.335456195708771"
"300","303","5.783333333333334","5.333333333333333","5.466666666666666","0.347844830871016"
"357","360","4.955","5.13","4.165","0.2957283832414213"
"419","422","3.9","4.52","4.56","0.07248444314778099"
"444","446","5.64","3.57","5.94","0.359915045733364"
"466","468","4.743333333333333","5.523333333333333","4.873333333333334","0.21582310304315"
"523","525","6.09","3.67","5.65","0.147626628512675"
"527","530","3.9266666666666663","4.416666666666667","4.503333333333333","0.14284678913576865"
"599","602","5.1","3.935","5.119999999999999","0.06367515942213932"
"606","610","5.4525","4.565","5.6175","0.078471509607456"
"613","615","7.73","4.57","5.72","0.09475109347769901"
"618","620","5.41","3.67","6.35","0.161753652925084"
"635","636","5.09","3.86","5.94","0.017048864605967"
"636","638","5.25","4.5","4.465","0.028693830067995495"
"660","664","5.003333333333333","4.176666666666667","4.99","0.06890122447032433"
"671","674","5.26","3.67","5.57","0.0260473425200685"
"674","676","5.05","4.67","3.82","0.011473666605975"
"677","680","5.06","2.9","4.22","0.013273300376430333"
"696","697","6.22","2.84","4.92","0.009740816124793002"
"697","699","5.3774999999999995","4.325","5.359999999999999","0.008847017429318501"
"699","700","3.8449999999999998","4.34","4.295","0.024051699462468"
"707","709","6.09","3.685","6.255","0.006211369414083999"
"712","713","4.575","5.39","4.57","0.004705231491356"
"714","715","3.5","4.52","3.5","0.00693319776052"
"715","718","5.95","3.76","5.88","0.008792435349503665"
"725","726","7.88","5.73","5.79","0.027865180106669"
"726","730","5.0200000000000005","4.366666666666666","5.413333333333334","0.029961180284922995"
"730","732","6.126666666666666","4.180000000000001","5.373333333333334","0.014427113998042"
"733","736","5.6025","4.285","5.51","0.009528892062214666"
"742","745","5.93","4.359999999999999","5.795","0.006985208044719335"
"746","748","5.965","4.1450000000000005","6.1674999999999995","0.007186098838264999"
"749","751","6.72","2.65","6.28","0.031770281400106"
"755","757","5.52","3.5949999999999998","5.984999999999999","0.027803558754438504"
"757","760","4.62","4.3149999999999995","4.825","0.016281059361394998"
"762","765","4.085","4.234999999999999","4.115","0.010305678366330666"
"765","768","5.463333333333334","4.27","6.0200000000000005","0.016807538023751335"
"768","769","6.41","4.81","5.5","0.032913828122073996"
"770","771","6.55","3.38","4.67","0.029872302301537004"
"776","779","5.95","3.0949999999999998","6.175","0.009667882839150332"
"780","783","5.545","3.5","5.535","0.009237138763552"
"790","792","4.305","4.76","4.6","0.015080502101871"
"792","793","4.583333333333333","4.526666666666666","5.006666666666667","0.016278563777203003"
"794","796","5.6","3.41","4.36","0.0166769260601145"
"820","822","6.295","3.74","5.805","0.168967555952933"
"838","839","5.585","3.2","5.83","0.082577140847202"
"839","840","5.243333333333333","4.29","5.196666666666666","0.049819303523180994"
"848","850","4.64","4.0","5.89","0.18096947813153097"
"852","855","4.21","5.826666666666667","4.346666666666667","0.20194188541227698"
"908","909","4.64","4.0","5.89","0.159208574718365"
"927","928","4.64","4.0","5.89","0.166149126267831"
"928","930","6.6850000000000005","4.93","6.415","0.15335480427791848"
"945","946","5.1","2.96","4.81","0.144100450615078"
"1071","1073","7.48","3.78","6.77","0.026501406592086003"
"1082","1084","6.82","3.24","5.78","0.017964342292373"
"1095","1097","5.34","3.59","6.245","0.014885771628071998"
"1097","1100","5.93","3.645","6.16","0.016116701697548"
"1104","1106","5.32","2.9","6.61","0.0106581220515275"
"1113","1115","4.0","4.39","4.84","0.020989242310329503"
"1116","1120","5.44","3.6199999999999997","5.853333333333333","0.03009398288583033"
"1123","1125","6.07","3.785","5.75","0.041227233932481996"
"1126","1127","3.32","4.14","4.74","0.046956302289073"
"1128","1129","5.67","4.12","6.62","0.025335209970619"
"1135","1136","5.476666666666667","4.066666666666666","5.609999999999999","0.089015672816235"
"1137","1139","5.824999999999999","3.81","5.4350000000000005","0.030087744582917"
"1140","1143","3.24","4.86","3.56","0.02345550964939767"
"1145","1146","6.05","4.86","5.67","0.042328778735545"
"1157","1159","7.73","4.57","5.72","0.028403610006812"
"1160","1163","6.68","3.57","5.22","0.05099805065544733"
"1188","1190","3.9","4.52","4.56","0.021416491377258505"
"1192","1195","3.955","5.925000000000001","4.245","0.024309221498769334"
"1200","1203","5.6850000000000005","3.3600000000000003","5.734999999999999","0.022349868276069666"
"1203","1205","7.48","4.0","7.05","0.016057620508607"
"1207","1209","6.18","3.43","5.94","0.017576926495411"
"1218","1219","5.09","3.87","5.11","0.008062431695439999"
"1223","1225","6.025","3.355","6.19","0.007744379914299"
"1258","1260","2.33","6.81","2.56","0.0202961426374505"
"1263","1265","6.2225","3.4475000000000002","6.155","0.0170444550448615"
"1267","1268","3.77","3.3","6.11","0.02638182532902"
"1269","1271","6.21","4.6","6.09","0.028631687382795"
"1271","1276","6.3149999999999995","4.165","5.955","0.01663783070619725"
"1276","1278","5.4","3.57","5.88","0.021252353798658"
"1279","1282","5.5","3.49","5.12","0.036487956828383995"
"1283","1284","5.199999999999999","3.9749999999999996","5.484999999999999","0.075664569298817"
"1287","1289","5.9325","4.7","5.529999999999999","0.0236479611916625"
"1291","1292","4.82","3.24","4.89","0.036696904584512004"
"1294","1296","6.62","4.665","6.63","0.039921975534662"
"1298","1299","5.885","3.21","5.275","0.037405799437536004"
"1303","1307","5.95","5.25","4.68","0.02743003671911533"
"1313","1314","7.44","4.4","6.28","0.031148152439284"
"1316","1319","5.6899999999999995","4.535","3.69","0.026608299713946668"
"1319","1323","6.183333333333334","3.6333333333333333","6.433333333333334","0.0281346712299765"
"1337","1338","6.82","3.24","5.78","0.03231417368067299"
"1343","1345","5.61","3.428","5.972","0.058686057413303"
"1349","1350","5.385","3.775","5.125","0.07610747595106401"
"1352","1353","5.575","3.37","5.609999999999999","0.067656310807673"
"1354","1358","5.626666666666666","3.5583333333333336","5.41","0.051267678252095"
"1402","1404","4.4366666666666665","4.12","5.1000000000000005","0.0153648937580825"
"1408","1410","5.5","3.43","5.53","0.012058029374494999"
"1419","1422","6.593333333333334","4.0633333333333335","6.183333333333334","0.0091273127629695"
"1526","1528","5.546","3.7520000000000002","5.109999999999999","0.0035818482774025"
"1529","1531","6.1850000000000005","4.045","6.1125","0.011668309868582999"
"1532","1534","3.58","4.72","4.21","0.0167545464878475"
"1538","1540","5.05","3.67","5.57","0.040355750183644"
"1547","1550","6.64","3.625","6.154999999999999","0.01304085659481"
