Scene ID,Scene Start,Scene End,Valence,Arousal,Dominance,Vader neg,Vader neu,Vader pos,Vader compound,Audio Energy,Spectral Centroid,mfcc1,mfcc2,mfcc3,mfcc4
sc1,40,112,5.44851851851852,4.4058024691358,5.31481481481482,0.091,0.848,0.061,-0.5282,0.12305424235892,1204.48976317638,-188.772686706513,150.218567349763,-7.72359806401693,35.3742119944778
sc2,112,129,4.94384615384615,3.97461538461538,5.35615384615385,0.17,0.83,0,-0.7783,0.219573757921149,1181.11075666697,-79.1018625787301,163.183031769744,-42.3728365341692,46.2972083874921
sc3,130,148,5.844,4.798,5.651,0.091,0.673,0.236,0.9221,0.164085159069368,1615.48658721406,-80.715531048042,132.803019347373,-19.3717041221689,31.7290095398064
sc5,148,163,5.28727272727273,4.05454545454545,5.45363636363636,0.141,0.805,0.054,-0.6041,0.145644785507462,2282.57930321363,-76.9288468385987,96.284957216012,-0.709061097941286,23.6391029871695
sc6,164,186,5.69176470588235,3.74470588235294,5.685,0.057,0.897,0.046,-0.4019,0.130391304889563,2031.38623080312,-116.257120055264,99.7742352136924,4.92739823375663,39.8718270846193
sc7,186,660,5.31523676880223,4.2574651810585,5.35768802228412,0.091,0.846,0.064,-0.9935,0.257633824075585,2360.35875352176,-26.2036833702752,95.2569645650987,-1.08309288564838,19.726871480699
sc8,661,684,5.6428125,3.740625,5.3871875,0.117,0.792,0.091,-0.6486,0.022721794556619,3198.09019209602,-275.687262444834,63.2893187480537,1.18350377160293,21.5052758999544
sc9,685,751,5.42619047619048,4.12583333333333,5.3977380952381,0.105,0.844,0.051,-0.9356,0.009277430274948,2452.04170428706,-391.870388438292,95.4258697659087,-4.75942791840435,21.2976975959147
sc10,752,915,5.1766081871345,4.03573099415205,5.31473684210526,0.09,0.862,0.048,-0.9841,0.108397002468874,2282.61463420733,-218.914397663422,99.8895395428319,4.24298871681808,21.8860544019065
sc11,915,991,5.425,4.04138888888889,5.42,0.092,0.833,0.075,-0.5938,0.143236155158112,1623.27261315033,-156.001268948918,139.851491407281,2.83046396946068,16.8972646892231
sc13,992,1017,4.85333333333333,3.39666666666667,5.24333333333333,0,1,0,0,0.087272206819773,602.166883099251,-295.872632370678,202.234116674809,6.21777121037687,45.7381561447496
sc14,1018,1024,5.37846153846154,4.16769230769231,5.39846153846154,0,0.924,0.076,0.34,0.198353566015854,1993.27763961021,-43.0357667045712,104.737519639355,5.65405061974452,33.705524834998
sc15,1025,1034,5.86666666666667,3.76,5.47666666666667,0,0.779,0.221,0.6249,0.131097268035041,1564.29460474588,-122.541406101999,132.988363757836,-5.9370902034116,28.3274334833926
sc16,1035,1044,4.98384615384615,3.67615384615385,5.28692307692308,0.112,0.888,0,-0.5267,0.129480286650478,1421.87637294034,-113.714381563724,137.504698576308,-8.22588442481891,32.7435974733375
sc17,1045,1058,5.50625,4.58,5.73625,0,0.948,0.052,0.2023,0.096877403818468,2569.77373383483,-112.280262928484,92.917212326403,-0.744211246288869,25.6740833730811
sc18,1059,1169,5.08692913385827,4.08086614173228,5.36102362204724,0.067,0.898,0.036,-0.9364,0.027690502709984,2792.47590455754,-238.966305161358,82.040798454846,-7.03285617325815,23.5133928081887
sc19,1170,1368,5.39635294117647,4.06011764705882,5.40952941176471,0.104,0.814,0.082,-0.968,0.030922506092223,1639.74068485313,-382.250323215311,105.751950412667,20.2975785388824,41.7150359358258
sc67,1369,1402,5.51514285714286,3.808,5.47257142857143,0,0.976,0.024,0.3612,0.015740764617025,1825.72689721524,-347.484092699482,121.04624277978,9.71031749459293,30.3663184170081
sc68,1403,1424,5.65136363636364,3.65704545454545,5.66977272727273,0.03,0.924,0.046,0.4404,0.00942365119529,2764.78512015572,-387.567991335816,73.9043840907968,-1.37384220639456,32.3108528452559
sc20,1424,1530,5.55741935483871,3.73645161290323,5.27903225806452,0.098,0.829,0.073,-0.2748,0.013060256032063,1484.20346604678,-406.302959300802,147.872487979131,-4.76381308724044,14.9945362124124
sc21,1530,1622,5.03384615384616,3.96288461538462,5.35153846153846,0.106,0.845,0.049,-0.9231,0.056226032110241,2076.03669631793,-230.042438724102,112.284711911308,12.0637402530891,28.7027993550437
sc22,1623,1647,5.47257731958763,4.12618556701031,5.35938144329897,0.071,0.844,0.084,0.8162,0.039427397848359,2169.4317410724,-244.621904799116,105.381272782277,-2.65890333218467,26.5186884635428
sc23,1648,1864,5.39710526315789,4.19480263157895,5.42618421052632,0.119,0.824,0.057,-0.9871,0.057542965942254,1820.91776457413,-252.600106376458,122.338595705548,0.678825502030453,30.963254221868
sc24,1865,1984,5.57645161290323,4.02064516129032,5.51032258064516,0.073,0.865,0.061,-0.2844,0.031264961451162,2367.09232009318,-320.232284295041,88.4880946327901,6.01137428675862,33.254667571662
