Scene ID,Scene Start,Scene End,Valence,Arousal,Dominance,Vader neg,Vader neu,Vader pos,Vader compound,Audio Energy,Spectral Centroid,mfcc1,mfcc2,mfcc3,mfcc4
sc4,106,116,5.508,4.11933333333333,5.442,0.081,0.776,0.143,0.5435,0.097265815174509,2601.54709233108,-88.786824078663,85.058451592459,5.21428378054484,24.8379339331697
sc5,120,159,5.4337037037037,3.76259259259259,5.2537037037037,0.114,0.804,0.082,-0.6876,0.092331097147812,2523.01066097426,-114.722043065573,90.4301800661272,18.0011927355852,19.451214789324
sc6,160,203,5.21742857142857,4.01685714285714,5.18514285714286,0.167,0.771,0.062,-0.9635,0.075674878552178,2483.37643323623,-127.283481518114,88.5256250227418,0.222901774691927,19.9090933190422
sc7,204,225,5.1005,4.1325,5.3825,0.096,0.83,0.074,-0.296,0.073870245132543,1960.1597565108,-157.147323764639,109.609685440407,7.58988754384468,21.2972934854541
sc8,227,231,5.81133333333333,3.66933333333333,5.83533333333333,0.099,0.901,0,-0.5574,0.04801292004425,2564.4545446364,-167.250120479677,86.7923229204816,11.0090157884727,18.9557187268025
sc9,232,250,5.62181818181818,3.97909090909091,5.81727272727273,0,1,0,0,0.125206190890296,1946.01558181735,-81.9340063342407,111.817531235855,-4.77486437515432,23.7370269346301
sc10,251,282,5.47104166666667,3.999375,5.44,0.078,0.848,0.073,0.0452,0.049495919942895,1815.64748375102,-209.414990707696,118.747241043988,-2.48858586896649,20.4061743421018
sc11,283,318,5.55290322580645,4.09483870967742,5.63032258064516,0.099,0.751,0.15,0.7146,0.084958557351033,1969.12873968632,-140.765470887941,109.795667381357,1.75961134910916,22.4621566061133
sc13,319,370,5.58293103448276,4.00637931034483,5.50862068965517,0.109,0.834,0.057,-0.8816,0.141879764025805,2553.5567011834,-63.6899168590898,88.5961466219086,0.489816759508536,17.5860779805826
sc14,371,384,5.61909090909091,4.22090909090909,5.23090909090909,0.147,0.772,0.081,-0.2263,0.214446309700736,1620.29259248887,-49.0806856293403,131.495467336275,-9.60455557347692,23.0769993483802
sc15,385,408,4.73357142857143,4.41714285714286,5.17214285714286,0.122,0.878,0,-0.7783,0.213682253681325,534.881567624922,-277.378382745628,165.179838407125,30.3583854818988,30.9750653745324
sc17,426,431,5.36181818181818,4.35454545454545,5.38545454545455,0.073,0.884,0.043,-0.3182,0.086074016743129,2087.96292616841,-122.815754162831,104.350223740382,3.8321519195131,25.1470085906084
sc18,432,444,5.759,4.24,5.625,0.111,0.889,0,-0.5216,0.06067319147798,2434.57037092089,-178.642794488428,83.6953199844306,17.1296603887895,29.4701502315687
sc19,445,540,5.26,4.35344262295082,5.11196721311475,0.059,0.854,0.088,0.453,0.197416169793907,2402.07762436931,-31.3784657765258,90.9980316406093,-8.5612898521124,22.5794099823354
sc20,545,570,5.47714285714286,4.07857142857143,5.16857142857143,0.204,0.773,0.023,-0.9305,0.180457507605341,2163.97922254948,-39.1865612368304,104.089267946628,-8.29677973527065,18.5455388206004
sc21,575,590,5.38833333333333,3.78416666666667,4.97666666666667,0.171,0.736,0.092,-0.7227,0.055547661624961,2139.43251541738,-170.832017466391,98.5326930490873,7.38629290047572,31.2807041661108
sc22,592,595,5.05833333333333,3.64333333333333,4.89333333333333,0,1,0,0,0.049249580759134,2654.95111492915,-156.494746282472,82.9665143249823,3.42950295563479,23.0740237000802
sc23,622,783,5.59651376146789,4.15688073394495,5.47862385321101,0.091,0.831,0.078,-0.8867,0.064320939759271,1941.37224832874,-238.562240721868,101.124293091378,4.43580075746656,31.9558590850495
sc24,784,795,6.18285714285714,4.42857142857143,5.59142857142857,0,0.627,0.373,0.9588,0.038781241796875,1801.6158839603,-224.929283684799,120.38673827917,-1.72597036215346,22.1191788099677
sc25,796,808,5.968,3.918,5.6064,0.035,0.887,0.078,0.6775,0.028040743641228,2287.09092238057,-271.512354910978,102.569876449693,1.33127264545554,17.7342288262674
sc26,809,879,5.599375,4.1990625,5.384375,0.104,0.75,0.146,0.7156,0.209371023562436,1242.46425810691,-123.140584929722,141.018630333889,3.25942328776965,28.5228186494269
sc28,884,890,5.56769230769231,4.21384615384615,5.53384615384616,0,0.837,0.163,0.5994,0.032292586209956,534.609485518219,-395.572757524818,225.299106861857,24.5776854435725,-1.13444490786192
sc29,891,960,5.40735294117647,3.57617647058824,5.31323529411765,0.154,0.833,0.013,-0.9008,0.054977011961314,1088.97798871551,-277.285891852018,164.38300332208,9.05465870055291,32.1914761350223
sc33,961,1042,5.26230769230769,4.0425,5.38903846153846,0.03,0.925,0.046,0.4168,0.048846415042374,1255.45506342308,-283.239073137293,137.186391349668,19.907768440431,33.0393426491166
sc34,1043,1062,5.76142857142857,3.50928571428571,5.31214285714286,0.032,0.895,0.073,0.5267,0.041324059397805,2103.94352538728,-349.009120699463,112.508334517384,5.25494103298444,16.8303516842899
sc35,1064,1107,5.449,3.77033333333333,5.392,0.101,0.899,0,-0.8516,0.007481320053618,1989.72028555769,-427.714780960781,105.320229464046,5.66201281516387,21.8164386189518
sc36,1108,1159,5.64530612244898,3.86979591836735,5.53510204081633,0.013,0.929,0.058,0.7599,0.024361078300604,2206.26144517874,-316.3270210202,105.665656775406,-3.16600767246666,18.0970980435423
sc37,1160,1164,5.41285714285714,3.89428571428571,5.51571428571429,0,1,0,0,0.056218192734463,1669.25060524075,-236.137004345041,119.033212438921,-26.2472560953203,35.8910039551263
sc38,1165,1197,5.39612903225807,4.06870967741935,5.44612903225807,0.066,0.906,0.028,-0.5575,0.041018542207555,2126.7688571254,-243.867662733879,103.833644078709,-1.26438579368117,18.9709904284418
sc39,1198,1202,4.78666666666667,3.59333333333333,5.21,0,1,0,0,0.054236894611608,2157.85807189182,-170.234541148673,104.099400665984,-4.5751325817239,13.2340880752575
sc40,1203,1230,5.03384615384615,3.77576923076923,5.27923076923077,0.092,0.767,0.141,0.4404,0.043362601056455,1080.33666937575,-323.169787845639,162.964453220856,7.09760356855996,21.8145283201229
sc43,1245,1257,5.90176470588235,4.08,5.63588235294118,0.086,0.745,0.169,0.5719,0.025665557948125,1169.85710187687,-335.278497903054,144.521632190151,-10.9037922207492,27.7287476058535
sc44,1258,1366,5.67008547008547,3.88,5.51102564102564,0.024,0.865,0.11,0.9883,0.018778447887508,1780.9962554158,-357.353452906459,124.273583469757,-4.83503419763995,23.4610494965568
sc45,1367,1470,5.47563829787234,4.02106382978723,5.45446808510638,0.052,0.877,0.07,0.5256,0.042412030713499,1863.64291338465,-279.817696842744,115.099976720144,14.7503897733093,25.2643207933655
sc46,1471,1589,5.8065,4.04878571428571,5.63621428571429,0.068,0.852,0.079,0.7871,0.025681679837726,1780.18168234428,-324.803409558777,118.497143620358,-5.54900873761998,29.2651308811011
sc47,1590,1610,5.0359375,3.9965625,5.2740625,0.099,0.827,0.074,-0.1197,0.094773518904276,1584.78734201841,-148.453331328886,131.708948288958,-9.17833314609796,33.6169177002049
sc50,1614,1647,5.40016129032258,4.07193548387097,5.38758064516129,0.071,0.854,0.074,0.1531,0.063010027773547,1408.6872014562,-216.500799130701,137.42468738873,-4.55517844052883,33.5314252330796
sc51,1648,1691,5.32,3.51620689655172,5.62172413793104,0.065,0.83,0.105,0.6808,0.111340887493338,1548.1636432997,-123.076768209812,134.118817580399,-14.5591218919109,30.9970879845478
sc52,1692,1711,5.34088235294118,4.03352941176471,5.39911764705882,0.107,0.832,0.061,-0.6854,0.035297843042354,1585.76637760504,-285.638848093806,131.175129522557,7.76858367865289,25.7827425373654
sc53,1712,1770,5.65716981132075,3.90698113207547,5.50471698113208,0.088,0.868,0.044,-0.8619,0.03134406435834,1908.41612191576,-287.308122773395,110.615708120777,9.45725673479394,31.8658562049498
sc54,1771,1847,5.42045454545455,4.22977272727273,5.28113636363636,0.094,0.877,0.03,-0.8458,0.041055629624733,1240.61941872974,-336.182503836118,147.076060595717,9.69994479094383,31.9521023050194
sc55,1847,1851,5.59777777777778,3.37666666666667,4.93333333333333,0,1,0,0,0.125996082183369,997.029607918064,-267.838461990762,131.051876673964,13.5544022080735,44.4605518277535
sc56,1852,1900,5.03423076923077,4.49307692307692,5.31346153846154,0.079,0.889,0.032,-0.7879,0.127907278908612,1913.03811739542,-153.618854066422,103.196927544798,-3.30962201436873,35.9580562067541
sc60,1879,1944,4.92833333333333,5.00666666666667,5.24,0.073,0.824,0.103,0.2441,0.094701535112644,1593.62194584726,-233.781192144309,118.360389501715,-2.82295473791155,30.6700934507271
sc57,1901,1915,6.03636363636364,4.15636363636364,5.60818181818182,0.092,0.771,0.137,0.4404,0.040678455091198,1545.80655410176,-298.910150520989,126.655815040824,0.800143461186151,27.2508290311306
sc59,1916,1938,4.81764705882353,4.23941176470588,5.33117647058824,0.229,0.771,0,-0.9541,0.081543443615539,906.183141679193,-327.987194384454,140.72174744803,-2.90635266189938,31.6343175066986
sc61,1945,1960,5.05,4.236,5.472,0.133,0.867,0,-0.4153,0.219560430249176,2384.73314592342,-23.4961230008525,89.6822075087237,-1.14780965085524,25.7222277622983
sc62,1962,2002,5.63157894736842,4.05877192982456,5.57789473684211,0.073,0.872,0.054,-0.3649,0.080913471947156,2133.01843908019,-210.399976965834,94.9483886815536,11.7072848379213,32.63909325277
sc63,2003,2060,5.10317073170732,4.48975609756098,5.27817073170732,0.121,0.795,0.084,-0.9301,0.154285535485563,1978.81810787356,-135.090524033726,91.2020310211713,-7.69242499159868,35.4006767853515
sc64,2063,2065,4.81125,4.25625,4.92,0,1,0,0,0.220626949325554,2203.51356364531,-50.7402876863022,91.3553569812048,0.980049928398181,38.2600339324716
sc65,2069,2116,5.27618181818182,3.98145454545455,5.30890909090909,0.134,0.808,0.058,-0.9283,0.194977151147853,1818.40922536396,-65.0925261117711,115.071849188684,-9.89563413483826,27.2942520715781
sc66,2119,2167,4.98814814814815,4.23888888888889,5.17296296296296,0.126,0.773,0.101,-0.5411,0.12198485178086,1818.5455021399,-110.739207747153,123.457312610005,-23.7776316265252,18.7923073564226
sc67,2168,2180,4.84857142857143,3.78857142857143,5.15714285714286,0,1,0,0,0.016892914863739,1913.93281493156,-283.431147240929,124.283111052292,-4.3202710878268,7.81907211417924
