Movie,hv,mv,lv,ha,ma,la,hd,md,ld,Genre
10-things-i-hate-about-you,0.291581108829569,0.630390143737166,0.078028747433265,0.052156057494867,0.93429158110883,0.013552361396304,0.092813141683778,0.867556468172485,0.039630390143737,Romance
12-and-holding,0.281642415786326,0.632051026509866,0.086306557703807,0.041459039266494,0.946182977875224,0.012357982858282,0.098664540562089,0.853697428742276,0.047638030695635,Drama
12-monkeys,0.245382585751979,0.667106420404573,0.087510993843448,0.041996481970097,0.944700967458223,0.01330255057168,0.087071240105541,0.851363236587511,0.061565523306948,Sci-Fi
12-years-a-slave,0.253541590991645,0.657222424022279,0.089235984986076,0.051095774306817,0.925293619082213,0.02361060661097,0.105218549461194,0.833514953384187,0.061266497154619,Drama
127-hours,0.231944697107513,0.711660905948699,0.056394396943788,0.034746225213753,0.949063125341095,0.016190649445152,0.068764780789522,0.8930325632163,0.038202655994179,Drama
1492-conquest-of-paradise,0.261817016503765,0.67280884473642,0.065374138759814,0.046146450889281,0.936067937830476,0.017785611280244,0.097580515942958,0.860439032206377,0.041980451850665,Drama
15-minutes,0.237740348785214,0.660157996720823,0.102101654493963,0.073781487554032,0.909375465792219,0.016843046653749,0.079743627962439,0.857057683708451,0.06319868832911,Crime
17-again,0.301504387797743,0.620977852068533,0.077517760133723,0.038027580442959,0.941078144588383,0.020894274968659,0.091099038863352,0.87024655244463,0.038654408692018,Drama
187,0.233480176211454,0.6856093979442,0.080910425844347,0.039794419970632,0.934801762114538,0.025403817914831,0.090308370044053,0.863436123348018,0.04625550660793,Drama
2012,0.254588105422934,0.692010487098109,0.053401407478957,0.036290878984407,0.949772319580516,0.013936801435077,0.089830274596385,0.875258727749414,0.034910997654202,Drama
30-minutes-or-less,0.218364611260054,0.699597855227882,0.082037533512064,0.080026809651475,0.907372654155496,0.01260053619303,0.158310991957105,0.791689008042895,0.05,Comedy
42,0.243089640919659,0.700206664944459,0.056703694135882,0.028287264272798,0.960087832601395,0.011624903125807,0.087186773443555,0.881296822526479,0.031516404029967,Drama
44-inch-chest,0.27890625,0.6162109375,0.1048828125,0.0537109375,0.935546875,0.0107421875,0.09921875,0.8466796875,0.0541015625,Drama
50-50,0.304720309087855,0.587266924239879,0.108012766672266,0.037460104149169,0.948597345876029,0.013942549974803,0.103141273307576,0.828993784646397,0.067864942046027,Comedy
500-days-of-summer,0.393962699480869,0.544510671024803,0.061526629494328,0.035762353393578,0.950586425687368,0.013651220919054,0.201307440876754,0.762545664295328,0.036146894827918,Romance
8mm,0.230212765957447,0.697446808510638,0.072340425531915,0.044042553191489,0.934574468085106,0.021382978723404,0.078723404255319,0.881063829787234,0.040212765957447,Mystery
a-dry-white-season,0.261354930502353,0.652292875123126,0.086352194374521,0.039400240779249,0.946262449381635,0.014337309839116,0.100908394440188,0.842617927109555,0.056473678450257,Drama
a-few-good-men,0.198009564430658,0.730386454698203,0.071603980871139,0.026237559777692,0.96238852268321,0.011373917539098,0.105984231614321,0.843220886648572,0.050794881737107,Drama
a-most-violent-year,0.250565355042967,0.681139755766621,0.068294889190412,0.037991858887381,0.94331373435851,0.018694406754108,0.102517714458013,0.862656414895221,0.034825870646766,Action
a-nightmare-on-elm-street,0.26947339550192,0.636725178277565,0.093801426220516,0.049917718047175,0.931980252331322,0.018102029621503,0.082144816236972,0.849286889742183,0.068568294020845,Mystery
a-perfect-world,0.212648407194075,0.716233689902433,0.071117902903491,0.035735276830845,0.946397084753732,0.017867638415423,0.07417420947455,0.883272599036088,0.042553191489362,Crime
a-serious-man,0.247899910634495,0.698302055406613,0.053798033958892,0.020554066130474,0.9562109025916,0.023235031277927,0.089544235924933,0.879535299374441,0.030920464700626,Comedy
a-walk-to-remember,0.301771871539313,0.633813215208564,0.064414913252123,0.028423772609819,0.935954226651901,0.03562200073828,0.097268364710225,0.870062753783684,0.032668881506091,Drama
above-the-law,0.205268935236004,0.702402732040493,0.092328332723503,0.05281131845347,0.932918648615685,0.014270032930845,0.069520673252836,0.871447737528967,0.059031589218197,Action
absolute-power,0.279042615294804,0.650467016929364,0.070490367775832,0.045096322241681,0.938266199649737,0.016637478108582,0.097197898423818,0.860186806771745,0.042615294804437,Thriller
adaptation,0.332696506550218,0.594022925764192,0.07328056768559,0.041075327510917,0.942412663755458,0.016512008733625,0.095524017467249,0.857259825327511,0.04721615720524,Comedy
affliction,0.253572975313989,0.657860545690775,0.088566478995236,0.051320918146384,0.933521004763967,0.015158077089649,0.069294066695539,0.877869207449112,0.052836725855349,Drama
after-school-specia,0.254678951914771,0.700115174200979,0.04520587388425,0.038727325079182,0.95090699683271,0.010365678088108,0.085084940973222,0.89375179959689,0.021163259429888,Comedy
after.life,0.254039646843245,0.623688155922039,0.122272197234716,0.031317674496085,0.946693320006663,0.021989005497251,0.100782941862402,0.809262035648842,0.089955022488756,Thriller
airplane-2-the-sequel,0.208268879201238,0.709464210378287,0.082266910420475,0.03459429053579,0.945436647447616,0.019969062016594,0.078188721698777,0.870904232878639,0.050907045422585,Comedy
airplane,0.260745440126883,0.649801744647106,0.089452815226011,0.033782712133228,0.94385408406027,0.022363203806503,0.074702616970658,0.895003965107058,0.030293417922284,Comedy
ali,0.244444444444444,0.684807256235828,0.070748299319728,0.044784580498866,0.935260770975057,0.019954648526077,0.086394557823129,0.872675736961451,0.04092970521542,Drama
alien-3,0.211792828685259,0.697370517928287,0.090836653386454,0.033147410358566,0.941513944223108,0.025338645418327,0.063266932270916,0.86804780876494,0.068685258964144,Thriller
alien-nation,0.213890857547838,0.713536498936924,0.072572643515237,0.049893692416726,0.933947554925585,0.01615875265769,0.07512402551382,0.859107016300496,0.065768958185684,Sci-Fi
alien-resurrection,0.173036942267712,0.740604509835279,0.08635854789701,0.062689908843755,0.922597153366384,0.014712937789861,0.063649448264833,0.873660642891412,0.062689908843755,Action
alien-vs.-predator,0.159394479073909,0.740491031675359,0.100114489250731,0.039307976084468,0.945045159648899,0.015646864266633,0.071619386846457,0.856634016028495,0.071746597125048,Sci-Fi
aliens,0.171788906575242,0.743602301946859,0.084608791477899,0.05375290804457,0.928860046528713,0.017387045426717,0.079098812293376,0.865556507897637,0.055344679808987,Thriller
all-about-steve,0.289805097451274,0.625937031484258,0.084257871064468,0.035982008995502,0.943628185907046,0.020389805097451,0.083958020989505,0.864767616191904,0.051274362818591,Comedy
all-the-king's-men,0.249317561419472,0.677130724901426,0.073551713679102,0.022292993630573,0.969821049438884,0.007885956930543,0.094328177130725,0.841522596299666,0.064149226569609,Drama
alone-in-the-dark,0.16080012405024,0.758102031322686,0.081097844627074,0.054737168553264,0.914405334160335,0.030857497286401,0.071639013800589,0.88044658086525,0.04791440533416,Action
amadeus,0.295211672831895,0.622071516646116,0.082716810521989,0.030928894369092,0.95561035758323,0.013460748047678,0.108096999588985,0.853986847513358,0.037916152897657,Drama
amelia,0.286439244431914,0.657457005920496,0.05610374964759,0.032139836481534,0.9543276007894,0.013532562729067,0.113335212855935,0.857908091344798,0.028756695799267,Drama
american-beauty,0.312221231043711,0.612310437109723,0.075468331846566,0.03871543264942,0.947190008920606,0.014094558429973,0.096877787689563,0.868510258697591,0.034611953612846,Drama
american-gangster,0.252880533656762,0.671801091570649,0.07531837477259,0.049241964827168,0.940084899939357,0.010673135233475,0.07495451788963,0.875318374772589,0.049727107337781,Crime
american-hustle,0.290168745414527,0.633773538762534,0.07605771582294,0.054292002934703,0.935191978478846,0.010516018586452,0.089386157984837,0.870873074101247,0.039740767913915,Drama
american-madness,0.219013771657041,0.688582852065749,0.09240337627721,0.076114319561676,0.902561824374352,0.021323856063972,0.084703094920776,0.849696431215756,0.065600473863468,Drama
american-psycho,0.253666485605649,0.668658337859859,0.077675176534492,0.042730400144849,0.922868006518197,0.034401593336955,0.091254752851711,0.8647474198805,0.043997827267789,Horror
american-shaolin-king-of-kickboxers-ii,0.216050244242847,0.714445219818562,0.06950453593859,0.049406838799721,0.926168876482903,0.024424284717376,0.078995115143057,0.874808094905792,0.046196789951152,Action
american-sniper,0.219315589353612,0.689733840304182,0.090950570342205,0.059163498098859,0.923498098859315,0.017338403041825,0.077414448669202,0.870266159695817,0.052319391634981,Action
american-splendor,0.302578495000877,0.617260129801789,0.080161375197334,0.030520961234871,0.952289072092615,0.017189966672514,0.094369408875636,0.861603227503947,0.044027363620418,Comedy
american-werewolf-in-london,0.26015037593985,0.634156820622986,0.105692803437164,0.059076262083781,0.91750805585392,0.023415682062299,0.089795918367347,0.841460794844254,0.0687432867884,Romance
amour,0.278143876990664,0.663646348160351,0.058209774848984,0.023064250411862,0.942339373970346,0.034596375617793,0.130148270181219,0.839648544755629,0.030203185063152,Romance
an-education,0.330573951434879,0.61019131714496,0.059234731420162,0.028145695364239,0.959896983075791,0.011957321559971,0.107247976453274,0.867549668874172,0.025202354672553,Drama
analyze-that,0.262295081967213,0.653228504516561,0.084476413516226,0.056875209100034,0.933255269320843,0.009869521579123,0.085145533623285,0.868852459016393,0.046002007360321,Crime
analyze-this,0.287972620599739,0.623207301173403,0.088820078226858,0.05003259452412,0.935625814863103,0.014341590612777,0.086049543676662,0.863428943937418,0.050521512385919,Comedy
angel-eyes,0.290511147362697,0.630913539967374,0.078575312669929,0.042550299075585,0.942088091353997,0.015361609570419,0.093121261555193,0.855628058727569,0.051250679717238,Drama
anna-karenina,0.291579969482591,0.65029823831322,0.058121792204189,0.025384935497295,0.954362602302677,0.020252462200028,0.099459009571369,0.867804133721737,0.032736856706894,Drama
annie-hall,0.341696535244922,0.568299482277977,0.090003982477101,0.033187309172972,0.956590999601752,0.010221691225276,0.10049117217576,0.852382848798619,0.047125979025621,Comedy
anonymous,0.245977984758679,0.677956534010725,0.076065481230596,0.039373412362405,0.948772226926334,0.011854360711262,0.103584532881739,0.850691504374823,0.045723962743438,Thriller
antitrust,0.258367586611861,0.682472108044627,0.059160305343512,0.026130358191427,0.959189665296536,0.014679976512038,0.10173223722842,0.863623018203171,0.034644744568409,Crime
antz,0.234191103131857,0.665868741272691,0.099940155595452,0.05705166566926,0.92818671454219,0.01476161978855,0.077797725912627,0.862557350887692,0.059644923199681,Comedy
apocalypse-now,0.212209641648185,0.69079024162484,0.097000116726976,0.081708882922844,0.904283880004669,0.014007237072488,0.089529590288316,0.839500408544415,0.07097000116727,Action
april-fool's-day,0.230918186219138,0.664353719541714,0.104728094239148,0.026787155075036,0.963046635468775,0.010166209456189,0.079554623204777,0.840083911570114,0.080361465225109,Mystery
arbitrage,0.263825136612022,0.663825136612022,0.072349726775956,0.038032786885246,0.946885245901639,0.015081967213115,0.100983606557377,0.852021857923497,0.046994535519126,Thriller
argo,0.22673031026253,0.724264120922832,0.049005568814638,0.037708830548926,0.940175019888624,0.02211614956245,0.065234685759746,0.901352426412092,0.033412887828162,Drama
armageddon,0.206610631531122,0.731940027260336,0.061449341208542,0.050318037255793,0.940935938209905,0.008746024534303,0.077010449795548,0.851090413448432,0.07189913675602,Sci-Fi
army-of-darkness,0.174259177355153,0.69969040247678,0.126050420168067,0.072534276868642,0.906236178681999,0.021229544449359,0.047324192835029,0.863555948695267,0.089119858469704,Comedy
arthur,0.296211998049098,0.625589335067469,0.078198666883434,0.047309380588522,0.939522028938384,0.013168590473094,0.100959193627053,0.852544301739555,0.046496504633393,Comedy
as-good-as-it-gets,0.302220680083275,0.621963913948647,0.075815405968078,0.045975017349063,0.943442054129077,0.01058292852186,0.10322692574601,0.851145038167939,0.045628036086051,Drama
assassins,0.250843102617633,0.681548096996949,0.067608800385418,0.058936887746909,0.924522241850008,0.016540870403083,0.080456078368396,0.881483860607034,0.038060061024571,Thriller
august-osage-county,0.275438596491228,0.628475033738192,0.09608636977058,0.028205128205128,0.937381916329285,0.034412955465587,0.09055330634278,0.869095816464237,0.040350877192983,Drama
austin-powers---international-man-of-mystery,0.234360410830999,0.669156551509493,0.096483037659508,0.042639277933396,0.942421413009648,0.014939309056956,0.08901338313103,0.838624338624339,0.072362278244631,Action
austin-powers---the-spy-who-shagged-me,0.248897512788852,0.62180278708767,0.129299700123479,0.049038631151879,0.943552654789204,0.007408714058917,0.084671017816193,0.814782148527077,0.10054683365673,Action
authors-anonymous,0.331008583690987,0.630543633762518,0.038447782546495,0.025929899856939,0.955293276108727,0.018776824034335,0.121959942775393,0.857296137339056,0.020743919885551,Comedy
autumn-in-new-york,0.322264998395893,0.600417067693295,0.077317933910812,0.038498556304139,0.945781199871671,0.01572024382419,0.116939364773821,0.844241257619506,0.038819377606673,Drama
avatar,0.233153347732181,0.68390928725702,0.082937365010799,0.053455723542117,0.930129589632829,0.016414686825054,0.078509719222462,0.872894168466523,0.048596112311015,Action
babel,0.249961306299334,0.657328586906052,0.092710106794614,0.061290821854202,0.92431512149822,0.014394056647578,0.068565237579322,0.871691688593097,0.059743073827581,Drama
bachelor-party,0.309267965077233,0.630456682337139,0.060275352585628,0.051040967092008,0.934855607790463,0.014103425117529,0.107790463398254,0.862155809267965,0.030053727333781,Comedy
backdraft,0.206717676047205,0.705745039553884,0.087537284398911,0.069381403190248,0.915186097782389,0.015432499027364,0.069381403190248,0.880430553754377,0.050188043055376,Action
bad-boys,0.259568545581072,0.650104384133612,0.090327070285317,0.057202505219207,0.928044537230341,0.014752957550452,0.080167014613779,0.855949895615866,0.063883089770355,Comedy
bad-country,0.186018957345972,0.723045023696682,0.090936018957346,0.051392180094787,0.923874407582938,0.024733412322275,0.065462085308057,0.872778436018957,0.061759478672986,Drama
bad-day-at-black-rock,0.191821808510638,0.716921542553192,0.09125664893617,0.040226063829787,0.939162234042553,0.02061170212766,0.07529920212766,0.870345744680851,0.054355053191489,Drama
