Movie,Vader Compound,Vader Neg,Vader Pos,Vader Neu,Genre
10-things-i-hate-about-you,1,0.086,0.138,0.776,Romance
12-and-holding,-0.9996,0.118,0.109,0.773,Drama
12-monkeys,-0.9999,0.105,0.093,0.801,Thriller
12-years-a-slave,0.9988,0.11,0.114,0.777,Drama
127-hours,0.9999,0.09,0.108,0.803,Drama
1492-conquest-of-paradise,0.9999,0.096,0.112,0.791,Adventure
15-minutes,-1,0.121,0.095,0.784,Action
17-again,1,0.097,0.124,0.779,Comedy
187,-0.9999,0.102,0.083,0.815,Drama
2012,0.999,0.079,0.084,0.838,Drama
30-minutes-or-less,-1,0.149,0.106,0.746,Adventure
42,1,0.076,0.118,0.806,Drama
44-inch-chest,-0.9786,0.103,0.104,0.794,Drama
50-50,1,0.111,0.141,0.749,Drama
500-days-of-summer,1,0.107,0.152,0.741,Romance
8mm,-0.9999,0.093,0.078,0.829,Thriller
a-dry-white-season,0.9999,0.1,0.114,0.786,Drama
a-few-good-men,0.9993,0.091,0.098,0.812,Mystery
a-most-violent-year,1,0.072,0.109,0.819,Action
a-nightmare-on-elm-street,-1,0.125,0.086,0.789,Horror
a-perfect-world,0.9924,0.094,0.095,0.811,Crime
a-walk-to-remember,1,0.096,0.123,0.781,Drama
above-the-law,-1,0.111,0.081,0.808,Action
absolute-power,0.9999,0.09,0.103,0.807,Thriller
adaptation,1,0.095,0.149,0.756,Comedy
affliction,-1,0.125,0.083,0.793,Drama
after-school-specia,1,0.094,0.127,0.78,Comedy
after.life,-1,0.128,0.091,0.782,Horror
airplane-2-the-sequel,0.9981,0.091,0.096,0.812,Sci-Fi
airplane,0.9999,0.082,0.109,0.809,Comedy
ali,0.998,0.09,0.092,0.818,Drama
alien-3,-1,0.116,0.072,0.812,Sci-Fi
alien-nation,-0.9994,0.085,0.081,0.834,Sci-Fi
alien-resurrection,-1,0.117,0.071,0.812,Action
alien-vs.-predator,-1,0.105,0.073,0.822,Action
aliens,-1,0.107,0.08,0.812,Thriller
all-about-steve,1,0.095,0.122,0.783,Comedy
alone-in-the-dark,-1,0.088,0.054,0.858,Thriller
amadeus,1,0.095,0.159,0.746,Drama
amelia,1,0.076,0.146,0.778,Drama
american-beauty,1,0.098,0.128,0.774,Drama
american-gangster,-0.9821,0.09,0.09,0.82,Crime
american-hustle,1,0.1,0.132,0.767,Drama
american-madness,1,0.08,0.115,0.804,Drama
american-psycho,0.9999,0.094,0.12,0.785,Thriller
american-shaolin-king-of-kickboxers-ii,1,0.086,0.104,0.811,Action
american-sniper,-1,0.124,0.079,0.797,Drama
american-splendor,-0.9999,0.122,0.099,0.779,Comedy
american-werewolf-in-london,-1,0.137,0.104,0.758,Romance
amour,1,0.077,0.116,0.807,Drama
an-education,1,0.071,0.135,0.794,Drama
analyze-that,-0.9999,0.121,0.101,0.778,Crime
analyze-this,-0.9998,0.121,0.116,0.763,Crime
angel-eyes,0.9999,0.101,0.115,0.784,Drama
anna-karenina,1,0.083,0.142,0.775,Drama
annie-hall,1,0.082,0.145,0.773,Comedy
anonymous,1,0.095,0.114,0.791,Drama
