"Scene Start","Scene End","Valence","Arousal","Audio Level"
"40.0","112.0","5.41671641791","4.31134328358","loudest"
"112.0","129.0","5.304","3.843","loudest"
"130.0","148.0","5.99285714286","4.69142857143","loudest"
"148.0","163.0","5.309","4.035","louder"
"164.0","186.0","5.595","3.66333333333","loudest"
"186.0","660.0","5.31744807122","4.22415430267","loudest"
"661.0","684.0","5.55896551724","3.67172413793","silent"
"685.0","751.0","5.43379746835","4.12139240506","louder"
"752.0","915.0","5.1962345679","3.99641975309","loudest"
"915.0","991.0","5.425","4.04138888889","louder"
"992.0","1017.0","4.85333333333","3.39666666667","silent"
"1018.0","1024.0","5.37846153846","4.16769230769","medium"
"1025.0","1034.0","5.86666666667","3.76","medium"
"1035.0","1044.0","4.98384615385","3.67615384615","medium"
"1045.0","1058.0","5.70714285714","4.57571428571","medium"
"1059.0","1169.0","5.05471544715","4.12430894309","medium"
"1170.0","1368.0","5.29401234568","4.17","medium"
"1369.0","1402.0","5.55357142857","3.6575","silent"
"1403.0","1424.0","5.5780952381","3.72857142857","medium"
"1424.0","1530.0","5.6053125","3.7384375","louder"
"1530.0","1622.0","4.98452830189","4.00188679245","medium"
"1623.0","1647.0","5.48423913043","4.08010869565","louder"
"1648.0","1864.0","5.38372413793","4.22710344828","louder"
"1865.0","1984.0","5.52545454545","4.08472727273","medium"
"1985.0","1999.0","5.94285714286","3.79285714286","silent"
"2000.0","2014.0","5.504","3.182","louder"
"2015.0","2044.0","5.60666666667","4.1","louder"
"2045.0","2066.0","5.73315789474","3.86947368421","louder"
"2067.0","2101.0","5.58125","3.835625","louder"
"2102.0","2279.0","5.33479591837","4.11923469388","louder"
"2280.0","2358.0","5.35225","4.21575","loudest"
"2360.0","2365.0","6.27285714286","4.38428571429","medium"
"2425.0","2429.0","5.54416666667","3.88416666667","medium"
"2430.0","2496.0","5.49066666667","3.954","medium"
"2436.0","2440.0","4.808","3.923","medium"
"2497.0","2506.0","5.35363636364","4.21818181818","medium"
"2507.0","2539.0","5.51489795918","4.07020408163","louder"
"2540.0","2557.0","5.53333333333","3.63066666667","louder"
"2558.0","2629.0","5.23558139535","4.07255813953","louder"
"2630.0","2644.0","5.36833333333","4.18166666667","louder"
"2645.0","2864.0","5.60473684211","4.02263157895","louder"
"2681.0","2850.0","5.67012820513","4.16615384615","louder"
"2865.0","2882.0","5.51","3.819375","loudest"
"2883.0","2909.0","5.92666666667","3.98833333333","louder"
"2910.0","3429.0","5.5319138756","3.9533492823","louder"
"3285.0","3319.0","5.34882352941","3.91215686275","medium"
"3320.0","3324.0","0","0","silent"
"3325.0","3329.0","5.1","3.74","silent"
"3330.0","3429.0","5.20375","4.01645833333","medium"
"3429.0","3689.0","5.1514","4.1134","louder"
"3490.0","3610.0","5.60268817204","4.16666666667","louder"
"3610.0","3690.0","5.69278688525","3.92606557377","medium"
"3690.0","3751.0","5.72217391304","3.97043478261","silent"
"3785.0","3935.0","5.60979452055","4.13267123288","medium"
"3936.0","4085.0","5.60243243243","4.1","louder"
"4137.0","4140.0","5.6195","4.076","medium"
"4141.0","4360.0","5.70632124352","4.01310880829","medium"
"4365.0","4430.0","5.48505747126","3.97390804598","medium"
"4495.0","4820.0","5.51575539568","4.04532374101","louder"
"4824.0","4957.0","5.52218978102","4.1698540146","louder"
"5100.0","5236.0","5.64385964912","4.09429824561","louder"
"5238.0","5274.0","5.62606060606","4.16424242424","medium"
"5280.0","5298.0","5.52588235294","3.82176470588","silent"
"5310.0","5580.0","5.4824137931","4.03672413793","louder"
"5585.0","5598.0","5.58166666667","4.07777777778","loudest"
"5600.0","5673.0","5.39838983051","4.02601694915","loudest"
"5675.0","5810.0","5.37115384615","4.09673076923","loudest"
"5983.0","6010.0","4.7675","4.19","loudest"
"6033.0","6093.0","5.56827586207","3.89517241379","loudest"
"6148.0","6210.0","5.666875","4.231875","loudest"
