"Movie","Vader Neg","Vader Pos","Vader Neu","Genre"
"10-things-i-hate-about-you","-1","1","-1","Comedy"
"12-and-holding","-1","0","-1","Drama"
"12-monkeys","-1","-1","0","Drama"
"12-years-a-slave","-1","0","-1","Drama"
"127-hours","-1","0","0","Drama"
"1492-conquest-of-paradise","-1","0","0","Drama"
"15-minutes","-1","0","-1","Thriller"
"17-again","-1","1","-1","Drama"
"187","-1","-1","1","Drama"
"2012","-1","-1","1","Drama"
"30-minutes-or-less","-1","0","-1","Comedy"
"42","-1","1","0","Drama"
"44-inch-chest","-1","0","0","Drama"
"50-50","-1","1","-1","Drama"
"500-days-of-summer","-1","1","-1","Drama"
"8mm","-1","-1","1","Thriller"
"a-dry-white-season","-1","0","0","Drama"
"a-few-good-men","-1","0","1","Drama"
"a-most-violent-year","-1","0","1","Drama"
"a-nightmare-on-elm-street","-1","-1","0","Comedy"
"a-perfect-world","-1","0","1","Drama"
"a-walk-to-remember","-1","1","-1","Drama"
"above-the-law","-1","-1","0","Action"
"absolute-power","-1","0","0","Drama"
"adaptation","-1","1","-1","Drama"
"affliction","-1","-1","0","Drama"
"after-school-specia","-1","1","-1","Comedy"
"after.life","-1","-1","-1","Drama"
"airplane-2-the-sequel","-1","0","1","Comedy"
"airplane","-1","0","0","Comedy"
"ali","-1","-1","1","Drama"
"alien-3","-1","-1","1","Drama"
"alien-nation","-1","-1","1","Drama"
"alien-resurrection","-1","-1","1","Thriller"
"alien-vs.-predator","-1","-1","1","Thriller"
"aliens","-1","-1","1","Thriller"
"all-about-steve","-1","1","-1","Comedy"
"alone-in-the-dark","-1","-1","1","Thriller"
"amadeus","-1","1","-1","Drama"
"amelia","-1","1","-1","Drama"
"american-beauty","-1","1","-1","Drama"
"american-gangster","-1","-1","1","Drama"
"american-hustle","-1","1","-1","Drama"
"american-madness","-1","1","0","Drama"
"american-psycho","-1","1","-1","Drama"
"american-shaolin-king-of-kickboxers-ii","-1","0","1","Action"
"american-sniper","-1","-1","0","Drama"
"american-splendor","-1","0","-1","Drama"
"american-werewolf-in-london","-1","0","-1","Comedy"
"amour","-1","1","0","Drama"
"an-education","-1","1","0","Drama"
"analyze-that","-1","0","-1","Comedy"
"analyze-this","-1","1","-1","Comedy"
"angel-eyes","-1","1","-1","Drama"
"anna-karenina","-1","1","-1","Drama"
"annie-hall","-1","1","-1","Comedy"
"anonymous","-1","0","0","Drama"
"antitrust","-1","0","1","Drama"
"antz","-1","0","0","Comedy"
"apocalypse-now","-1","-1","0","Drama"
"april-fool's-day","-1","0","-1","Comedy"
"arbitrage","-1","1","0","Drama"
"argo","-1","-1","1","Drama"
"armageddon","-1","-1","1","Thriller"
"army-of-darkness","-1","-1","0","Comedy"
"arthur","-1","1","-1","Comedy"
"as-good-as-it-gets","-1","1","-1","Drama"
"assassins","-1","-1","1","Thriller"
"august-osage-county","-1","1","0","Drama"
"austin-powers---international-man-of-mystery","-1","1","-1","Comedy"
"austin-powers---the-spy-who-shagged-me","-1","1","-1","Comedy"
"authors-anonymous","-1","1","-1","Comedy"
"autumn-in-new-york","-1","1","-1","Drama"
"avatar","-1","0","0","Action"
"babel","-1","-1","0","Drama"
"bachelor-party","-1","1","0","Comedy"
"backdraft","-1","-1","0","Drama"
"bad-boys","-1","-1","0","Comedy"
"bad-country","-1","-1","1","Drama"
"bad-day-at-black-rock","-1","-1","1","Drama"
"bad-dreams","-1","0","0","Thriller"
"bad-lieutenant","-1","0","-1","Drama"
"bad-santa","-1","0","-1","Comedy"
"bad-teacher","-1","1","-1","Comedy"
"badlands","-1","-1","1","Drama"
"bamboozled","-1","1","-1","Drama"
"basic-instinct","-1","-1","1","Thriller"
"basic","-1","0","-1","Drama"
"basquiat","-1","0","1","Drama"
"batman-2","-1","-1","1","Thriller"
"batman","-1","1","-1","Thriller"
"battle-los-angeles","-1","-1","0","Action"
"bean","-1","1","0","Comedy"
"beasts-of-the-southern-wild","-1","0","0","Drama"
