"Movie","Anger","Anticipation","Disgust","Fear","Joy","Negative","Positive","Sadness","Surprise","Trust","Genre"
"10-things-i-hate-about-you","0","1","1","0","1","0","1","0","1","1","Comedy"
"12-and-holding","0","1","1","0","1","1","0","1","0","1","Drama"
"12-monkeys","1","-1","0","1","-1","1","-1","1","0","-1","Thriller"
"12-years-a-slave","1","1","1","1","0","1","1","1","-1","1","Drama"
"127-hours","-1","-1","0","0","-1","0","-1","0","-1","-1","Thriller"
"1492-conquest-of-paradise","0","0","0","0","1","0","1","-1","1","0","Adventure"
"15-minutes","1","-1","0","1","-1","1","0","1","0","0","Crime"
"17-again","0","0","1","-1","1","0","0","0","0","0","Comedy"
"187","0","-1","0","0","-1","1","0","1","0","0","Drama"
"2012","-1","1","-1","0","0","-1","0","-1","0","0","Thriller"
"30-minutes-or-less","1","1","1","1","0","1","0","1","1","1","Action"
"42","0","1","0","-1","1","-1","0","-1","0","1","Drama"
"44-inch-chest","0","-1","1","0","0","1","0","1","0","-1","Drama"
"50-50","1","1","1","1","1","1","0","1","0","1","Drama"
"500-days-of-summer","0","1","1","-1","1","0","1","1","1","1","Drama"
"8mm","0","-1","0","0","-1","0","-1","-1","-1","-1","Thriller"
"a-dry-white-season","0","1","0","1","0","1","1","1","0","1","Thriller"
"a-few-good-men","0","0","-1","0","-1","-1","1","0","-1","1","Thriller"
"a-most-violent-year","-1","1","-1","-1","0","-1","1","-1","0","1","Crime"
"a-nightmare-on-elm-street","1","-1","1","1","-1","1","-1","1","-1","-1","Mystery"
"a-perfect-world","1","0","1","0","0","1","-1","-1","-1","-1","Crime"
"a-walk-to-remember","-1","0","0","-1","1","-1","1","0","0","1","Drama"
"above-the-law","1","0","1","1","-1","1","0","1","-1","1","Action"
"absolute-power","0","0","-1","0","0","-1","0","0","1","0","Crime"
"adaptation","-1","0","1","0","1","1","1","1","-1","1","Comedy"
"affliction","1","0","1","1","0","1","-1","1","1","1","Drama"
"after-school-specia","0","1","0","-1","1","0","1","-1","1","1","Comedy"
"after.life","-1","-1","-1","0","0","1","-1","1","-1","-1","Drama"
"airplane-2-the-sequel","0","0","0","1","-1","0","0","1","0","0","Comedy"
"airplane","-1","1","-1","0","0","-1","1","-1","1","1","Romance"
"ali","1","0","-1","0","0","1","0","0","0","0","Drama"
"alien-3","0","0","1","0","-1","0","-1","0","-1","-1","Drama"
"alien-nation","0","-1","1","1","-1","0","-1","-1","-1","-1","Sci-Fi"
"alien-resurrection","1","-1","1","1","-1","1","-1","0","-1","-1","Horror"
"alien-vs.-predator","0","-1","0","1","-1","1","-1","-1","-1","-1","Thriller"
"aliens","0","-1","1","1","-1","1","-1","0","-1","-1","Thriller"
"all-about-steve","0","1","0","0","0","-1","0","1","0","0","Comedy"
"alone-in-the-dark","0","-1","0","1","-1","1","-1","0","-1","-1","Action"
"amadeus","0","1","0","-1","1","0","1","1","1","1","Drama"
"amelia","-1","1","-1","-1","1","-1","1","-1","1","1","Drama"
"american-beauty","0","0","1","-1","1","0","1","0","0","0","Drama"
"american-gangster","0","1","-1","0","0","0","0","0","0","1","Drama"
"american-hustle","0","1","0","0","1","0","1","0","1","1","Drama"
"american-madness","1","1","-1","0","1","-1","1","-1","1","1","Drama"
"american-psycho","0","0","1","-1","0","0","0","0","0","-1","Horror"
"american-shaolin-king-of-kickboxers-ii","0","0","-1","-1","0","-1","1","-1","0","1","Action"
"american-sniper","1","-1","1","1","0","1","-1","0","-1","0","Drama"
"american-splendor","0","0","1","0","0","0","0","1","1","0","Drama"
"american-werewolf-in-london","1","0","1","1","0","1","0","1","1","0","Romance"
"amour","-1","1","-1","-1","0","-1","0","0","0","0","Romance"
"an-education","-1","1","-1","-1","1","-1","1","0","1","1","Drama"
"analyze-that","1","1","0","1","0","1","0","0","0","1","Comedy"
"analyze-this","1","1","1","1","1","1","1","1","1","1","Crime"
"angel-eyes","1","0","0","0","1","1","0","1","1","0","Drama"
"anna-karenina","-1","1","0","-1","1","0","1","1","1","1","Drama"
"annie-hall","-1","1","0","-1","1","-1","1","0","1","1","Romance"
"anonymous","1","1","1","1","1","1","1","0","0","1","Thriller"
