Movie,Vader Compound,Vader Neg,Vader Pos,Vader Neu,Genre
10-things-i-hate-about-you,1,0.086,0.138,0.776,Comedy
10-things-i-hate-about-you,1,0.086,0.138,0.776,Romance
12-and-holding,-0.9996,0.118,0.109,0.773,Drama
12-monkeys,-0.9999,0.105,0.093,0.801,Drama
12-monkeys,-0.9999,0.105,0.093,0.801,Sci-Fi
12-monkeys,-0.9999,0.105,0.093,0.801,Thriller
12-years-a-slave,0.9988,0.11,0.114,0.777,Drama
127-hours,0.9999,0.09,0.108,0.803,Adventure
127-hours,0.9999,0.09,0.108,0.803,Drama
127-hours,0.9999,0.09,0.108,0.803,Thriller
1492-conquest-of-paradise,0.9999,0.096,0.112,0.791,Adventure
1492-conquest-of-paradise,0.9999,0.096,0.112,0.791,Drama
15-minutes,-1,0.121,0.095,0.784,Action
15-minutes,-1,0.121,0.095,0.784,Crime
15-minutes,-1,0.121,0.095,0.784,Thriller
17-again,1,0.097,0.124,0.779,Comedy
17-again,1,0.097,0.124,0.779,Drama
17-again,1,0.097,0.124,0.779,Romance
187,-0.9999,0.102,0.083,0.815,Drama
2012,0.999,0.079,0.084,0.838,Action
2012,0.999,0.079,0.084,0.838,Adventure
2012,0.999,0.079,0.084,0.838,Drama
2012,0.999,0.079,0.084,0.838,Sci-Fi
2012,0.999,0.079,0.084,0.838,Thriller
30-minutes-or-less,-1,0.149,0.106,0.746,Action
30-minutes-or-less,-1,0.149,0.106,0.746,Adventure
30-minutes-or-less,-1,0.149,0.106,0.746,Comedy
42,1,0.076,0.118,0.806,Drama
44-inch-chest,-0.9786,0.103,0.104,0.794,Crime
44-inch-chest,-0.9786,0.103,0.104,0.794,Drama
50-50,1,0.111,0.141,0.749,Comedy
50-50,1,0.111,0.141,0.749,Drama
500-days-of-summer,1,0.107,0.152,0.741,Comedy
500-days-of-summer,1,0.107,0.152,0.741,Drama
500-days-of-summer,1,0.107,0.152,0.741,Romance
8mm,-0.9999,0.093,0.078,0.829,Mystery
8mm,-0.9999,0.093,0.078,0.829,Thriller
a-dry-white-season,0.9999,0.1,0.114,0.786,Drama
a-dry-white-season,0.9999,0.1,0.114,0.786,Thriller
a-few-good-men,0.9993,0.091,0.098,0.812,Crime
a-few-good-men,0.9993,0.091,0.098,0.812,Drama
a-few-good-men,0.9993,0.091,0.098,0.812,Mystery
a-few-good-men,0.9993,0.091,0.098,0.812,Thriller
a-most-violent-year,1,0.072,0.109,0.819,Action
a-most-violent-year,1,0.072,0.109,0.819,Crime
a-most-violent-year,1,0.072,0.109,0.819,Drama
a-nightmare-on-elm-street,-1,0.125,0.086,0.789,Comedy
a-nightmare-on-elm-street,-1,0.125,0.086,0.789,Horror
a-nightmare-on-elm-street,-1,0.125,0.086,0.789,Mystery
a-perfect-world,0.9924,0.094,0.095,0.811,Action
a-perfect-world,0.9924,0.094,0.095,0.811,Crime
a-perfect-world,0.9924,0.094,0.095,0.811,Drama
a-walk-to-remember,1,0.096,0.123,0.781,Drama
a-walk-to-remember,1,0.096,0.123,0.781,Romance
above-the-law,-1,0.111,0.081,0.808,Action
absolute-power,0.9999,0.09,0.103,0.807,Thriller
absolute-power,0.9999,0.09,0.103,0.807,Crime
absolute-power,0.9999,0.09,0.103,0.807,Drama
adaptation,1,0.095,0.149,0.756,Comedy
adaptation,1,0.095,0.149,0.756,Drama
affliction,-1,0.125,0.083,0.793,Drama
after-school-specia,1,0.094,0.127,0.78,Comedy
after.life,-1,0.128,0.091,0.782,Drama
after.life,-1,0.128,0.091,0.782,Horror
after.life,-1,0.128,0.091,0.782,Thriller
